"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,165.37517940766,78.0327075347368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,66.4676557669828,0,0,119.556438339405,72.1267152185463,103.07588253638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,218.565969009551,0,0,114.144599457575,75.8017667754083,153.158143344626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,93.0046261401667,0,0,171.926495778948,70.7601723481652,127.180987976254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,86.7157004752418,89.5191161033306,123.020779049844,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,187.716782029997,0,0,0,0,137.282961092475,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,100.140226226972,0,0,0,89.0550379716165,170.863642039487,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,106.518670114023,0,0,102.89890528945,111.769009357321,122.706357451455,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,91.5286623113291,0,0,100.200785926538,80.3801340206723,105.115177440674,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,82.2153408859313,0,0,110.199349648761,101.252693068763,130.853167687637,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.475456015276,69.2487306341506,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,112.387521101965,0,0,0,69.9103565994267,110.959840823556,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,116.38847326397,0,0,95.0381606672973,87.9948448914267,168.356039165595,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.332864778106,0,0,119.614392985561,123.38358725973,102.987355856112,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.446182816982,0,0,159.074330679731,116.021999276113,182.803010690203,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.112473894988,71.4686853090777,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.629280388888,0,0,0,183.131134657576,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7012588871862,0,0,73.1715188817051,123.006765597072,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.865721757737,0,128.123013155874,89.2315598712405,139.499028722972
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.926001768209,0,132.018728467623,142.069197319354
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.850208733444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2687198657595,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.536335432858
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
