transaction_year	value	donor	donor_iso3	donor_id
1961	6.78032	Netherlands	NLD	37
1969	6.8072067941	Saudi Arabia	SAU	60
1965	6.875017	Norway	NOR	40
1970	6.8764133535	Saudi Arabia	SAU	60
1971	6.881265655	Saudi Arabia	SAU	60
1960	6.900337	Austria	AUT	6
2007	6.943226349	Taiwan	TWN	3298046
1965	6.991325	Spain	ESP	45
1963	7.007591	Japan	JPN	30
1973	7.0357145864	Chile	CHL	3250264
1962	7.049567	Denmark	DNK	12
1972	7.0646007866	Brazil	BRA	75
1962	7.070339	Netherlands	NLD	37
1966	7.148457	Norway	NOR	40
1961	7.167612	Luxembourg	LUX	31
1960	7.228468	Italy	ITA	28
1961	7.242521	Austria	AUT	6
1983	7.2553073458	Brazil	BRA	75
1967	7.360601	Norway	NOR	40
1993	7.3854990063	Romania	ROU	91605924
1964	7.403704	Japan	JPN	30
1963	7.408375	Netherlands	NLD	37
1961	7.427149	Italy	ITA	28
1960	7.439652	Luxembourg	LUX	31
1968	7.44711	Spain	ESP	45
1963	7.453764	Denmark	DNK	12
1962	7.461792	Luxembourg	LUX	31
1962	7.549639	Austria	AUT	6
1966	7.558617	Spain	ESP	45
1986	7.6406475919	Brazil	BRA	75
1960	7.645808	Australia	AUS	5
1971	7.651882	Switzerland	CHE	47
1963	7.680637	Luxembourg	LUX	31
1968	7.694189	Norway	NOR	40
1961	7.709577	Australia	AUS	5
1960	7.730957	Portugal	PRT	43
1962	7.766457	Australia	AUS	5
1974	7.7704683109	Kuwait	KWT	61
1964	7.783818	Denmark	DNK	12
1965	7.805554	Japan	JPN	30
1960	7.809664	Greece	GRC	74
1963	7.813731	Austria	AUT	6
1969	7.825963	Spain	ESP	45
1962	7.860875	Italy	ITA	28
1962	7.880297	Portugal	PRT	43
1961	7.881624	Portugal	PRT	43
1961	7.895282	Greece	GRC	74
1963	8.012787	Australia	AUS	5
1969	8.015441	Norway	NOR	40
1967	8.048264	Spain	ESP	45
1963	8.048589	Portugal	PRT	43
1964	8.050581	Netherlands	NLD	37
1964	8.063849	Austria	AUT	6
1960	8.080319	Germany	DEU	53
1964	8.147503	Luxembourg	LUX	31
1973	8.1536030044	Brazil	BRA	75
1964	8.170196	Portugal	PRT	43
1985	8.201000227	Israel	ISR	3291156
1966	8.204372	Japan	JPN	30
1964	8.229775	Australia	AUS	5
1960	8.244925	Ireland	IRL	29
1962	8.265585	Greece	GRC	74
1970	8.299608	Spain	ESP	45
1991	8.3023125879	Romania	ROU	91605924
1963	8.357379	Greece	GRC	74
1965	8.363505	Denmark	DNK	12
1972	8.3937707478	Saudi Arabia	SAU	60
1965	8.39397	Luxembourg	LUX	31
1961	8.439669	Ireland	IRL	29
1965	8.451468	Australia	AUS	5
1965	8.496818	Portugal	PRT	43
1965	8.511666	Austria	AUT	6
1963	8.514729	Italy	ITA	28
1965	8.530863	Netherlands	NLD	37
1968	8.6016720211	Hungary	HUN	78
1961	8.630842	New Zealand	NZL	38
1964	8.642008	Greece	GRC	74
1967	8.657562	Japan	JPN	30
1966	8.690147	Luxembourg	LUX	31
1966	8.731955	Australia	AUS	5
1967	8.753169	Luxembourg	LUX	31
1961	8.778944	Germany	DEU	53
1966	8.815599	Austria	AUT	6
1960	8.857042	New Zealand	NZL	38
1962	8.866981	Ireland	IRL	29
1966	8.942985	Portugal	PRT	43
1966	8.944138	Denmark	DNK	12
1969	8.9765606186	Hungary	HUN	78
1966	8.978231	Netherlands	NLD	37
1965	8.994444	Greece	GRC	74
1967	9.008961	Australia	AUS	5
1971	9.011025	Spain	ESP	45
1974	9.0232819784	Brazil	BRA	75
1964	9.025301	Italy	ITA	28
1970	9.039065	Norway	NOR	40
1972	9.053311	Switzerland	CHE	47
1969	9.056717	New Zealand	NZL	38
1960	9.075769	Finland	FIN	17
1968	9.075866	Denmark	DNK	12
1963	9.080201	Ireland	IRL	29
1960	9.095066	Belgium	BEL	7
1967	9.117465	Austria	AUT	6
1962	9.129864	New Zealand	NZL	38
1968	9.146594	Luxembourg	LUX	31
1963	9.1586649218	Colombia	COL	76
1962	9.169048	Germany	DEU	53
1968	9.174691	New Zealand	NZL	38
1961	9.20027	Belgium	BEL	7
1968	9.202811	Japan	JPN	30
1967	9.22076	Denmark	DNK	12
1967	9.283767	Portugal	PRT	43
1970	9.3313363219	Hungary	HUN	78
1968	9.342266	Australia	AUS	5
1962	9.369856	Belgium	BEL	7
1967	9.378232	Netherlands	NLD	37
1965	9.397942	Italy	ITA	28
1968	9.405592	Austria	AUT	6
1966	9.437099	Greece	GRC	74
1968	9.461184	Portugal	PRT	43
1963	9.478694	Germany	DEU	53
1963	9.490713	New Zealand	NZL	38
1971	9.5170658487	Hungary	HUN	78
1973	9.5348263305	Saudi Arabia	SAU	60
1961	9.560538	Finland	FIN	17
1966	9.5802978892	Colombia	COL	76
1969	9.592622	Luxembourg	LUX	31
1966	9.61388	Italy	ITA	28
1963	9.634421	Belgium	BEL	7
1967	9.641865	Greece	GRC	74
1969	9.670633	Denmark	DNK	12
1966	9.674694	New Zealand	NZL	38
1968	9.70938	Netherlands	NLD	37
1969	9.715459	Japan	JPN	30
1969	9.731532	Austria	AUT	6
1960	9.74315	France	FRA	18
1971	9.751361	Norway	NOR	40
1968	9.784292	Greece	GRC	74
1964	9.795818	Germany	DEU	53
1964	9.829724	New Zealand	NZL	38
1969	9.85991	Australia	AUS	5
1961	9.860663629	South Africa	ZAF	84
1968	9.886641536	Colombia	COL	76
1967	9.887001	Italy	ITA	28
1964	9.92676	Ireland	IRL	29
1962	9.940487	Finland	FIN	17
1962	9.9849794111	South Africa	ZAF	84
1980	9.9899903106	Brazil	BRA	75
1968	9.991159	Ireland	IRL	29
1961	10.039631	France	FRA	18
1963	10.0442255151	South Africa	ZAF	84
1968	10.069824	Italy	ITA	28
1969	10.095554	Greece	GRC	74
1964	10.106672	Belgium	BEL	7
1965	10.108857	Germany	DEU	53
1970	10.137231	New Zealand	NZL	38
1969	10.1402054568	Colombia	COL	76
1975	10.162651138	Brazil	BRA	75
1969	10.204294	Portugal	PRT	43
1967	10.239734	New Zealand	NZL	38
1967	10.2493593205	Colombia	COL	76
1965	10.250812	New Zealand	NZL	38
1970	10.260757	Austria	AUT	6
1970	10.276069	Australia	AUS	5
1970	10.2871051045	Colombia	COL	76
1960	10.315576	Sweden	SWE	46
1976	10.3585256429	Brazil	BRA	75
1964	10.3783733693	South Africa	ZAF	84
1965	10.382865	Ireland	IRL	29
1963	10.387507	Finland	FIN	17
1970	10.389099	Japan	JPN	30
1970	10.394485	Portugal	PRT	43
1969	10.399183	Netherlands	NLD	37
1969	10.412637	Italy	ITA	28
1966	10.445686	Germany	DEU	53
1993	10.4723057421	Latvia	LVA	79
1970	10.479116	Greece	GRC	74
1972	10.5267565986	Hungary	HUN	78
1965	10.5545433017	South Africa	ZAF	84
1962	10.556574	France	FRA	18
1970	10.569032	Denmark	DNK	12
1972	10.576871	Spain	ESP	45
1966	10.5882032828	South Africa	ZAF	84
1981	10.5920981384	Brazil	BRA	75
1961	10.620643	Sweden	SWE	46
1967	10.643521	Germany	DEU	53
1971	10.6494010664	Colombia	COL	76
1965	10.657186	Belgium	BEL	7
1961	10.6798504995	Colombia	COL	76
1972	10.7577168243	Colombia	COL	76
1960	10.773383	United Kingdom	GBR	51
1971	10.790877	Greece	GRC	74
1966	10.834932	Ireland	IRL	29
1968	10.873864	Germany	DEU	53
1969	10.885954	Ireland	IRL	29
1960	10.96092	Iceland	ISL	3270662
1967	10.986684	Ireland	IRL	29
1972	10.991435	Norway	NOR	40
1971	11.0241226974	Israel	ISR	3291156
1961	11.040496	United Kingdom	GBR	51
1967	11.0528443353	South Africa	ZAF	84
1966	11.055151	Belgium	BEL	7
1971	11.062251	Portugal	PRT	43
1970	11.063129	Netherlands	NLD	37
1962	11.072758	Sweden	SWE	46
1974	11.0884705617	Saudi Arabia	SAU	60
1994	11.1028488267	Romania	ROU	91605924
1970	11.129238	Italy	ITA	28
1963	11.13625	France	FRA	18
1964	11.136673	Finland	FIN	17
1970	11.147234	Luxembourg	LUX	31
1962	11.1559957791	Israel	ISR	3291156
1971	11.158204	Australia	AUS	5
1962	11.206483356	Colombia	COL	76
1963	11.2289058583	Chile	CHL	3250264
1973	11.2420389666	Colombia	COL	76
1971	11.24237	Japan	JPN	30
1961	11.251697	Iceland	ISL	3270662
1968	11.270944	Finland	FIN	17
1965	11.282069861	Colombia	COL	76
1971	11.298237	Luxembourg	LUX	31
1964	11.3037971776	Colombia	COL	76
1963	11.305974	Sweden	SWE	46
1971	11.314756	Austria	AUT	6
1972	11.33545	Greece	GRC	74
1964	11.3606065844	Chile	CHL	3250264
1982	11.3859098434	Brazil	BRA	75
1962	11.420413	United Kingdom	GBR	51
1967	11.441458	Belgium	BEL	7
1971	11.48114	Denmark	DNK	12
1968	11.5034064837	South Africa	ZAF	84
1969	11.520159	Germany	DEU	53
1963	11.527832	United Kingdom	GBR	51
1962	11.528588	Canada	CAN	8
1977	11.5390797797	Brazil	BRA	75
1964	11.609067	France	FRA	18
1962	11.630649	Iceland	ISL	3270662
1971	11.652681	New Zealand	NZL	38
1963	11.671322	Canada	CAN	8
1968	11.685691	Belgium	BEL	7
1965	11.697172	Finland	FIN	17
1963	11.7449998249	Israel	ISR	3291156
1969	11.745108	Finland	FIN	17
1973	11.798641	Switzerland	CHE	47
1968	11.841955	United Kingdom	GBR	51
1964	11.861212	United Kingdom	GBR	51
1969	11.8807634833	Israel	ISR	3291156
1964	11.889133	Sweden	SWE	46
1969	11.9470649919	South Africa	ZAF	84
1965	11.960566	France	FRA	18
1970	11.973603	Ireland	IRL	29
1961	11.977668	Canada	CAN	8
1964	12.000289	Canada	CAN	8
1997	12.0267402325	Romania	ROU	91605924
1968	12.0493701843	Israel	ISR	3291156
1971	12.069721	Italy	ITA	28
1970	12.0704115423	Israel	ISR	3291156
1969	12.108237	Belgium	BEL	7
1973	12.1311697855	Hungary	HUN	78
1965	12.1581614132	Chile	CHL	3250264
1970	12.183229	Finland	FIN	17
1966	12.246349	Finland	FIN	17
1974	12.2500950332	Colombia	COL	76
1966	12.279467	France	FRA	18
2008	12.3109005088	Taiwan	TWN	3298046
1967	12.341727	Finland	FIN	17
1971	12.370852	Netherlands	NLD	37
1972	12.3981423878	Israel	ISR	3291156
1965	12.434018	Canada	CAN	8
1969	12.439611	United Kingdom	GBR	51
1960	12.450608	Canada	CAN	8
1972	12.45564	Portugal	PRT	43
1979	12.489636358	Brazil	BRA	75
1965	12.505249	United Kingdom	GBR	51
1972	12.544543	Australia	AUS	5
1969	12.574168	Iceland	ISL	3270662
1965	12.584808	Sweden	SWE	46
1963	12.59928	Iceland	ISL	3270662
1967	12.636179	France	FRA	18
1964	12.6483686768	Israel	ISR	3291156
1968	12.671232792	Chile	CHL	3250264
1970	12.800371	Belgium	BEL	7
1970	12.8588685659	South Africa	ZAF	84
1975	12.9434254976	Colombia	COL	76
1966	12.999064	United Kingdom	GBR	51
1972	13.0385882638	Chile	CHL	3250264
1974	13.0421361589	Hungary	HUN	78
1966	13.063028	Canada	CAN	8
1973	13.081919	Spain	ESP	45
1967	13.09039	United Kingdom	GBR	51
1968	13.1135	France	FRA	18
1971	13.120761	Finland	FIN	17
1972	13.12178	Austria	AUT	6
1980	13.1349321457	Israel	ISR	3291156
1966	13.1508166796	Israel	ISR	3291156
1972	13.195587	Luxembourg	LUX	31
1978	13.2031618069	Brazil	BRA	75
1972	13.2054759323	South Africa	ZAF	84
1970	13.292653	France	FRA	18
1966	13.32775	Sweden	SWE	46
1965	13.3368291016	Israel	ISR	3291156
1970	13.354775	Germany	DEU	53
1972	13.358142	Denmark	DNK	12
1970	13.367901	United Kingdom	GBR	51
1971	13.3921552237	South Africa	ZAF	84
1969	13.403468	France	FRA	18
1974	13.423505	Switzerland	CHE	47
1972	13.448966	Japan	JPN	30
1994	13.4598805248	Lithuania	LTU	81
1971	13.497455	Ireland	IRL	29
1969	13.5307654396	Chile	CHL	3250264
1972	13.566463	Italy	ITA	28
1967	13.6218	Canada	CAN	8
1972	13.64323	New Zealand	NZL	38
1973	13.694698	Norway	NOR	40
1975	13.7031125899	Hungary	HUN	78
1967	13.734590206	Chile	CHL	3250264
1971	13.812058	Belgium	BEL	7
1981	13.8223224235	Israel	ISR	3291156
1973	13.872123	Greece	GRC	74
1978	13.9107464556	Israel	ISR	3291156
1967	13.9125316737	Israel	ISR	3291156
1973	13.9238427885	Israel	ISR	3291156
1983	14.027270791	Israel	ISR	3291156
1977	14.0320595749	Chile	CHL	3250264
1966	14.0676460943	Chile	CHL	3250264
1967	14.070074	Sweden	SWE	46
1971	14.123249	France	FRA	18
1968	14.141693	Canada	CAN	8
1976	14.1808796347	Colombia	COL	76
1972	14.381932	Finland	FIN	17
1968	14.389596	Sweden	SWE	46
1961	14.40413745	Chile	CHL	3250264
1970	14.4783633662	Chile	CHL	3250264
1976	14.6355584731	Hungary	HUN	78
1970	14.640607	Iceland	ISL	3270662
1964	14.641113	Iceland	ISL	3270662
1982	14.7099108507	Israel	ISR	3291156
1972	14.738935	Netherlands	NLD	37
1969	14.794985	Canada	CAN	8
1971	14.860844	United Kingdom	GBR	51
1969	14.875998	Sweden	SWE	46
1971	15.004896	Germany	DEU	53
1979	15.0279587434	Israel	ISR	3291156
1968	15.034711	Iceland	ISL	3270662
1973	15.109947	Portugal	PRT	43
1974	15.305592	Spain	ESP	45
