transaction_year	value	donor	donor_iso3	donor_id
1982	26.910903	Luxembourg	LUX	31
1985	26.922505	Australia	AUS	5
1975	26.96099	Germany	DEU	53
1984	27.0092957223	Colombia	COL	76
1974	27.050637	United States	USA	52
1981	27.0958265196	Colombia	COL	76
1981	27.097292	Greece	GRC	74
1979	27.149702	New Zealand	NZL	38
1975	27.1670666565	Monaco	MCO	3109127
1988	27.2221110837	Chile	CHL	3250264
1982	27.245817	Norway	NOR	40
1985	27.314836	Denmark	DNK	12
1976	27.326407	Germany	DEU	53
1986	27.339753	Australia	AUS	5
1961	27.3996008221	India	IND	4653485
1982	27.534227	Spain	ESP	45
1985	27.5818337734	Cyprus	CYP	91609235
1978	27.6071	Canada	CAN	8
1984	27.631418	Belgium	BEL	7
1976	27.6904711493	Monaco	MCO	3109127
1979	27.723359	Italy	ITA	28
1981	27.752157	Norway	NOR	40
1995	27.7766813103	Brazil	BRA	75
1977	27.788171	Canada	CAN	8
1976	27.795083	Finland	FIN	17
1977	27.82625	France	FRA	18
1979	27.8469535263	South Africa	ZAF	84
2002	27.8505236283	Brazil	BRA	75
1966	27.8727522676	India	IND	4653485
1979	27.911256	Greece	GRC	74
1962	27.9874394319	India	IND	4653485
1979	28.030855	Switzerland	CHE	47
1976	28.059009	Canada	CAN	8
1986	28.0646614864	South Africa	ZAF	84
1995	28.0704673861	Latvia	LVA	79
1985	28.09965	Belgium	BEL	7
1986	28.207661	Norway	NOR	40
1983	28.2308140812	Cyprus	CYP	91609235
1982	28.2881657761	Colombia	COL	76
1984	28.290171	Italy	ITA	28
1982	28.34059909	Cyprus	CYP	91609235
1985	28.415389	Italy	ITA	28
1981	28.4449956104	Cyprus	CYP	91609235
1986	28.458463	Greece	GRC	74
