participating_org	donor_organizations_id	donor_organizations	donor_groups_id	donor_groups
Global Alliance for Vaccines and Immunisation	40001644	Global Alliance for Vaccines & Immunization (GAVI)	120834146	Multilaterals
Global Alliance for Vaccines Immunisation	40001644	Global Alliance for Vaccines & Immunization (GAVI)	120834146	Multilaterals
Global Environment Facility	19	Global Environment Facility (GEF)	120834146	Multilaterals
Global Environment Facility Trust Fund	19	Global Environment Facility (GEF)	120834146	Multilaterals
Global Environment Fund		NGO/Other	142309408	NGO/Other
Global Environment Fund Truste (4)		NGO/Other	142309408	NGO/Other
Global Fund	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
Global Fund For Hiv & Tb	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
Global Fund for HIV, TB and Malaria	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
Global Fund to Fight AIDS, Tuberculosis and Malaria	67	Global Fund to Fight Aids, Tuberculosis and Malaria (GFATM)	120834146	Multilaterals
Global Partnership for Education		NGO/Other	142309408	NGO/Other
UNICEF		United Nations Children's Fund (UNICEF)	120834146	Multilaterals
Gobierno de Bélgica	7	Belgium	110593622	Europe
Gobierno de Canadá	8	Canada	110593551	North & Central America
Gobierno de Dinamarca	12	Denmark	110593622	Europe
Gobierno de España	45	Spain	110593622	Europe
Gobierno de Finlandia	17	Finland	110593622	Europe
Gobierno de Holanda (Países Bajos)	37	Netherlands	110593622	Europe
Gobierno de Italia	28	Italy	110593622	Europe
Gobierno de Japón	30	Japan	110593473	Far East Asia
Gobierno de La República de Corea del Sur	40497946	Korea	110593473	Far East Asia
Gobierno de La República Federal de Alemania	53	Germany	110593622	Europe
GOBIERNO DE NAVARRA	45	Spain	110593622	Europe
Gobierno de Taiwan	3298046	Taiwan	110593473	Far East Asia
GOBIERNO VASCO	45	Spain	110593622	Europe
GOOGLE		NGO/Other	142309408	NGO/Other
GORDON AND BETTY MOORE FOUNDATION		NGO/Other	142309408	NGO/Other
GOSL		Unknown		Unknown
Government of Afghanistan		Unknown		Unknown
Government Of Australia	5	Australia	110593648	Oceania
Government Of Ireland	29	Ireland	110593622	Europe
Government of Italy	28	Italy	110593622	Europe
Government of Japan	30	Japan	110593473	Far East Asia
Government Of Japan	30	Japan	110593473	Far East Asia
Government of Netherland	37	Netherlands	110593622	Europe
Government of Norway	40	Norway	110593622	Europe
Government of South Australia	5	Australia	110593648	Oceania
Government of Spain	45	Spain	110593622	Europe
Government of Sweden	46	Sweden	110593622	Europe
Government of Switzerland	47	Switzerland	110593622	Europe
Government of The  Netherlands	37	Netherlands	110593622	Europe
Grand Duché du Luxembourg	31	Luxembourg	110593622	Europe
Greece	74	Greece	110593622	Europe
GRUPO ORTIZ		NGO/Other	142309408	NGO/Other
GUATEMALA		Guatemala	110593551	North & Central America
Guernsey Overseas Aid Committee (goac)		Guernsey	110593622	Europe
Handicap International Belgique	54869000	Handicap International	142309408	NGO/Other
Handicap International France- ANC	54869000	Handicap International	142309408	NGO/Other
Handicap International Nepal	54869000	Handicap International	142309408	NGO/Other
HARAKAT		NGO/Other	142309408	NGO/Other
Haut Commissariat des Nations Unies pour les droits humains (52)	53435546	Office of the United Nations High Commissioner for Human Rights (OHCHR)	120834146	Multilaterals
Haut Commissariat des Nations Unies pour les Réfugiés	51947246	United Nations High Commissioner for Refugees (UNHCR)	120834146	Multilaterals
Haut Commissariat des Nations Unies pour les Refugiés (39)	51947246	United Nations High Commissioner for Refugees (UNHCR)	120834146	Multilaterals
HAWARD G.BUFFET FONDATION		NGO/Other	142309408	NGO/Other
Health Results Innovation Trust Fund	112064771	World Bank	120834146	Multilaterals
HELVETAS Switzerland		NGO/Other	142309408	NGO/Other
HEWLETT PACKARD		NGO/Other	142309408	NGO/Other
Himal Power Ltd		NGO/Other	142309408	NGO/Other
HONDURAS	110593642	Honduras	110593551	North & Central America
Howard Buft		NGO/Other	142309408	NGO/Other
Iceland	3270662	Iceland	110593622	Europe
IDA	112064771	World Bank	120834146	Multilaterals
IFAD	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
Inde	4653485	India	110593741	South & Central Asia
Independent Human Rights Commission - Funding Agency		Unknown		Unknown
India	4653485	India	110593741	South & Central Asia
India Exim Bank	4653485	India	110593741	South & Central Asia
INDONESIA		Indonesia	110593473	Far East Asia
ING Bank N.V.		NGO/Other	142309408	NGO/Other
Instituto de Crédito Oficial de España	45	Spain	110593622	Europe
Instituto de las Naciones Unidas para Formación Profesional e Investigaciones	4255922	United Nations Institute for Training and Research (UNITAR)	120834146	Multilaterals
Instituto Nacional Agrario		Unknown		Unknown
Instituto Nacional de Conservación y Desarrollo Forestal		Unknown		Unknown
Intermon Oxfam		NGO/Other	142309408	NGO/Other
International Atomic Energy Agency		NGO/Other	142309408	NGO/Other
International Bank for Reconstruction and Development	112064771	World Bank	120834146	Multilaterals
International Center for Transitional Justice		NGO/Other	142309408	NGO/Other
International Centre for Tropical Agriculture		NGO/Other	142309408	NGO/Other
International Committee of the Red Cross		NGO/Other	142309408	NGO/Other
International Cooperation & Development Fund	3298046	Taiwan	110593473	Far East Asia
International Development Assistance/World Bank	112064771	World Bank	120834146	Multilaterals
International Development Association	112064771	World Bank	120834146	Multilaterals
International Development Research Center		NGO/Other	142309408	NGO/Other
International Finance Cooperation	112064771	World Bank	120834146	Multilaterals
International Finance Corporation	112064771	World Bank	120834146	Multilaterals
International Fund for Agricultural Development	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
International Fund for Agriculture Development	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
International Fund For Agriculture Development (ifad)	24	International Fund for Agricultural Development (IFAD)	120834146	Multilaterals
International Labour Organization		International Labour Organization (ILO)	120834146	Multilaterals
International Monetary Fund	63	International Monetary Fund (IMF)	120834146	Multilaterals
International Monetary Fund (IMF)	63	International Monetary Fund (IMF)	120834146	Multilaterals
International Narcotics and Law Enforcement Section (USA)	52	United States	110593551	North & Central America
International Organisation for Migration (IOM)	64008061	International Organisation for Migration (IOM)	120834146	Multilaterals
International Organization for Migration	64008061	International Organisation for Migration (IOM)	120834146	Multilaterals
International Organization for Migration Development Fund	64008061	International Organisation for Migration (IOM)	120834146	Multilaterals
International Solidarity Fund		NGO/Other	142309408	NGO/Other
Investissemement privé camerounais (2)		NGO/Other	142309408	NGO/Other
