"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
0,24.9832953048298,20.7129499067402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.972746429909,0,22.9170146439969,32.9074943251659,42.5624181120056,10.906190910269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.7212810494889,22.918243151385,0,0,36.9564585213056,13.0543970207012,13.1128818416309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32.9309018179361,0,0,28.6338512066764,0,0,0,26.1376890100208,22.862468219167,27.2271943469064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42.5837587046385,36.9573876454525,28.6048587915194,0,20.6125224428206,0,0,0,27.4000043105012,25.3690961206808,20.663621211283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.9081046230248,13.0557374358199,0,20.6106249059958,0,4,0,0,0,21.7277739097551,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13.1114115831756,0,0,4,0,19.6825918277951,0,0,0,24.1909481535926,4,23.5875768475607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19.6794808544045,0,0,0,0,0,20.6643589826523,28.4771469860579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26.1404554538344,0,0,0,0,0,22.3764209571286,0,0,0,0,28.2032079036048,22.7189974360316,25.2029871403046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,22.8684147604233,27.4122271921251,0,0,0,22.380447101005,0,24.2848813251479,0,0,0,0,19.6393687041829,19.8146917189584,22.8132906750682,0,0,0,0,0,0,0,0,0,0,0,0,0
