"V1","V2","V3","V4","V5","V6","V7","V8"
0,20.0143162845641,13.7709021833567,27.6987376789412,0,0,0,0
20.0143162845641,0,24.5891050131985,30.3543478119413,0,0,0,0
13.7709021833567,24.5891050131985,0,16.0628356301504,4,17.8502812876326,0,0
27.6987376789412,30.3543478119413,16.0628356301504,0,24.885523629306,29.0858962831476,0,0
0,0,4,24.885523629306,0,4,11.8166889848811,18.1622320372362
0,0,17.8502812876326,29.0858962831476,4,0,22.2965703896328,29.831487210522
0,0,0,0,11.8166889848811,22.2965703896328,0,17.8461149010026
0,0,0,0,18.1622320372362,29.831487210522,17.8461149010026,0
