"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
0,23.0745968274327,0,34.4764262293206,28.8898044262028,34.9562583902565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0745968274327,0,18.9919536483939,0,27.5735892883261,22.5725296475234,29.2682620019083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18.9919536483939,0,0,0,21.5956118240369,17.0755063693738,22.5661061425253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.4764262293206,0,0,0,22.7958062373279,0,0,0,0,0,0,0,0,34.5139570198174,41.9470349501289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.8898044262028,27.5735892883261,0,22.7958062373279,0,21.444294879221,0,0,0,0,0,0,0,29.8667590434743,25.2590214017362,33.789539660003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.9562583902565,22.5725296475234,21.5956118240369,0,21.444294879221,0,23.6543392408647,0,0,0,0,0,0,0,35.6884114487104,28.6948867811178,26.3600837927988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29.2682620019083,17.0755063693738,0,0,23.6543392408647,0,30.4708156399383,0,0,0,0,0,0,0,29.1072532608624,26.5023303571321,13.5778223035909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22.5661061425253,0,0,0,30.4708156399383,0,29.2675772679508,0,0,0,0,0,0,0,25.2965682275394,12.3132791791905,42.3422185264168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,29.2675772679508,0,28.6561010880041,0,0,0,0,0,0,0,23.0093366421438,35.8651613612337,24.9148433953743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28.6561010880041,0,15.6733822921118,0,0,0,0,0,0,0,31.6773701179532,20.4354893530629,25.2988448082239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15.6733822921118,0,14.8000402836381,0,0,0,0,0,0,0,20.5776959388865,19.8450028499379,19.9989417774418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14.8000402836381,0,22.0545276587449,0,0,0,0,0,0,0,23.1368107582467,15.3666737932026,22.7290711745955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,22.0545276587449,0,0,0,0,0,0,0,0,0,23.7212271370461,23.4845298976773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
