"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,0,0,0,0,0,0,0
0,0,0,27.4490226027805,19.9606022759666,0,0,0,0,0
0,0,0,20.7687699528348,0,19.4312888648969,0,0,0,0
0,27.417898851572,20.7642405004742,0,25.4368062569697,20.4014511404108,24.1797760128178,0,0,0
0,19.9666631215839,0,25.4843216145175,0,21.0160303864373,16.8190422811765,0,0,0
0,0,19.4692535268129,20.4608371876993,21.0090720484047,0,17.4784295508677,20.765758739815,19.6099358094619,0
0,0,0,24.2306299253521,16.8190422811765,17.4794677563289,0,19.8419229410466,17.5458968639516,0
0,0,0,0,0,20.7411360667697,19.8142012440189,0,15.8063180830676,19.8418268902979
0,0,0,0,0,19.5936866361515,17.5281352180779,15.8307823161829,0,19.0631073732375
0,0,0,0,0,0,0,19.8430883119179,19.0510767437981,0
