"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,22.7068044835238,25.2834617742149,22.6581625995357,33.10259420549,0,0,0,0,0
22.7068044835238,0,0,42.5827423521927,34.3128575421742,0,0,0,0,0
25.2834617742149,0,0,36.1303580684352,0,33.6767013501505,0,0,0,0
22.6581625995357,42.5827423521927,36.1303580684352,0,39.8405466621562,42.8388615392799,34.4171865025864,0,0,0
33.10259420549,34.3128575421742,0,39.8405466621562,0,42.4634784729575,34.5525266010414,33.6943924336925,0,0
0,0,33.6767013501505,42.8388615392799,42.4634784729575,0,35.794924121131,0,33.7438969287631,26.6112002400314
0,0,0,34.4171865025864,34.5525266010414,35.794924121131,0,23.0837918066031,33.1760931963371,25.5867524634176
0,0,0,0,33.6943924336925,0,23.0837918066031,0,0,21.7720513396527
0,0,0,0,0,33.7438969287631,33.1760931963371,0,0,22.4878558870143
0,0,0,0,0,26.6112002400314,25.5867524634176,21.7720513396527,22.4878558870143,0
