"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
0,0,0,0,0,0,0,0,27.6367206453223,17.5953657098427,0,0,0,0,0,0,0,0
0,0,23.9513938020164,0,0,0,0,0,0,0,26.5928747710814,23.4361826111586,23.3330599594392,0,0,0,0,0
0,23.9513938020164,0,23.3036990359762,0,0,0,0,0,0,0,22.3554242213909,22.5384369701599,24.3613661051514,0,0,0,0
0,0,23.3036990359762,0,22.2131888156558,0,0,0,0,0,0,0,24.3566076030067,22.1443406256274,21.6728133254554,0,0,0
0,0,0,22.2131888156558,0,20.6260875280729,0,0,0,0,0,0,0,24.0300403513524,22.1043863733427,28.5892002971106,0,0
0,0,0,0,20.6260875280729,0,23.7172436875866,0,0,0,0,0,0,0,19.0172317910414,18.1531679338086,22.4342083399246,0
0,0,0,0,0,23.7172436875866,0,24.0366651262138,0,0,0,0,0,0,0,28.3964818626016,27.4647033246543,26.7736456114418
0,0,0,0,0,0,24.0366651262138,0,26.15781051257,0,0,0,0,0,0,0,27.7362595900085,22.9204531694429
27.6367206453223,0,0,0,0,0,0,26.15781051257,0,20.09397671679,0,0,0,0,0,0,0,29.6298307156506
17.5953657098427,0,0,0,0,0,0,0,20.09397671679,0,0,0,0,0,0,0,0,0
0,26.5928747710814,0,0,0,0,0,0,0,0,0,22.5786509955981,0,0,0,0,0,0
0,23.4361826111586,22.3554242213909,0,0,0,0,0,0,0,22.5786509955981,0,21.2398610253349,0,0,0,0,0
0,23.3330599594392,22.5384369701599,24.3566076030067,0,0,0,0,0,0,0,21.2398610253349,0,23.6272134848733,0,0,0,0
0,0,24.3613661051514,22.1443406256274,24.0300403513524,0,0,0,0,0,0,0,23.6272134848733,0,20.0852133511191,0,0,0
0,0,0,21.6728133254554,22.1043863733427,19.0172317910414,0,0,0,0,0,0,0,20.0852133511191,0,26.4900444087876,0,0
0,0,0,0,28.5892002971106,18.1531679338086,28.3964818626016,0,0,0,0,0,0,0,26.4900444087876,0,27.5318030030429,0
0,0,0,0,0,22.4342083399246,27.4647033246543,27.7362595900085,0,0,0,0,0,0,0,27.5318030030429,0,26.0312446610368
0,0,0,0,0,0,26.7736456114418,22.9204531694429,29.6298307156506,0,0,0,0,0,0,0,26.0312446610368,0
