"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,22.7060605678279,25.2825451487152,22.6594939915646,33.1038695692375,0,0,0,0,0
22.7084888361681,0,0,42.5907482408924,34.3209857484739,0,0,0,0,0
25.2841566124013,0,0,36.1299158037301,0,33.6810770038451,0,0,0,0
22.6568312075069,42.5740576257132,36.1308003331403,0,39.8309413937819,42.7924396458342,34.4044976419288,0,0,0
33.1013188417426,34.3037956111801,0,39.8501519305305,0,42.424356704866,34.5433716982705,33.6910837839108,0,0
0,0,33.6723256964559,42.8852834327257,42.5026002410491,0,35.8218705486052,0,33.7580082554244,26.8600268484231
0,0,0,34.4298753632441,34.5616815038122,35.7679776936569,0,23.0942472499157,32.9607877822433,25.633828086752
0,0,0,0,33.6977010834742,0,23.0733363632905,0,0,22.7265613397442
0,0,0,0,0,33.7297856021019,33.3913986104309,0,0,22.3216716965086
0,0,0,0,0,26.3623736316396,25.5396768400833,20.8175413395612,22.6540400775201,0
