"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
0,17.890452909838,0,30.1104985630398,21.2560635227051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.890452909838,0,17.9377664025618,23.9491149910938,12.8397342296805,21.7731267053547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17.9377664025618,0,0,16.3534566189923,17.5446704156147,11.1173931526452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.1104985630398,23.9491149910938,0,0,16.564753100784,0,0,0,14.1927546323486,14.4604274747716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.2560635227051,12.8397342296805,16.3534566189923,16.564753100784,0,17.2571319891724,0,0,15.8790754084408,13.8789600655989,14.4357170627688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21.7731267053547,17.5446704156147,0,17.2571319891724,0,7.49741421619716,0,0,15.877368028049,12.2754340625077,18.9977174903229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11.1173931526452,0,0,7.49741421619716,0,4,0,0,10.4118066756289,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,14.1927546323486,15.8790754084408,0,0,0,0,13.5635664973793,0,0,0,0,15.8524325722829,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,14.4604274747716,13.8789600655989,15.877368028049,0,0,13.5635664973793,0,8.47993985546112,0,0,0,15.6927386746972,4,18.3602178932407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14.4357170627688,12.2754340625077,10.4118066756289,0,0,8.47993985546112,0,4,0,0,0,4,11.0941575663118,14.5828137706158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,18.9977174903229,4,4,0,0,4,0,4,0,0,0,13.0068671884004,5.00847707767371,15.4915981126753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15.8524325722829,15.6927386746972,0,0,0,0,0,4,0,0,0,0,17.1418642062023,21.4103284704827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,4,0,0,0,11.3939606815533,5.67037745836928,14.4161906052973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18.3602178932407,11.0941575663118,13.0068671884004,0,0,0,4,0,15.195245658278,0,0,0,35.0681988898199,16.8135407631915,23.9397795374756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14.5828137706158,5.00847707767371,4,0,0,0,15.195245658278,0,4,0,0,0,14.5229618602347,16.6450565845273,13.9926117145456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,15.4915981126753,4,4,0,0,0,4,0,4,0,0,0,19.1365311546476,7.95252045129658,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,4,5.47752012749453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
