"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,26.2236029754002,22.6617955862611,25.6323835407502,0,0,0,0,0,0,0,0
26.2371133608361,0,25.6046121647724,0,23.4430606203331,26.5319081525278,0,0,0,0,0,0
22.8056030460945,25.6088393271681,0,22.6922188032154,22.0642430078633,22.110297994365,19.3846861305224,0,0,0,0,0
25.5309919371915,0,22.6940144258034,0,0,22.8929163118291,16.5035327812205,27.7211567883185,0,0,0,0
0,23.4469592609572,22.0608696217346,0,0,24.0634355384647,0,0,24.199815450497,0,0,0
0,26.4217418516751,22.1160383390996,22.900000647781,24.0697124070947,0,20.1369944257003,0,23.2177876122487,22.2153346101862,0,0
0,0,19.3925976323054,16.5101155074517,0,20.1395662119548,0,18.7651653490446,22.8555329409593,4,18.9460420760233,0
0,0,0,27.7276065863221,0,0,18.7634823746917,0,0,25.8138184837432,19.2548376672925,0
0,0,0,0,24.2171274775773,23.1114437391375,22.8007026293114,0,0,23.9345448166774,0,21.2646007007522
0,0,0,0,0,22.2186620102315,4,25.6746959316429,24.0268746644506,0,18.1014567263795,17.645977140527
0,0,0,0,0,0,18.8490720230316,19.0751037348062,0,18.0976651803938,0,18.1354213447492
0,0,0,0,0,0,0,0,21.3528384004409,17.6479808055517,18.1332260531616,0
