"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,15.8350345198571,0,20.5057359293065,20.482973019488,20.4945273665275,0,0,0,0
15.8261394685012,0,25.64812961052,0,25.7713168599728,24.4241252631453,0,0,0,0
0,25.6531285267766,0,0,0,24.8085221763331,0,0,0,0
20.5082927788792,0,0,0,27.589596358046,0,25.6003595947637,0,0,0
20.4840313073801,25.7826073857662,0,27.5672199144017,0,24.6858165487696,26.5019234412675,24.1490403471547,0,0
20.4710890810426,24.4489994365077,28.4368072916141,0,24.6681427948066,0,26.429901105948,22.6714102227316,23.9991746316794,0
0,0,0,25.5746865280815,26.4979703325122,26.4303495740616,0,22.6958151684759,0,23.7728812609902
0,0,0,0,24.136508004304,22.6723678038074,22.6796955928411,0,19.5464918343662,24.3502174275081
0,0,0,0,0,23.9324151998852,0,19.5421258385086,0,24.3577659167072
0,0,0,0,0,0,23.7786269149743,24.348359060662,24.3529316487028,0
