"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,4,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,8.93398706570667,0,0,0,4,4,15.8640152996995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.93398706570667,0,25.5386063315817,0,0,0,8.59949380354674,28.1500510098355,16.2507842145406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25.5386063315817,0,13.8167572994599,0,0,0,21.2809299422078,14.4351676353125,15.0117456097148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13.8167572994599,0,0,0,0,0,17.1023415697646,4,31.4012688671001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,4,0,0,0,0,0,5.05634100255133,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,4,0,4,0,0,0,0,4,4,7.55275573214223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,8.59949380354674,0,0,0,4,0,4,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15.8640152996995,28.1500510098355,21.2809299422078,0,0,0,4,0,9.25532565540127,0,0,0,0,29.6647898936254,30.845217851719,16.1875348104678,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16.2507842145406,14.4351676353125,17.1023415697646,0,0,0,9.25532565540127,0,4,0,0,0,0,22.3630924145646,7.44900116472366,12.5852068487359,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15.0117456097148,4,0,0,0,0,4,0,4,0,0,0,0,6.76466013956398,4,12.1811792648577,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31.4012688671001,0,0,0,0,0,4,0,0,0,0,0,0,24.0969665304857,14.7503808840211,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.05634100255133,4,0,0,0,0,0,0,4,0,0,0,0,0,10.6612987739769,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,4,4,0,0,0,0,4,0,9.07538472497095,0,0,0,0,14.9617735113068,4,11.7869707825254,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7.55275573214223,4,29.6647898936254,0,0,0,0,9.07538472497095,0,31.0296371151986,0,0,0,0,26.3127025206141,37.4049754355,41.6814300620108,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,30.845217851719,22.3630924145646,0,0,0,0,31.0296371151986,0,28.3284631671016,0,0,0,0,23.8956217800275,19.7738881915469,15.6703398947019,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16.1875348104678,7.44900116472366,6.76466013956398,0,0,0,0,28.3284631671016,0,11.7626093251212,0,0,0,0,32.2025495646959,4,18.9668763244972,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12.5852068487359,4,24.0969665304857,0,0,0,0,11.7626093251212,0,26.2520167083829,0,0,0,0,32.5010829001055,21.6228925873598,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12.1811792648577,14.7503808840211,0,0,0,0,0,26.2520167083829,0,0,0,0,0,0,27.1431360069087,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10.6612987739769,14.9617735113068,0,0,0,0,0,0,4,0,0,0,0,4,25.1786625879734,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,4,26.3127025206141,0,0,0,0,4,0,23.4362850136955,0,0,0,13.5038398657216,13.0992193320281,17.4790222703466,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,11.7869707825254,37.4049754355,23.8956217800275,0,0,0,0,23.4362850136955,0,34.7011667724973,0,0,0,27.0337247685914,25.5471850770347,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6814300620108,19.7738881915469,32.2025495646959,0,0,0,0,34.7011667724973,0,14.1243841071228,0,0,0,29.4781035260523,19.6517697437477,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6703398947019,4,32.5010829001055,0,0,0,0,14.1243841071228,0,4,0,0,0,18.1719738539233,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9668763244972,21.6228925873598,27.1431360069087,0,0,0,0,4,0,0,0,0,36.7174552560611,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.5038398657216,0,0,0,0,0,22.8903240504378,0,0,20.4577904250167
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1786625879734,13.0992193320281,27.0337247685914,0,0,0,22.8903240504378,0,16.8619389184363,0,12.3012871964642
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4790222703466,25.5471850770347,29.4781035260523,0,0,0,16.8619389184363,0,0,11.6743226248019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6517697437477,18.1719738539233,36.7174552560611,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4577904250167,12.3012871964642,11.6743226248019,0,0
