"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
0,24.9780208673694,20.7171154781146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.9780208673694,0,22.9176288976909,32.919198071551,42.5730884083221,10.9071477666469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.7171154781146,22.9176288976909,0,0,36.9569230833791,13.0550672282606,13.1121467124033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32.919198071551,0,0,28.6193549990979,0,0,0,26.1390722319276,22.8654414897951,27.2168432704349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42.5730884083221,36.9569230833791,28.6193549990979,0,20.6115736744082,0,0,0,27.4061157513132,25.3670219136651,20.6656009451427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10.9071477666469,13.0550672282606,0,20.6115736744082,0,4,0,0,0,21.7274039244709,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13.1121467124033,0,0,4,0,19.6810363410998,0,0,0,24.1915804731189,4,23.5854966579431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19.6810363410998,0,0,0,0,0,20.6604841287801,28.4645634001866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26.1390722319276,0,0,0,0,0,22.3784340290668,0,0,0,0,28.1996625514414,22.7159715536437,25.2004055429893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,22.8654414897951,27.4061157513132,0,0,0,22.3784340290668,0,24.2875795722038,0,0,0,0,19.6418581233512,19.8142514119838,22.8131275392427,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,27.2168432704349,25.3670219136651,21.7274039244709,0,0,0,24.2875795722038,0,14.3016067520241,0,0,0,0,25.0882782612559,25.2821499156311,23.2459895091688,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20.6656009451427,4,24.1915804731189,0,0,0,14.3016067520241,0,17.7016608259081,0,0,0,0,20.5834117964441,19.2230530044773,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,4,20.6604841287801,0,0,0,17.7016608259081,0,15.7863605095433,0,0,0,0,18.815263113753,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,23.5854966579431,28.4645634001866,0,0,0,0,15.7863605095433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,28.1996625514414,0,0,0,0,0,0,24.6781028158736,0,0,0,12.1454362927757,23.5764218926061,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,22.7159715536437,19.6418581233512,0,0,0,0,24.6781028158736,0,20.9942283197501,0,0,15.9181539509722,19.3261817137,22.0576322522859,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,25.2004055429893,19.8142514119838,25.0882782612559,0,0,0,0,20.9942283197501,0,24.6968326037637,0,0,23.2124243689561,20.1588605467606,23.7378358235229,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,22.8131275392427,25.2821499156311,20.5834117964441,0,0,0,0,24.6968326037637,0,25.5938160727197,0,0,24.8383256496911,33.1582125409395,26.2995303008215,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,23.2459895091688,19.2230530044773,18.815263113753,0,0,0,0,25.5938160727197,0,0,0,0,29.755280760923,20.0408614543088,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1454362927757,15.9181539509722,0,0,0,0,16.8109757321405,0,0,0,20.0546995409057,4,11.5962192170359,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5764218926061,19.3261817137,23.2124243689561,0,0,16.8109757321405,0,23.4090215393284,0,0,0,20.6759968082086,21.5553466581704,24.316914933516,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0576322522859,20.1588605467606,24.8383256496911,0,0,23.4090215393284,0,23.6134557470819,0,0,0,25.7749932723335,24.1850303081251,0,0,0
