"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
0,0,0,0,0,0,0,0,27.6344910604059,17.5942308323769,0,0,0,0,0,0,0,0
0,0,23.94485664408,0,0,0,0,0,0,0,26.5899790375705,23.4385710061672,23.3323844510261,0,0,0,0,0
0,23.9579309599528,0,23.3041008507869,0,0,0,0,0,0,0,22.8981576102556,22.9438897861439,24.3618805761924,0,0,0,0
0,0,23.3032972211655,0,22.2035360703687,0,0,0,0,0,0,0,24.3549662478772,22.1449660230183,21.6675164070864,0,0,0
0,0,0,22.222841560943,0,20.6205894496385,0,0,0,0,0,0,0,24.0325909183943,22.1026085182498,28.5847720637564,0,0
0,0,0,0,20.6315856065072,0,23.715973212668,0,0,0,0,0,0,0,19.0172317910414,18.1530024555058,22.4310416381639,0
0,0,0,0,0,23.7185141625051,0,24.0227722078278,0,0,0,0,0,0,0,28.393194964547,27.4566821974158,26.7654392634922
0,0,0,0,0,0,24.0505580445999,0,26.1521646527754,0,0,0,0,0,0,0,27.7309100501842,22.9164236591413
27.6389502302388,0,0,0,0,0,0,26.1634563723645,0,20.0960112494333,0,0,0,0,0,0,0,29.625594731199
17.5965005873084,0,0,0,0,0,0,0,20.0919421841467,0,0,0,0,0,0,0,0,0
0,26.5957705045923,0,0,0,0,0,0,0,0,0,22.5755336934465,0,0,0,0,0,0
0,23.4337942161501,21.8126908325263,0,0,0,0,0,0,0,22.5817682977497,0,21.2410049813272,0,0,0,0,0
0,23.3337354678523,22.1329841541759,24.3582489581362,0,0,0,0,0,0,0,21.2387170693426,0,23.6322138608483,0,0,0,0
0,0,24.3608516341104,22.1437152282364,24.0274897843105,0,0,0,0,0,0,0,23.6222131088983,0,20.0862186264956,0,0,0
0,0,0,21.6781102438244,22.1061642284356,19.0172317910414,0,0,0,0,0,0,0,20.0842080757426,0,26.4947391227164,0,0
0,0,0,0,28.5936285304648,18.1533334121115,28.3997687606561,0,0,0,0,0,0,0,26.4853496948588,0,27.5323036232725,0
0,0,0,0,0,22.4373750416852,27.4727244518928,27.7416091298327,0,0,0,0,0,0,0,27.5313023828132,0,26.0309676405065
0,0,0,0,0,0,26.7818519593914,22.9244826797445,29.6340667001023,0,0,0,0,0,0,0,26.031521681567,0
