"ID","gwgroupid","status"
19465,43502000,"JUNIOR PARTNER"
19769,43502000,"JUNIOR PARTNER"
19382,43502000,"JUNIOR PARTNER"
19468,43502000,"JUNIOR PARTNER"
19771,43502000,"JUNIOR PARTNER"
19772,43502000,"JUNIOR PARTNER"
19470,43502000,"JUNIOR PARTNER"
19397,43502000,"JUNIOR PARTNER"
19387,43502000,"JUNIOR PARTNER"
19263,43502000,"JUNIOR PARTNER"
19571,43502000,"JUNIOR PARTNER"
19394,43502000,"JUNIOR PARTNER"
19695,43502000,"JUNIOR PARTNER"
20243,43502000,"JUNIOR PARTNER"
19053,43502000,"JUNIOR PARTNER"
19577,43502000,"JUNIOR PARTNER"
19189,43502000,"JUNIOR PARTNER"
19483,43502000,"JUNIOR PARTNER"
19578,43502000,"JUNIOR PARTNER"
19841,43502000,"JUNIOR PARTNER"
19907,43502000,"JUNIOR PARTNER"
19349,43502000,"JUNIOR PARTNER"
19829,43502000,"JUNIOR PARTNER"
19127,43502000,"JUNIOR PARTNER"
19262,43502000,"JUNIOR PARTNER"
19985,43502000,"JUNIOR PARTNER"
19093,43502000,"JUNIOR PARTNER"
19097,43502000,"JUNIOR PARTNER"
19431,43502000,"JUNIOR PARTNER"
19754,43502000,"JUNIOR PARTNER"
19523,43502000,"JUNIOR PARTNER"
19757,43502000,"JUNIOR PARTNER"
19525,43502000,"JUNIOR PARTNER"
19155,43502000,"JUNIOR PARTNER"
19474,43502000,"JUNIOR PARTNER"
19762,43502000,"JUNIOR PARTNER"
19388,43502000,"JUNIOR PARTNER"
19390,43502000,"JUNIOR PARTNER"
19125,43502000,"JUNIOR PARTNER"
19677,43502000,"JUNIOR PARTNER"
19441,43502000,"JUNIOR PARTNER"
19466,43502000,"JUNIOR PARTNER"
19131,43502000,"JUNIOR PARTNER"
19676,43502000,"JUNIOR PARTNER"
19381,43502000,"JUNIOR PARTNER"
19158,43502000,"JUNIOR PARTNER"
19421,43502000,"JUNIOR PARTNER"
19839,43502000,"JUNIOR PARTNER"
