"ID","status","group","hist_discr","hist_monop"
21583,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21422,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21660,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21420,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21662,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21578,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21419,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21581,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21501,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21579,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21502,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21503,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21500,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21341,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21582,"SENIOR PARTNER","Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)",0,0
21414,"JUNIOR PARTNER","Southwestern (Adja)",0,0
21413,"JUNIOR PARTNER","Southwestern (Adja)",0,0
21415,"JUNIOR PARTNER","Southwestern (Adja)",0,0
19522,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19521,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19565,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19225,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19265,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19998,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19226,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19524,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19516,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19531,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19846,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19515,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19193,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19517,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19222,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19294,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19295,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19227,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19847,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19345,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19849,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19299,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19223,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19925,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19186,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19336,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19616,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19559,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19266,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19916,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19530,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19905,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19306,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19924,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19346,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19297,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19224,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19335,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19298,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19628,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19844,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
20000,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19848,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19560,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19467,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19099,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
19691,"JUNIOR PARTNER","Haratins (Black Moors)",0,0
