"ID","x","y","RailKM","PlaceboKM","RailKM_military","RailKM_mining","dist2rail","dist2placebo"
18950,-23.75,15.25,0,0,0,0,680.790867328612,1098.57610762532
19045,-17.25,14.75,52.8222062666159,0,52.8222062666159,0,3.29064464273383,402.026738443788
19050,-16.75,14.25,0,0,0,0,56.537748679394,337.747249803016
19051,-16.75,14.75,0.0135264019375939,0,0.0135264019375939,47.8473077687243,1.95047507888654,350.452596824598
19052,-16.75,15.25,42.6521100228926,0,42.6521100228926,0,19.3070532867122,371.129834514269
19053,-16.75,21.25,0,0,0,0,584.418810579721,893.615544289116
19054,-16.75,21.75,0,0,0,0,639.958524203639,945.390684924657
19061,-16.25,11.25,0,0,0,0,300.349813508459,349.275924601212
19062,-16.25,12.75,0,0,0,0,157.682437538978,302.680163776105
19063,-16.25,13.25,0,0,0,0,102.687742476103,286.178058148012
19064,-16.25,13.75,0,0,0,0,49.0708808979383,279.92620022912
19065,-16.25,14.25,11.5098944314033,0,17.4456041090472,17.4456041090472,21.2905566258326,284.600898646397
19066,-16.25,14.75,28.8574575276686,0,28.8574575276686,25.0976697133429,8.86974465658698,299.691278933449
19067,-16.25,15.25,30.1162212790568,0,30.1162212790568,0,24.2425890499529,323.744113003266
19068,-16.25,15.75,15.4258008985853,0,15.4258008985853,0,2.69425298099294,354.942016431965
19069,-16.25,16.25,0,0,0,0,36.6266619680721,391.580917323343
19070,-16.25,16.75,0,0,0,0,87.2224925077173,432.279526441058
19071,-16.25,19.25,0,0,0,0,362.274020509392,668.721407629137
19072,-16.25,19.75,0,0,0,0,417.750921457534,719.574475187224
19073,-16.25,20.75,0,0,0,0,528.780664413422,823.116134643906
19074,-16.25,21.25,0,0,0,0,584.31907658338,875.587691930832
19075,-16.25,21.75,0,0,0,0,639.867734256679,928.421031451204
19076,-16.25,22.25,0,0,0,0,695.424182269838,981.55773313759
19077,-16.25,22.75,0,0,0,0,750.986691668698,1034.95107022808
19083,-15.75,12.25,0,0,0,0,206.737250778624,273.242918872045
19084,-15.75,12.75,0,0,0,0,151.464329917479,253.34973065211
19085,-15.75,13.25,0,0,0,0,96.4267055485144,233.505848129317
19086,-15.75,13.75,0,0,0,0,41.2571217059748,225.927998085435
19087,-15.75,14.25,6.79519453531428,0,54.1727170488181,54.1727170488181,11.5516875680159,231.822181284077
19088,-15.75,14.75,17.6705307580353,0,17.6705307580353,0,16.7843426640964,250.238229075687
19089,-15.75,15.25,55.7224080601517,0,55.7224080601517,0,17.4244074117367,278.704866765995
19090,-15.75,15.75,1.19587394976087,0,1.19587394976087,0,33.8628549481535,314.50471817614
19091,-15.75,16.25,0,0,0,0,65.3317995612495,355.428777304798
19092,-15.75,16.75,0,0,0,0,107.95383179765,399.906984188083
19093,-15.75,17.25,0,0,0,0,158.215846944759,446.879354741593
19094,-15.75,17.75,0,0,0,0,209.897398738959,495.637266349766
19095,-15.75,18.25,0,0,0,0,262.23792328337,545.702319151855
19096,-15.75,18.75,0,0,0,0,315.693517019936,596.745607741342
19097,-15.75,19.25,0,0,0,0,369.780911814071,648.536194821299
19098,-15.75,19.75,0,0,0,0,424.258537277463,700.908443648901
19099,-15.75,20.25,0,0,0,0,478.993264759803,753.741115835083
19100,-15.75,20.75,0,0,0,0,533.906027578326,806.943779941093
19101,-15.75,21.25,0,0,0,0,588.947028242836,860.447806145086
19102,-15.75,21.75,0,0,0,0,644.083391236071,914.200282622811
19103,-15.75,22.25,0,0,0,0,699.2925599785,968.159826925103
19104,-15.75,22.75,0,0,0,0,754.558553439286,1022.29364942396
19105,-15.75,23.25,0,0,0,0,809.86973828805,1076.57545927269
19106,-15.75,23.75,0,0,0,0,865.21744749396,1130.98394731889
19112,-15.25,11.25,0,0,0,0,200.221547275744,249.858323673533
19113,-15.25,11.75,0,0,0,0,232.166458203163,228.248295433957
19114,-15.25,12.25,0,0,0,0,197.800901361821,218.963769303634
19115,-15.25,12.75,0,0,0,0,143.849139369229,206.430034628006
19116,-15.25,13.25,0,0,0,0,89.4405178990213,181.649458187067
19117,-15.25,13.75,0,0,0,0,34.3718392541815,171.931285630033
19118,-15.25,14.25,55.4330157647863,0,55.4330157647863,55.4330157647863,18.8156880315738,179.735592478374
19119,-15.25,14.75,0,0,0,0,65.8473655388743,203.051900494779
19120,-15.25,15.25,41.757505457059,0,41.757505457059,0,11.6567481963447,237.351933043275
19121,-15.25,15.75,0,0,0,0,40.3089839465514,278.608112686353
19122,-15.25,16.25,0,0,0,0,95.5061854570141,324.175407743193
19123,-15.25,16.75,0,0,0,0,142.199364220649,372.474943191322
19124,-15.25,17.25,0,0,0,0,183.722787176566,422.570875612974
19125,-15.25,17.75,0,0,0,0,230.940738175919,473.893848059305
19126,-15.25,18.25,0,0,0,0,281.152970952374,526.084865359293
19127,-15.25,18.75,0,0,0,0,332.870813764147,578.909201116677
19128,-15.25,19.25,0,0,0,0,384.508478294203,632.208123243352
19129,-15.25,19.75,0,0,0,0,437.117654714586,685.870999878124
19130,-15.25,20.25,0,0,0,0,490.385767355532,739.818636034187
19131,-15.25,20.75,0,0,0,0,544.119324900598,793.992989389827
19132,-15.25,21.25,0,0,0,0,598.192912269754,848.350626903278
19133,-15.25,21.75,0,0,0,0,652.522001130133,902.858443940333
19134,-15.25,22.25,0,0,0,0,707.04769580149,957.490791944231
19135,-15.25,22.75,0,0,0,0,761.727776947424,1012.22750666063
19136,-15.25,23.25,0,0,0,0,816.531228646149,1067.05252632176
19137,-15.25,23.75,0,0,0,0,871.434774906601,1121.95290499164
19138,-15.25,24.25,0,0,0,0,926.420619394372,1176.91809600641
19142,-14.75,10.75,0,0,0,0,127.44068357148,234.509502824924
19143,-14.75,11.25,0,0,0,0,154.744947320605,203.508869139564
19144,-14.75,11.75,0,0,0,0,194.187853138862,176.744398272947
19145,-14.75,12.25,0,0,0,0,191.414001400586,164.698023252203
