"ID","wb_disbursements","wb_commitments","wb_transport_disbursements","wb_transport_disbursements_completed","number_wb_projects","number_wb_projects_transport","number_wb_incomplete_projects","wb_transport_disbursements_incompleted","number_wb_transport_projects_incompleted","china_aid","china_transport_aid","china_transport_aid_completed","number_china_projects","number_china_projects_transport"
19773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
