"country","ethn_NAME","tuple_ID","rugg","malaria","pop","lights","zeta","x","y","growingdays","temp","altitude","urban","landsuit","precip","first.x","first.y","RailKM","zeta_1","strict_mean_zeta","wbcode","group","region_n","region_s","region_w","region_e","region_c","mean_elev","mean_suit","cluster","split5pc","split10pc","island","lnkm2split","petroleum","city1400","malariasuit","capital","capdistance1","diamondd","borderdist1","seadist1","coastal","fneigh","lnpop60","ndis","etwar","ewar_hist","war","dis","pw","aut","sds","lakedum","riverdum","ex"
"Algeria","AHAGGAREN",14,1033.84125525989,0,195359.4588343,0.0415681958644068,1.02848042576159,4.18785310734463,23.8375706214689,6.2394852440678,25.2826682485876,682.387091242938,0,0.00277401129943503,3.23635628813559,0.25,22.75,0,1.06093715661796,1.02063913066959,"DZA","Berbers",1,0,0,0,0,0.666002631187439,0.00274881534278393,"Tuareg",0,0,0,6.20216608047485,1,0,0.00203486811369658,0,1.44575309753418,0,0.434098362922668,1.20384907722473,0,0.833333313465118,9.36521816253662,0,0,0,0,0,1,0,0.488504201173782,0,0,1
"Algeria","ALGERIANS",9,7850.66913125,0.0148865972222222,20640607.3160569,12.6887166909444,1.00224656342181,2.81944444444444,35.9305555555556,179.522706458333,16.1343302777778,584.328369777778,0.805555555555556,0.659833333333333,39.4484590277778,-1.75,34.75,0,1.00245286892944,1.00261771944162,"DZA","Arabs",1,0,0,0,0,0.54159140586853,0.626798152923584,"Bedouin Arabs",1,0,0,4.38592529296875,1,1,0.00736259995028377,1,0.103888481855392,0,0.474615275859833,0.0653039738535881,1,0.25,15.6236400604248,0,0,0,0,0,0,0,0.488504201173782,0,0,0
"Algeria","AZJER",22,2594.87250502439,0,56235.8061053,0.237742094012195,1.01256900851362,7.80487804878049,26.5243902439024,4.67411923670732,23.0965253658537,759.589309756098,0,0.00284146341463415,2.17342704878049,4.25,28.25,0,1.01916715400528,1.01401461773744,"DZA","Berbers",1,0,0,0,0,0.711132645606995,0.0025620439555496,"Tuareg",1,1,0,5.66514539718628,1,0,0.000983623089268804,0,1.17494535446167,0,0.179585143923759,0.715205073356628,0,0.375,8.48655796051025,0,0,0,0,0,1,0,0.488504201173782,0,0,1
"Algeria","CHAAMBA",16,234.497773614286,0,891928.6787737,0.466292491614286,1.01423479433993,5.02857142857143,31.1285714285714,14.3464285642857,22.4355725714286,293.741271028571,0,0.00291428571428571,4.27656482142857,1.75,30.25,0,1.03522799387741,1.08625651668188,"DZA","Arabs",1,0,0,0,0,0.288460671901703,0.0031416667625308,"Bedouin Arabs",1,0,0,5.46361923217773,1,0,0.000423599994974211,0,0.677395343780518,0,0.318572074174881,0.545985281467438,0,0.272727280855179,11.7040891647339,0,0,0,0,0,0,0,0.488504201173782,0,0,0
"Algeria","DUI-MENIA",5,1599.45161228571,0,135596.3275632,0.125049161095238,1.03764154814524,-2.3452380952381,30.5357142857143,20.2050267142857,21.8887895238095,633.757776190476,0,0.00728571428571429,5.17293014285714,-3.75,30.75,0,1.06453622567145,1.02522479523764,"DZA","Arabs",1,0,0,0,0,0.680974662303925,0.00926470570266247,"Bedouin Arabs",1,0,0,3.93975234031677,1,0,0.000192499996046536,0,0.848101317882538,0,0.130730152130127,0.443676084280014,0,0.28571429848671,10.4017543792725,0,0,0,0,0,0,0,0.488504201173782,0,0,0
"Algeria","FIGIG",11,1851.9974625,0.0039622,39233.2810087,0.147182157,1.019621307549,-0.875,32,31.729166875,19.1155425,906.00958125,0,0.00875,10.304533,-1.25,31.25,0,1.02102783317874,1.03197839040648,"DZA","Berbers",1,0,0,0,0,1.03720200061798,0.0106363641098142,"Plateu Nigerians - Chadic",0,0,0,2.54365849494934,1,0,0,0,0.628669857978821,0,0.0364125221967697,0.30909851193428,0,0.25,10.2329616546631,0,0,0,0,0,1,0,0.488504201173782,0,0,1
"Algeria","GIL",7,4504.86533333333,0.00361166666666667,135352.3179268,1.28064154233333,1.0265034588496,-1.75,32.0833333333333,31.8240725,18.8177866666667,1028.53044166667,0,0.0163333333333333,9.42845366666667,-2.25,31.75,0,1.12744311504533,1.07045463240477,"DZA","Arabs",1,0,0,0,0,1.12339687347412,0.0270000007003546,"Bedouin Arabs",1,1,0,2.08776450157166,0,0,0,0,0.684924483299255,0,6.11100040259771e-05,0.286764562129974,0,0.142857149243355,10.1959209442139,0,0,0,0,0,0,0,0.488504201173782,0,0,0
"Algeria","HAMAMA",28,3137.2298625,0.0296568,597597.2311883,2.18930997875,0.999829840428727,8.125,35.125,99.16666375,16.2700325,833.21624375,0,0.59025,22.12487875,7.75,34.75,0,0.999027322513946,0.994937586061894,"DZA","Arabs",1,0,0,0,0,0.641083300113678,0.380199998617172,"Bedouin Arabs",1,1,0,2.10799717903137,1,0,0.00889021437615156,0,0.4829081594944,0,0.0349509492516518,0.173797681927681,0,0.28571429848671,11.974760055542,0,0,0,0,0,0,0,0.488504201173782,0,0,0
"Algeria","HAMYAN",12,2556.415643,0.0230033073170732,3925748.2698716,1.1082159355122,1.00371429087104,1.44512195121951,34.4573170731707,103.955959085366,15.8851114634146,1021.73031219512,0.0487804878048781,0.202170731707317,23.3615015853659,-1.25,33.25,0,1.00374925710983,0.999508633885296,"DZA","Arabs",1,0,0,0,0,0.996483147144318,0.233621209859848,"Bedouin Arabs",0,0,0,4.68978261947632,1,0,0.00357314292341471,0,0.294979244470596,0,0.317778706550598,0.189958170056343,0,0.222222223877907,13.903959274292,0,0,0,0,0,0,0,0.488504201173782,0,0,0
"Algeria","KABYLE",21,11243.205875,0.007955225,2508634.8633513,8.61156730375,0.999706635601483,4.25,36.625,219.95833125,16.1089725,500.45077,1,0.78,53.26678,3.75,36.75,0,0.999631747187802,1.00051525164162,"DZA","Berbers",1,0,0,0,0,0.474347203969955,0.795750021934509,"Plateu Nigerians - Chadic",0,0,0,2.28994226455688,1,1,0.0103045403957367,0,0.11499048024416,0,0.405530422925949,0.0329887084662914,1,0,13.9001874923706,0,0,0,0,0,1,0,0.488504201173782,0,0,1
