"gwgroupid","group","country","pop","rugg","malaria","lights","growingdays","temp","altitude","urban","landsuit","precip","x","y","first.x","first.y","RailKM","zeta","strict_mean_zeta","status","hist_discr","hist_monop"
40401000,"Balanta","Guinea-Bissau",455491.1225958,1210.52360625,15.7513175,0.00473286675,176.05208125,26.86755,22.3728435,0.25,0.54475,175.2411375,-15.125,11.875,-15.25,11.75,0,1.02810491380619,1.02585353245147,"SENIOR PARTNER",0,0
42001000,"Mandinka","Gambia",187382.5927094,1020.44925,13.45156,0.092120301,138.3611,26.75753,24.757012,0,0.519,103.59542,-16.25,13.25,-16.25,13.25,0,NA,NA,"IRRELEVANT",0,0
43202000,"Tuareg","Mali",153471.392117,708.079225,30.98865,0.008897124,73.2777775,28.20304,510.2061,0,0.052,45.599475,-3.25,14.75,-3.25,14.75,0,1.07612094221651,1.07612094221651,"JUNIOR PARTNER",1,0
43303000,"Serer","Senegal",2203409.8179522,356.45639875,16.72748,0.65198167525,109.0121475,27.235135,19.843,0.25,0.2255,63.6125275,-16.25,14.375,-16.75,14.25,0,1.02250996813706,1.0279224465591,"JUNIOR PARTNER",0,0
43305000,"Diola","Senegal",268017.074312,1433.880975,13.04578,0.321927358,147.416675,26.53814,20.876113,0,0.461,115.8988,-16.25,12.75,-16.25,12.75,0,0.994605520457933,0.994605520457933,"JUNIOR PARTNER",0,0
43401000,"South/Central (Fon)","Benin",2234408.3287626,386.3804286,28.914732,0.3329933764,236.53889,27.483686,133.909006,0.4,0.578,92.391123,2.15,7.55,1.75,7.75,0,1.00765793442496,1.02771043579419,"JUNIOR PARTNER",0,0
43402000,"Southeastern (Yoruba/Nagot and Goun)","Benin",1791889.9147842,315.1089375,28.546075,1.5254160665,248.597225,27.464985,69.4709765,0.5,0.7125,99.7556975,2.75,7,2.75,6.75,0,1.0058511147048,1.02027927254418,"JUNIOR PARTNER",0,0
43403000,"Northern (Bariba, Peul, Ottamari, Yoa-Lokpa, Dendi, Gourmanchéma)","Benin",3122853.4324556,441.340940086956,24.8257191304348,0.0707375976086956,180.795891304348,27.6095104347826,320.293717391304,0,0.453565217391304,95.1439002173913,2.31521739130435,10.4239130434783,1.25,10.75,0,1.00427370934908,1.01125029865452,"SENIOR PARTNER",0,0
43404000,"Southwestern (Adja)","Benin",2032918.9454875,254.247671,23.2222333333333,1.23643836066667,238.885808333333,27.3152233333333,96.2507066666667,0.666666666666667,0.654,84.8511175,1.75,6.75,1.75,6.75,0,1.00716416495087,1.01359247729968,"JUNIOR PARTNER",0,0
43502000,"Haratins (Black Moors)","Mauritania",3195502.1073152,332.420022488818,1.36017746325879,0.0207479937827476,18.7686368105431,27.8878008626198,260.421017268371,0.0447284345047923,0.0055814696485623,12.6246051900958,-10.5982428115016,20.4241214057508,-10.25,21.25,0,1.01246569708992,0.997561976608178,"JUNIOR PARTNER",0,0
43601000,"Djerma-Songhai","Niger",2945332.587963,605.8062574,26.26288,0.208811061466667,83.1740728333333,29.4451386666667,248.951025,0.0666666666666667,0.0305333333333333,46.625881,2.18333333333333,13.8166666666667,2.25,14.75,0,1.01792985061056,1.0700432285801,"JUNIOR PARTNER",0,0
43603000,"Kanouri","Niger",166377.5492687,31.0821886666667,11.7322766666667,0.00517417933333333,38.00926,28.1359,460.189266666667,0,0.00166666666666667,23.4260616666667,8.75,15.25,8.75,15.25,0,1.04021928784542,1.04018529224503,"JUNIOR PARTNER",0,0
43606000,"Tuareg","Niger",6684967.1189666,472.150275327778,8.22149977777778,0.0205910990555556,32.1310184722222,28.2202769444444,463.178411666667,0,0.00508333333333333,21.8034728472222,7.82222222222222,16.7055555555556,8.25,19.75,0,1.02475383890473,1.01732908165511,"JUNIOR PARTNER",1,0
43701000,"Baule (Akan)","Cote-dIvoire",1922054.5786375,298.117888125,23.729495,1.664306828375,268.9479125,26.8320525,193.7099675,0.375,0.41125,93.883568125,-4.8125,7.3125,-4.75,7.25,0,1.00704016384414,1.00923924724052,"JUNIOR PARTNER",0,0
43703000,"Northerners (Mande and Voltaic/Gur)","Burkina-Faso",4138276.8945013,721.29915644898,21.6546189795918,0.124125246326531,220.035145918367,26.5944693877551,352.47838877551,0,0.468163265306122,105.83165244898,-5.49489795918367,9.0969387755102,-4.25,9.75,0,1.00833869306219,1.00575862086761,"SENIOR PARTNER",1,0
43704000,"Other Akans","Cote-dIvoire",8060376.1619805,440.538283894737,22.6213905263158,1.78326687568421,296.232455263158,26.9068147368421,134.109568578947,0.210526315789474,0.292052631578947,124.094769210526,-3.96052631578947,6.27631578947368,-4.75,6.25,0,1.00645077344227,0.998431601406578,"JUNIOR PARTNER",0,0
43705000,"Southern Mande","Cote-dIvoire",1203972.6337661,1303.442702,17.437414,0.2328621116,280.966655,25.039106,413.67967,0.6,0.413,152.13429,-7.85,7.35,-7.75,7.25,0,1.00248613830076,1.00340012646418,"JUNIOR PARTNER",1,0
43803000,"Susu","Guinea",75254.2776661,1957.829232,19.41492,0.0033995,217.777775,25.18606,596.2739,0,0.596,154.2981,-11.25,10.25,-11.25,10.25,0,0.990262258490626,0.990262258490626,"JUNIOR PARTNER",0,0
45003000,NA,"Liberia",1407467.1072865,564.823545764706,19.81885,0.0522194899411765,309.68805,25.5921005882353,172.950899176471,0.176470588235294,0.33,256.979935294118,-9.30882352941176,5.89705882352941,-11.25,6.75,0,1.02089111134605,1.03489574100653,NA,NA,NA
45003020,"Gio","Liberia",143489.8093719,1009.527275,20.1921,0.035537731,300.8333,25.66971,300.00975,1,0.463,157.6473,-8.75,6.75,-8.75,6.75,0,1.02079086697375,1.02079086697375,"JUNIOR PARTNER",1,0
45003050,"Krahn (Guere)","Liberia",150499.9762502,645.040001666667,19.29075,0.0289653203333333,316.240758333333,25.4707266666667,217.263133333333,0,0.356666666666667,211.681133333333,-8.25,5.91666666666667,-8.75,5.75,0,0.992857541447369,1.00105498487531,"JUNIOR PARTNER",1,0
45003070,"Mandingo","Liberia",906883.3891806,1008.089305,16.9802,0.030824072125,291.75,24.91109875,382.693425,0.25,0.449625,199.7521125,-9.875,7.5625,-10.25,8.25,0,1.03218661879853,1.03051106861499,"JUNIOR PARTNER",1,0
