"","Country","Leader name","Entered office","Left office","ADM1 region","ADM2 region","Ethnicity","until","from","years_in_power","x","y"
"67","Mauritius","Navinchandra Ramgoolam","22.12.1995","17.09.2000","Port Louis","Hindu","",2000,1995,5,57.5028044,-20.1624522
"68","Mauritius","Paul Berenger","30.09.2003","05.07.2005","Moka","French","",2005,2003,2,57.50275,-20.2218738
"69","Morocco","Mohammed VI of Morocco","23.07.1999","ongoing","Rabat - Salé - Zemmour - Zaer","Rabat","BERBER",2014,1999,15,-6.834543,34.022405
"70","Mozambique","Armando Emilio Guebuza","02.02.2005","ongoing","Nampula","Murrupula","MAKUA",2014,2005,9,38.682101,-15.4681939
"71","Mozambique","Joaquim Alberto Chissano","06.11.1986","02.02.2005","Gaza","Chibuto","TSONGA",2005,1986,19,33.5490566489908,-24.2656131
"72","Namibia","Sam Daniel Nujoma","21.03.1990","21.03.2005","Omusati","Okahao","OVAMBO",2005,1990,15,15.0690985100619,-17.88691825
"73","Namibia","Hifikepunye Pohamba","21.03.2005","ongoing","Ohangwena","Engela","OVAMBO",2014,2005,9,15.8690768,-17.451224
"74","Niger","Mahamadou Issoufou","07.04.2011","ongoing","Tahoua","Illéla","HAUSA",2014,2011,3,5.2455312,14.4590368
"75","","","","","","","",NA,NA,NA,NA,NA
"76","Niger","Salou Djibo","08.02.2010","07.04.2011","Tillabéry","Kollo","DJERMA",2011,2010,1,2.316525,13.3420771
"77","Niger","Mamadou Tandja","22.12.1999","08.02.2010","Di↵a","Ma´’iné-Soroa","FULA",2010,1999,11,NA,NA
"78","Nigeria","Goodluck Jonathan","09.02.2010","ongoing","Bayelsa","Ogbia","IJAW",2014,2010,4,6.3166058,4.6868354
"79","Nigeria","Olusegun Obasanjo","29.05.1999","29.05.2007","Ogun","Abeokuta South","YORUBA",2007,1999,8,3.364475194083,7.15928935
"80","Nigeria","Umaru Musa Yar’Adua","29.05.2007","09.02.2010","Katsina","Katsina (K)","FULA",2010,2007,3,10.666667,8.166667
