"wbcode","ethn_NAME","ID","country","rownumber","x","y","region","subregion","pop","lights","num_landpixels","gridarea","pop_dens","pop_sd","lights_sd","rugg","altitude","landsuit","temp","precip","growingdays","malaria","harbor","alternative_lights","lights_raw","un_code","urban","P_stat","P_opt","util_stat","util_opt","inflows_stat","outflows_stat","inflows_opt","outflows_opt","I_change","zeta","biomes7_9","distc","harbor25","river25","lake25","biomes1","biomes4","biomes5","biomes6","biomes8","biomes10","biomes11","biomes12","biomes13","biomes14","biomes2_3","years_in_power","polity","ethn_ID","group","region_n","region_s","region_w","region_e","region_c","mean_elev","mean_suit","cluster","split5pc","split10pc","island","lnkm2split","petroleum","city1400","malariasuit","capital","capdistance1","diamondd","borderdist1","seadist1","coastal","fneigh","lnpop60","ndis","etwar","ewar_hist","war","dis","pw","aut","sds","lakedum","riverdum","ex"
"AGO","AMBO",24809,"Angola",171,16.75,-16.75,2,17,43487.7986221,0.0033995,900,2949.988,14.74168661774,1.650314501517,0,395.768975,1153.828,0.36,22.78974,46.969445,109.75,7.488855,492.96145,0,0,24,0,50.4287560725014,39.4259261094291,0.0397729517966232,0.0468653709010066,9.517808631125,0.510936528404836,19.0576148701951,3.06829650757176,39.659158933622,1.17832267367658,1,0.44781486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24465,"Angola",125,15.75,-16.75,2,17,52275.374383,0.0033995,900,2949.988,17.72053797609,0.278428694596,0,445.767225,1109.80675,0.285,22.62484,49.61205,108.8611,7.066446,402.05165,0,0,24,0,36.4232865358736,26.4318740844221,0.0494068585204898,0.0611816741093094,29.8591408646665,6.48541047233725,54.1803130314658,10.3327828906705,97.2333007591536,1.23832350287838,1,0.36912094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24294,"Angola",101,15.25,-17.25,2,17,88233.486733,0.045037167,900,2942.32,29.98772626125,15.60118231219,44.30978,289.71225,1101.735,0.159,21.93237,37.391855,109.527775,5.856136,380.24897,39.00368,1560.14721,24,0,29.9348553463654,27.0096061267357,0.0563103921288639,0.060306088428466,27.1826524100563,4.28003459122701,36.1172940472693,0.509410688274338,21.8326180718828,1.07095841723954,1,0.30354277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24635,"Angola",148,16.25,-16.75,2,17,50015.7513647,0.0033995,900,2949.988,16.95456095574,1.373017131979,0,391.7678,1132.374,0.295,22.76603,48.056345,108.333325,7.350212,447.20733,0,0,24,0,39.9049055770191,29.7582368238538,0.0464895992552733,0.0565329780362082,27.7857014047965,9.32207708853472,53.1323544080604,19.734212287803,101.332288402762,1.21603496140689,1,0.40764746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24810,"Angola",172,16.75,-16.25,2,17,52492.6045303,0.0033995,900,2957.436,17.74936280288,0.010705244857,0,914.45895,1175.11775,0.471,22.2976,52.462125,112.750025,6.323654,475.183,0,0,24,0,51.8197857841269,46.3083305719317,0.0390579626092276,0.0420985603365139,11.0719357021172,0.401540880211813,14.1610675198414,0.325802175133672,0.363577885939385,1.07784834446454,1,0.4688617225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24129,"Angola",78,14.75,-17.25,2,17,80981.71061,0.175036088,900,2942.32,27.52308063365,24.574486387233,149.460251,786.896675,1107.3565,0.184,20.78413,35.357245,110.972225,3.792584,336.02443,156.76763,6298.87668,24,0,18.1840671989213,17.3667651887026,0.0785077701772041,0.080951960810005,4.09312204353653,23.7027773931116,2.31877631971341,10.8228879699214,-22.9711819845355,1.03113310475236,1,0.265565645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24808,"Angola",170,16.75,-17.25,2,17,39053.8927279,0.0033995,900,2942.32,13.27316292174,2.641017412735,0,474.936625,1133.864,0.307,23.02051,41.95394,105.472225,8.073662,515.21745,0,0,24,0,49.1179783784978,37.2014188858453,0.0404774369665569,0.0487154805803522,8.62852510969143,0.261045690211695,17.2653253445435,1.25850995134185,43.5231273596351,1.20352186875374,1,0.42578227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24978,"Angola",192,17.25,-17.25,2,17,24346.7514622,0.0033995,900,2942.32,8.27467830222,4.997894452332,0,505.4211,1155.85225,0.289,23.25881,43.27095,111.2778,8.612234,559.76698,0,0,24,0,46.4903839170539,38.5114303637757,0.0419885849840729,0.0476043779716526,6.07796350527421,1.21894716940958,8.48443169249799,0.387866277968236,12.6339,1.13374570707038,1,0.467130125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24464,"Angola",124,15.75,-17.25,2,17,106534.1020293,1.104760376,900,2942.32,36.20751720727,64.446513663721,731.839483,192.22125,1097.25675,0.209,22.77308,43.2232,107.19445,7.620783,425.35855,994.2843275,43587.04813,24,0,7.71579390056358,8.96390110913203,0.139033540378964,0.125808105666159,1.08783113388168,228.194138691559,2.18585987586852,399.234034739546,418.627391970295,0.904875940893424,1,0.3429531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
"AGO","AMBO",24295,"Angola",102,15.25,-16.75,2,17,60559.6102641,0.007658174,900,2949.988,20.5287649523,2.513613765179,6.792128,559.2692,1112.0005,0.337,21.89279,47.178605,109.8611,5.538057,357.34753,6.1274685,245.09875,24,0,33.2938297241923,26.9525898849177,0.0524562803223763,0.0603911072308352,37.4600636353391,8.50891720927122,53.2879285963885,7.84735247902331,47.4698233754282,1.151265527401,1,0.3301194475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,21,"Ovimbundu-Ovambo",0,0,0,0,1,1.10793519020081,0.304095238447189,"Southwestern Bantu",1,1,0,3.66699814796448,0,0,0.838037073612213,0,0.949551820755005,0,0.0626648589968681,0.462165713310242,0,0.142857149243355,11.4001531600952,28,0,0,1,1,1,0,0.516397774219513,0,1,1
