"","ID","x","y","tribeid","tribename"
"69",19133,-15.25,21.75,170,"DELIM"
"70",19134,-15.25,22.25,170,"DELIM"
"71",19135,-15.25,22.75,170,"DELIM"
"72",19136,-15.25,23.25,170,"DELIM"
"73",19137,-15.25,23.75,299,"IMRAGEN"
"74",19138,-15.25,24.25,299,"IMRAGEN"
"75",19142,-14.75,10.75,563,"NALU"
"76",19143,-14.75,11.25,102,"BIAFADA"
"77",19144,-14.75,11.75,217,"FOUTADJALON"
"78",19145,-14.75,12.25,483,"MALINKE"
"79",19146,-14.75,12.75,483,"MALINKE"
"80",19147,-14.75,13.25,483,"MALINKE"
"81",19148,-14.75,13.75,483,"MALINKE"
"82",19149,-14.75,14.25,218,"FOUTATORO"
"83",19150,-14.75,14.75,218,"FOUTATORO"
"84",19151,-14.75,15.25,218,"FOUTATORO"
"85",19152,-14.75,15.75,218,"FOUTATORO"
"86",19153,-14.75,16.25,218,"FOUTATORO"
"87",19154,-14.75,16.75,777,"TUKULOR"
"88",19155,-14.75,17.25,771,"TRARZA"
"89",19156,-14.75,17.75,771,"TRARZA"
"90",19157,-14.75,18.25,771,"TRARZA"
"91",19158,-14.75,18.75,771,"TRARZA"
"92",19159,-14.75,19.25,170,"DELIM"
"93",19160,-14.75,19.75,170,"DELIM"
"94",19161,-14.75,20.25,170,"DELIM"
"95",19162,-14.75,20.75,170,"DELIM"
"96",19163,-14.75,21.25,170,"DELIM"
"97",19164,-14.75,21.75,170,"DELIM"
"98",19165,-14.75,22.25,170,"DELIM"
"99",19166,-14.75,22.75,170,"DELIM"
"100",19167,-14.75,23.25,170,"DELIM"
"101",19168,-14.75,23.75,170,"DELIM"
"102",19169,-14.75,24.25,647,"REGEIBAT"
"103",19170,-14.75,24.75,299,"IMRAGEN"
"104",19173,-14.25,10.25,54,"BAGA"
"105",19174,-14.25,10.75,432,"LANDUMA"
"106",19175,-14.25,11.25,728,"SUSU"
"107",19176,-14.25,11.75,217,"FOUTADJALON"
"108",19177,-14.25,12.25,217,"FOUTADJALON"
"109",19178,-14.25,12.75,483,"MALINKE"
"110",19179,-14.25,13.25,483,"MALINKE"
"111",19180,-14.25,13.75,483,"MALINKE"
"112",19181,-14.25,14.25,483,"MALINKE"
"113",19182,-14.25,14.75,218,"FOUTATORO"
"114",19183,-14.25,15.25,218,"FOUTATORO"
"115",19184,-14.25,15.75,218,"FOUTATORO"
"116",19185,-14.25,16.25,777,"TUKULOR"
"117",19186,-14.25,16.75,777,"TUKULOR"
"118",19187,-14.25,17.25,771,"TRARZA"
"119",19188,-14.25,17.75,771,"TRARZA"
"120",19189,-14.25,18.25,771,"TRARZA"
"121",19190,-14.25,18.75,771,"TRARZA"
"122",19191,-14.25,19.25,647,"REGEIBAT"
"123",19192,-14.25,19.75,647,"REGEIBAT"
"124",19193,-14.25,20.25,647,"REGEIBAT"
"125",19194,-14.25,20.75,647,"REGEIBAT"
"126",19195,-14.25,21.25,170,"DELIM"
"127",19196,-14.25,21.75,170,"DELIM"
"128",19197,-14.25,22.25,170,"DELIM"
"129",19198,-14.25,22.75,170,"DELIM"
"130",19199,-14.25,23.25,170,"DELIM"
"131",19200,-14.25,23.75,170,"DELIM"
"132",19201,-14.25,24.25,647,"REGEIBAT"
"133",19202,-14.25,24.75,647,"REGEIBAT"
"134",19203,-14.25,25.25,647,"REGEIBAT"
"135",19204,-14.25,25.75,299,"IMRAGEN"
"136",19205,-14.25,26.25,299,"IMRAGEN"
"137",19208,-13.75,10.25,728,"SUSU"
"138",19209,-13.75,10.75,728,"SUSU"
"139",19210,-13.75,11.25,217,"FOUTADJALON"
"140",19211,-13.75,11.75,217,"FOUTADJALON"
"141",19212,-13.75,12.25,217,"FOUTADJALON"
"142",19213,-13.75,12.75,483,"MALINKE"
"143",19214,-13.75,13.25,483,"MALINKE"
"144",19215,-13.75,13.75,483,"MALINKE"
"145",19216,-13.75,14.25,483,"MALINKE"
"146",19217,-13.75,14.75,218,"FOUTATORO"
"147",19218,-13.75,15.25,218,"FOUTATORO"
"148",19219,-13.75,15.75,218,"FOUTATORO"
"149",19220,-13.75,16.25,777,"TUKULOR"
"150",19221,-13.75,16.75,771,"TRARZA"
"151",19222,-13.75,17.25,771,"TRARZA"
"152",19223,-13.75,17.75,771,"TRARZA"
"153",19224,-13.75,18.25,771,"TRARZA"
"154",19225,-13.75,18.75,771,"TRARZA"
"155",19226,-13.75,19.25,647,"REGEIBAT"
"156",19227,-13.75,19.75,647,"REGEIBAT"
"157",19228,-13.75,20.25,647,"REGEIBAT"
"158",19229,-13.75,20.75,647,"REGEIBAT"
"159",19230,-13.75,21.25,647,"REGEIBAT"
"160",19231,-13.75,21.75,647,"REGEIBAT"
"161",19232,-13.75,22.25,647,"REGEIBAT"
"162",19233,-13.75,22.75,647,"REGEIBAT"
"163",19234,-13.75,23.25,170,"DELIM"
"164",19235,-13.75,23.75,170,"DELIM"
"165",19236,-13.75,24.25,647,"REGEIBAT"
"166",19237,-13.75,24.75,647,"REGEIBAT"
"167",19238,-13.75,25.25,647,"REGEIBAT"
"168",19239,-13.75,25.75,647,"REGEIBAT"
"169",19240,-13.75,26.25,299,"IMRAGEN"
"170",19242,-13.25,9.25,NA,NA
"171",19243,-13.25,9.75,728,"SUSU"
"172",19244,-13.25,10.25,728,"SUSU"
"173",19245,-13.25,10.75,217,"FOUTADJALON"
"174",19246,-13.25,11.25,217,"FOUTADJALON"
"175",19247,-13.25,11.75,217,"FOUTADJALON"
"176",19248,-13.25,12.25,217,"FOUTADJALON"
"177",19249,-13.25,12.75,483,"MALINKE"
"178",19250,-13.25,13.25,483,"MALINKE"
"179",19251,-13.25,13.75,483,"MALINKE"
"180",19252,-13.25,14.25,483,"MALINKE"
"181",19253,-13.25,14.75,777,"TUKULOR"
"182",19254,-13.25,15.25,777,"TUKULOR"
"183",19255,-13.25,15.75,777,"TUKULOR"
"184",19256,-13.25,16.25,777,"TUKULOR"
"185",19257,-13.25,16.75,771,"TRARZA"
"186",19258,-13.25,17.25,771,"TRARZA"
"187",19259,-13.25,17.75,771,"TRARZA"
"188",19260,-13.25,18.25,186,"DUAISH"
"189",19261,-13.25,18.75,647,"REGEIBAT"
"190",19262,-13.25,19.25,647,"REGEIBAT"
"191",19263,-13.25,19.75,647,"REGEIBAT"
"192",19264,-13.25,20.25,647,"REGEIBAT"
"193",19265,-13.25,20.75,647,"REGEIBAT"
