363.74,745.35,617.86,574.95,91.628
364.06,746.27,621,574.73,38.877
371.65,752.25,631.87,578.64,67.743
339.32,730.36,597.28,558.98,87.769
338.6,731.01,601.38,557.36,79.519
343.36,736.58,614.87,558.58,55.753
363.2,750.91,637.5,568.23,101.88
390.01,769.36,666.94,582.25,149.81
277.61,685.95,532.03,515.66,109.28
272.11,687.85,546.6,511.14,45.795
293.08,707.65,586.31,519.61,42.68
322.42,731.19,623.21,536.93,96.254
371.71,758.17,657.61,565.04,142.92
398.62,773.87,677.43,582.5,164.26
166.67,585.87,389.7,430.91,154.56
171.85,594.3,415.83,414.24,115.76
175.53,641.84,538.3,436.42,33.056
275.21,694.95,595.21,476.65,94.808
344.69,740.13,644.27,535.07,120.11
397.88,773.16,678.8,578.12,172.45
155.32,417.22,130.49,295.95,230.39
31.576,485.85,421.65,332.75,171.15
158.49,584.74,501.17,308.98,84.421
240.65,662.54,573.42,425.55,74.137
341.9,737.09,643.69,527.17,141.02
400.9,774.84,682.42,578.3,177.96
162.33,139.32,361.61,265.23,261.53
161.92,415.74,394.57,66.867,171.38
136.68,551.05,487.43,262.13,33.013
290.93,366.19,502.32,244.11,241.95
502.56,576.36,704.8,454.87,188.44
557.88,627.66,750.13,513.1,129.3
546.39,617.06,740.81,500.96,140.45
584.17,651.86,771.28,540.99,98.256
571.85,640.53,761.38,527.92,111
595.49,662.23,780.34,553.03,82.791
590.9,658.03,776.68,548.15,89.499
599.36,665.76,783.43,557.15,75.66
597.6,664.15,782.03,555.28,77.728
600.51,666.81,784.34,558.38,59.212
