"V1","V2","V3","V4","V5","V6"
0,0,0,0,0,0.00206992220788193
0,0,0,0,0,1.28505020618226
0,0,0,0,0,1.4377098550394
0,0,0,0,0,0.0017644438329037
0,0,0,0,0,0.383745419771898
0,0,0,0,0,0.0131585503612809
0,0,0,0,0,0.00828500272936847
0,0,0,0,0,0.109997412806277
0,0,0,0,0,0.333380417623699
0,0,0,0,0,0.161171832853001
0,0,0,0,0,0.101744782827282
0,0,0,0,0,0.552665217709413
0,0,0,0,0,0.0237041353013149
0,0,0,0,0,0.0229109975932923
0,0,0,0,0,1.47719893362092
0,0,0,0,0,0.63397026265794
0,0,0,0,0,0.318693910454755
0,0,0,0,0,0.105471174002829
0,0,0,0,0,0.390166437194686
0,0,0,0,0,0.48394355730049
0,0,0,0,0.553178233282042,0
0,0,0,0,0.822301680367411,0
0,0,0,0,0,0.0243866436719006
0,0,0,0,0,0.0119851595846023
0,0,0,0,0,0.479486309071344
0,0,0,0,0,0.537413419848168
0,0,0,0,0,0.543775635359533
0,0,0,0,0,0.675642819362343
0,0,0,0,0.531552827297916,0
0,0,0,0,0,0.480321135683645
0,0,0,0,0,0.4668184907016
0,0,0,0,0,0.612769527850779
0,0,0,0,0,0.0639261987700977
0,0,0,0,0,0.0256690153997826
0,0,0,0,0,0.00743152405064328
0,0,0,0,0,1.61163253317537
0,0,0,0,0,1.54130525234542
0,0,0,0,0,0.579637381769167
0,0,0,0,0,0.522751582699568
0,0,0,0,0,0.516783723425238
0,0,0,0,0,0.588149473513971
0,0,0,0,0,0.438243244351751
0,0,0,0,0,0.545625503835134
0,0,0,0,0,8.51665987234419
0,0,0,0,0,0.048089478591593
0,0,0,0,0,11.5015197771617
0,0,0,0,0,57.7700985127329
0,0,0,0,0,0.0245416430556204
0,0,0,0,0,0.00569604939799971
0,0,0,0,0,0.596842218033945
0,0,0,0,0,0.264356420027454
0,0,0,0,0,0.328260145274082
0,0,0,0,0,0.687608226271625
0,0,0,0,0,0.806408038774412
0,0,0,0,0,0.485871405872587
0,0,0,0,0,0.59141665791008
0,0,0,0,0,0.530400269605386
0,0,0,0,0,0.0103018128702215
0,0,0,0,0,3.44502928389349
0,0,0,0,0,0.0239054487196193
0,0,0,0,0,40.9169281937933
0,0,0,0,0,5.63038326696852
0,0,0,0,0,0.810787367991723
0,0,0,0,0,0.236415010175394
0,0,0,0,0,0.0506133981356545
0,0,0,0,0,0.667508322708832
0,0,0,0,0,0.403679095928967
0,0,0,0,0,0.840844901744696
0,0,0,0,0,0.913612238736298
0,0,0,0,0,0.752534701907322
0,0,0,0,0,0.500682956515433
0,0,0,0,0,0.685594776863403
0,0,0,0,0.978255815807547,0
0,0,0,0,0,0.00876876459679406
0,0,0,0,0,2.33488449599478
0,0,0,0,0,0.343853619987363
0,0,0,0,0,8.52343905079281
0,0,0,0,0,0.340294639775634
0,0,0,0,0,1.36921980220319
0,0,0,0,0,0.591294048943245
0,0,0,0,0,0.862908429060607
0,0,0,0,0.848344975428367,0
0,0,0,0,0,0.983739536643705
0,0,0,0,0,0.856478109770198
0,0,0,0,0,0.693088525283903
0,0,0,0,0,0.973364556928801
1.75157768180964,0,0,0,0,0
0,0,0,0,0,0.0171060476620932
0,0,0,0,0,0.20228265820759
0,0,0,0,0,0.814649981500113
0,0,0,0,0,3.02951667903374
0,0,0,0,0,0.842771513935544
0,0,0,0,0,0.32420075014583
0,0,0,0,0,0.483141928934843
0,0,1.19924719632864,0,0,0
0,0,0,0,0,0.872405367014072
0,1.33969147934669,0,0,0,0
0,0,0,0.674580948984842,0,0
0,0,0,0,0,0.0088639419048594
0,0,0,0,0,5.13786685651579
0,0,0,0,0,0.825015250606147
0,0,0,0,0,0.0123273182674242
0,0,0,0,0,0.415635742739753
0,0,0,0,0,2.51562232018436
0,0,0,0,0,0.371563014966346
0,0,0,0,0,0.68821990583877
0,0,0,0,0,0.507778493846207
0,0,0,0,0,5.49545037713852
