"V1","V2","V3","V4","V5","V6"
0,0,0,0,0,0.00100028314296183
0,0,0,0,0,0.000864923651587461
0,0,0,0,0,0.00438705649890101
0,0,0,0,0,0.000474219543861994
0,0,0,0,0,0.000463216272060552
0,0,0,0,0,0.00254007969044469
0,0,0,0,0,0.000810891670052705
0,0,0,0,0,0.000669733342526007
0,0,0,0,0,0.000477337101207409
0,0,0,0,0,0.0105456811069882
0,0,0,0,0,0.0297852265488817
0,0,0,0,0,0.000290018586418381
0,0,0,0,0,0.00107954415902455
0,0,0,0,0,0.00103929116484445
0,0,0,0,0,0.0127740332884485
0,0,0,0,0,0.00230627189337481
0.0593695988749075,0,0,0,0,0
0,0,0,0,0,0.00346839937529694
0,0,0,0,0,0.000581756407510865
0,0,0,0,0,0.0680270475039813
0,0,0,0,0,0.000578122958459188
0,0,0,0,0,0.0283169290135965
0,0,0,0,0,0.00263810769830535
0,0,0,0.00102015123342564,0,0
0,0.00593475252548474,0,0,0,0
0,0,0,0,0.00793790995943697,0
0,0,0,0,0,0.00544016915212261
0,0,0,0,0.00417302398176112,0
0,0,0,0,0,0.0108797432128964
0,0,0,0,0,0.0094177616555898
0,0,0,0,0,0.00350538639209093
0,0,0,0,0,0.000665487960351994
0,0,0,0,0,0.00429102493613074
0,0,0.00356179604479648,0,0,0
0,0,0,0,0,0.00524880419492922
0,0,0,0,0.0638560211401652,0
0,0,0,0,0,0.00287601229456936
0,0,0,0,0,0.0111718443216573
0,0,0,0,0,0.00551119549085676
0,0,0,0,0,0.00338997910984021
0,0,0,0,0,0.00854677744456821
0,0,0,0,0,0.00614451420668448
0,0,0,0,0,0.000825631300190802
0,0,0,0,0,0.00424038342136763
0,0,0,0,0,0.00216967368016924
0,0,0,0,0,0.00219939193998444
0,0,0,0,0,0.00982725163762625
0,0,0,0,0,0.000958554574885318
0,0,0,0,0,0.00116954794639055
0,0,0,0,0,0.0310501016831818
0,0,0,0,0,0.00198270102322313
