"V1","V2","V3","V4","V5","V6"
0,0,0,0,0,0.000354294774161253
0.0441121173837307,0,0,0,0,0
0,0,0,0,0,0.0142082554675091
0,0,0,0,0,0.000569269956682998
0,0,0,0,0,0.00844323718897983
0,0,0,0,0,0.0424063205243169
0,0,0,0,0,0.00075325349393523
0,0,0,0,0,0.000934623361810493
0,0,0,0,0,0.000722582098930219
0,0,0,0,0.00055892344673942,0
0,0,0,0,0,0.00461878270365985
0,0,0,0,0,0.0186097960175769
0,0,0,0,0,0.00146376671653745
0,0,0,0,0,0.00122000424538267
0,0,0,0,0,0.00177253024743088
0,0,0,0,0,0.0435426776960069
0,0,0,0,0,0.00547415113546568
0,0,0,0.0168488898107401,0,0
0,0,0,0,0,0.0164753193726399
0,0,0,0,0,0.00141246321618654
0,0,0,0,0,0.00622153337150348
0,0,0,0,0,0.00212322923887836
0,0,0.0186594241359807,0,0,0
0,0,0,0,0,0.000919628781802166
0,0,0,0,0,0.0805174708968479
0,0,0,0,0,0.00190145724887629
0,0,0,0,0,0.00116080649141097
0,0,0,0,0,0.000750776828464978
0,0,0,0,0,0.00558103316365903
0,0,0,0,0,0.000776250297889438
0,0,0,0,0,0.00114121380290486
0,0,0,0,0,0.00117587151255579
0,0,0,0,0,0.015149207629156
0,0,0,0,0,0.00162723554737878
0,0.000490974989825224,0,0,0,0
0,0,0,0,0,0.000702048306205822
0,0,0,0,0,0.0033333263915665
