"V1","V2","V3","V4","V5","V6"
0,0,0,0,0,0.0397241624803156
0,0,0,0,0,0.0330381763121252
0,0,0,0,0,0.00224947894403923
0,0,0,0,0,0.00156260929436326
0,0,0,0,0,0.00178154209215324
0,0,0,0,0,0.041976331644783
0,0,0,0,0,0.0425729256595761
0,0,0,0,0,0.0201761450108617
0,0,0,0,0,0.00211231941261031
0,0,0,0,0,0.00138465764914737
0,0,0,0,0,0.00138607383477885
0,0,0,0,0,0.00138756761480545
0,0,0,0,0,0.00921100709671899
0,0,0,0,0,0.0761929023591382
0,0,0,0,0,0.0704180280181906
0,0,0,0,0,0.0725354149688018
0,0,0,0,0,0.0134076649199011
0,0,0,0,0,0.00747594746807562
0,0,0,0,0,0.00347796180687164
0,0,0,0,0,0.0217547651320751
0,0,0,0,0,0.00138836846263401
0,0,0,0,0,0.00418340990610075
0,0,0,0,0,0.00985992490446145
0,0,0,0,0,0.0606081330239867
0,0,0,0,0,0.0762091235580158
0,0,0,0,0,0.0330139799031661
0,0,0,0,0,0.0144456578144373
0,0,0,0,0,0.0103287803384727
0,0,0,0,0,0.0103382143084698
0,0,0,0,0,0.0103482216061131
0,0,0,0,0,0.0103588054193686
0,0,0,0,0,0.00250243667772245
0,0,0,0,0,0.0168941122965717
0,0,0,0,0,0.0164411451698854
0,0,0,0,0,0.00620104068058606
0,0,0,0,0,0.0761561005218346
0,0,0,0,0,0.0762091235580158
0,0,0,0,0,0.0131557139674682
0,0,0,0,0,0.0103199167024739
0,0,0,0,0,0.263497189035051
0,0,0,0,0,0.0196211492170376
0,0,0,0,0,0.0103482216210878
0,0,0,0,0,0.0103588054337371
0,0,0,0,0,0.00271271584923922
0,0,0,0,0,0.00112516691757867
0,0,0,0,0,0.00480379129101853
0,0,0,0,0,0.00354150006683267
0,0,0,0,0,0.00600013301239861
0,0,0,0,0,0.0111515308466894
0,0,0,0,0,0.00867908771083138
0,0,0,0,0,0.0103204604420229
0,0,0,0,0,0.0103199166756981
0,0,0,0,0,0.0067423807578087
0,0,0,0,0,0.00163678217133016
0,0,0,0,0,0.00151016040780576
0,0,0,0,0,0.00148470064194496
0,0,0,0,0,0.00102830494427482
0,0,0,0,0,0.00519555927362546
0,0,0,0,0,0.0584366245766523
0,0,0,0,0,0.00579204777714864
0,0,0,0,0,0.00578716433656564
0,0,0,0,0,0.0088132024531492
0,0,0,0,0,0.00752633455280252
0,0,0,0,0,0.00327403333483808
0,0,0,0,0,0.00248923615946553
0,0,0,0,0,0.00281870509958444
0,0,0,0,0,0.00449977718412558
0,0,0,0,0,0.00437262402721469
0,0,0,0,0,0.0019250968850411
0,0,0,0,0,0.00119732488341721
0,0,0,0,0,0.00103098720631879
0,0,0,0,0,0.00111055197154656
0,0,0,0,0,0.00121125000522159
0,0,0,0,0,0.00238079202448326
0,0,0,0,0,0.00431183955202524
0,0,0,0,0,0.00362214256632198
0,0,0,0,0,0.00360912981388079
0,0,0,0,0,0.00393394221683233
0,0,0,0,0,0.00441845592474217
0,0,0,0,0,0.00305210567905697
0,0,0,0,0,0.00222240642849225
0,0,0,0,0,0.00216233586315699
0,0,0,0,0,0.00295942311028038
0,0,0,0,0,0.0461635524110395
0,0,0,0,0,0.000921029593914486
0,0,0,0,0,0.00112773245942632
0,0,0,0,0,0.00123815571425366
0,0,0,0,0,0.00211012324764033
0,0,0,0,0,0.00349644082650302
0,0,0,0,0,0.00229804123970567
0,0,0,0,0,0.00189190153532416
0,0,0,0,0,0.00270324680509511
0,0,0,0,0,0.00467779925735177
0,0,0,0,0,0.00347457268752429
0,0,0,0,0,0.0021923705556468
0,0,0,0,0,0.194028192800179
0,0,0,0,0,0.017048111828405
0,0,0,0,0,0.00303773801296398
0,0,0,0,0,0.000711148187037004
0,0,0,0,0,0.0012523211045501
0,0,0,0,0,0.0109407075799889
0,0,0,0,0,0.00268785327387687
0,0,0,0,0,0.00245717016223234
0,0,0,0,0,0.0371483692049664
0,0,0,0,0,0.00146044214324435
0,0,0,0,0,0.00164564213347163
0,0,0,0,0,0.00222655507005139
0,0,0,0,0,0.00248674801091472
0,0,0,0,0,0.00159200224150285
0,0,0,0,0,0.0253170094622948
0,0,0,0,0,0.000853559308856933
0,0,0,0,0,0.000647569415257524
0,0,0,0,0,0.000790967733121037
0,0,0,0,0,0.0597308967237547
0,0,0,0,0,0.338756918396762
0,0,0,0,0,0.0108320503146116
0,0,0,0,0,0.00296138913529931
0,0,0,0,0,0.00142793456415527
0,0,0,0,0,0.00215646675699611
0,0,0,0,0,0.00163137311220223
0,0,0,0,0,0.00301102205610292
0,0,0,0,0,0.00171742945702472
0,0,0,0,0,0.00168047736013806
0,0,0,0,0,0.0014886573865901
0,0,0,0,0,0.00144673591727509
0,0,0,0,0,0.00115360119874902
0,0,0,0,0,0.00089836121723954
0,0,0,0,0,0.00258259139791714
0,0,0,0,0,0.00263046823354266
0,0,0,0,0,0.00323809976740711
0,0,0,0,0,0.00354025078160939
0,0,0,0,0,0.0530676956607452
0,0,0,0,0,0.0025302905378296
0,0,0,0,0,0.00320551655068136
0,0,0,0,0,0.00409792137715795
0,0,0,0,0,0.00137280312567513
0,0,0,0,0,0.00110646845315739
0,0,0,0,0,0.0011149080449145
0,0,0,0,0,0.00140144670997065
0,0,0,0,0,0.00113245621916968
0,0,0,0,0,0.000907482162940683
0,0,0,0,0,0.173300594104687
0,0,0,0,0,0.420754881631848
0,0,0,0,0,0.0285710767869765
0,0,0,0,0,0.00325083621316316
0,0,0,0,0,0.00109790815300758
0,0,0,0,0,0.00130871435473382
0,0,0,0,0,0.00162677992336795
0,0,0,0,0,0.00185304719123896
0,0,0,0,0,0.00209655413839143
0,0,0,0,0,0.00214582441894111
0,0,0,0,0,0.0291530873139544
0,0,0,0,0,0.000975032699787221
0,0,0,0,0,0.00141110704261352
0,0,0,0,0,0.00121971105672149
0,0,0,0,0,0.00112487698769575
0,0,0,0,0,0.0694598446012053
0,0,0,0,0,0.134950323987266
0,0,0,0,0,0.00251346617123796
0,0,0,0,0,0.0691887108530588
0,0,0,0,0,0.000468119505675994
0,0,0,0,0,0.000626070845384887
0,0,0,0,0,0.000915329938493193
0,0,0,0,0,0.000811435087521067
0,0,0,0,0,0.00134530162817966
0,0,0,0,0,0.00244297364539569
0,0,0,0,0,0.00211039318119644
0,0,0,0,0,0.00131093464424328
0,0,0,0,0,0.000978241004245359
0,0,0,0,0,0.00126268255065816
0,0,0,0,0,0.00157113697679893
0,0,0,0,0,0.000998548372223246
0,0,0,0,0,0.0934514037512087
0,0,0,0,0,0.0430173376898555
0,0,0,0,0,0.00188109902632935
0,0,0,0,0,0.00260171038299875
0,0,0,0,0,0.0323382821935804
0,0,0.00183742240640309,0,0,0
0,0.00781651171026909,0,0,0,0
0,0,0,0,0,0.000483130773293567
0,0,0,0,0,0.0299757793865349
0,0,0,0,0,0.0011304849871037
0,0,0,0,0,0.0017041132482391
0,0,0,0,0,0.00156617209064736
0,0,0,0,0,0.0013168858387651
0,0,0,0,0,0.00151942129509926
0,0,0,0,0,0.00170857169290283
0,0,0,0,0,0.00187750656796015
0,0,0,0,0,0.00177285832789881
0,0,0,0,0,0.00154205412793096
0,0,0,0,0,0.00141707391695556
0,0,0,0,0,0.00218708689323619
0,0,0,0,0,0.00316560117781374
0,0,0,0,0,0.0114786049929223
0,0,0,0,0,0.000538322953833125
0.000206849061507552,0,0,0,0,0
