"V1","V2","V3","V4","V5"
0,0,0,0,0.00298143064113657
0,0,0,0,0.00277629862163761
0,0,0,0,0.00548686375861523
0,0,0,0,0.00548716540036899
0,0,0,0,0.0029552852845434
0,0,0,0,0.00215986088449121
0,0,0,0,0.00273830720399036
0,0,0,0,0.00277831359785917
0,0,0,0,0.00286867810010611
0,0,0,0,0.00171962771563397
0,0,0,0,0.00122288333393703
0,0,0,0,0.00548687290969019
0,0,0,0,0.00548716540027733
0,0,0,0,0.00295967432552415
0,0,0,0,0.00203404692700039
0,0,0,0,0.00253496291537178
0,0,0,0,0.00375325491908886
0,0,0,0,0.00153277718233429
0,0,0,0.014154880399973,0
0,0,0,0,0.00115976396117097
0,0,0,0,0.00556519255835352
0,0,0,0,0.00548716540123975
0,0,0,0,0.00276228571786781
0,0,0,0,0.00201283108969361
0,0,0,0,0.00214794357282397
0,0,0,0,0.00216518586415041
0,0,0,0,0.00217434395442683
0,0,0,0,0.00175732609361548
0,0,0,0,0.0007049800950019
0,0,0,0,0.00136967900994815
0,0,0,0,0.00165173525319876
0,0,0,0,0.00202305146099894
0,0,0,0,0.00990794685027817
0,0,0,0,0.000931980900135808
0,0,0,0,0.00183938753267581
0,0,0,0,0.00209523534590298
0,0,0,0,0.00194322834566673
0,0,0,0,0.00100492242508515
0,0,0,0,0.00201883186847987
0,0,0,0,0.00210381490770315
0,0,0,0,0.00207935293971637
0,0,0,0,0.00714840563601314
0,0,0,0,0.00101237495160002
0,0,0,0,0.00568786313113148
0,0,0,0,0.0015270192101623
0,0,0.0182172363604811,0,0
0,0,0,0,0.000552492536336008
0,0,0,0,0.00230394262135118
0,0,0,0,0.041619770390061
0,0,0,0,0.00158992159663703
0,0,0,0,0.00146672500990807
0,0,0,0,0.00598530809439503
0,0,0,0,0.00141456315105086
0,0,0,0,0.0134187374824029
0,0,0,0,0.000930351548765222
0,0,0,0,0.00122895189640978
0,0,0,0,0.00334220473880081
0,0,0,0,0.000603701130436277
0,0,0,0,0.00700177216093836
0,0,0,0,0.00156620619224524
0,0,0,0,0.00167185381304977
0,0,0,0,0.00374970557027377
0,0,0,0,0.00162085537241131
0,0,0,0,0.00216169210045211
0,0,0,0,0.00135851516266944
0,0,0,0,0.00114295640640827
0,0,0,0,0.00138230904432617
0,0,0,0,0.00338735568184172
0,0,0,0,0.000630491579209408
0,0,0,0,0.123536497851092
0,0,0,0,0.00104394156838063
0,0.0684718030894037,0,0,0
0,0,0,0,0.00153780979479632
0,0,0,0,0.00101809957342761
0,0,0,0,0.00128205410626886
0,0,0,0,0.00173058574245314
0,0,0,0,0.00162024186466444
0,0,0,0,0.00186742213981959
0,0,0,0,0.00106396813928389
0,0,0,0,0.000895302236594079
0,0,0,0,0.0242869232114894
0.0256346700526269,0,0,0,0
0,0,0,0,0.00163308318695712
0,0,0,0,0.000834004758485414
0,0,0,0,0.00209125013749074
0,0,0,0,0.00188967639410101
0,0,0,0,0.0150997784701332
0,0,0,0,0.00160668352987475
0,0,0,0,0.00157154757877362
0,0,0,0,0.0067943075279341
0,0,0,0,0.0308666406969322
0,0,0,0,0.000668995986151589
0,0,0,0,0.000770639991468212
0,0,0,0,0.00202098422218521
0,0,0,0,0.00200535439096931
0,0,0,0,0.00155075026353435
0,0,0,0,0.00189540093698936
0,0,0,0,0.00111424063438989
0,0,0,0,0.00463874826648274
0,0,0,0,0.0671763384140492
0,0,0,0,0.00216263262282563
0,0,0,0,0.00227384457490763
0,0,0,0,0.00146514344897796
0,0,0,0,0.0529547892974855
0,0,0,0,0.00161670414122888
0,0,0,0,0.00223048058994101
0,0,0,0,0.00207324800726008
0,0,0,0,0.00215135604428256
0,0,0,0,0.00219937692757938
0,0,0,0,0.00178612988990257
0,0,0,0,0.00202588668922295
0,0,0,0,0.00257740782747294
0,0,0,0,0.00306213710266162
0,0,0,0,0.00311553466069915
0,0,0,0,0.00175009283301572
0,0,0,0,0.00226966169984953
0,0,0,0,0.00246754974944885
0,0,0,0,0.00224436059855243
0,0,0,0,0.00218925133157276
0,0,0,0,0.00707582973436184
0,0,0,0,0.0026373360090635
0,0,0,0,0.00295850116052123
0,0,0,0,0.00372942415375071
0,0,0,0,0.00315057660641508
0,0,0,0,0.00311554149325219
0,0,0,0,0.00266172976634163
0,0,0,0,0.00169629934012497
0,0,0,0,0.00221715404210651
0,0,0,0,0.00246754974496122
0,0,0,0,0.00225772454873807
0,0,0,0,0.00237336482810645
0,0,0,0,0.00212474007839955
0,0,0,0,0.0753097171499673
0,0,0,0,0.0349489486593289
0,0,0,0,0.0136861670841604
0,0,0,0,0.00485811294298226
0,0,0,0,0.00307996950233625
0,0,0,0,0.00308056931880957
0,0,0,0,0.0304913210586024
0,0,0,0,0.00196150593479147
0,0,0,0,0.00145417762172516
0,0,0,0,0.00256421110453563
0,0,0,0,0.00433397265234144
0,0,0,0,0.00356296158795796
0,0,0,0,0.0021296208348704
0,0,0,0,0.00184642686537412
0,0,0,0,0.0203748148022867
0,0,0,0,0.00228772145122338
0,0,0,0,0.00293572227131062
0,0,0,0,0.00508272281728911
0,0,0,0,0.00304543946942303
0,0,0,0,0.00304872154512349
0,0,0,0,0.00305186232529887
0,0,0,0,0.00358676296656671
0,0,0,0,0.00433397264913715
0,0,0,0,0.00433675617340107
0,0,0,0,0.00248195656180181
0,0,0,0,0.00193965208828141
0,0,0,0,0.00345299400820368
0,0,0,0,0.107125585910746
0,0,0,0,0.00285141812659189
0,0,0,0,0.00422991807727881
0,0,0,0,0.00306939000902476
0,0,0,0,0.00304872154176919
0,0,0,0,0.00837009182387702
0,0,0,0,0.00364948973719391
0,0,0,0,0.0043137857703332
0,0,0,0,0.00373919436902504
0,0,0,0,0.00358088199487044
0,0,0,0,0.00347004328616789
0,0,0,0,0.0152639412438635
0,0,0,0,0.00262962568220906
0,0,0,0,0.00412567044703867
0,0,0,0,0.00240225189080351
0,0,0,0,0.00231528098115515
0,0,0,0,0.00221846860535535
0,0,0,0,0.00162024597542657
0,0,0,0,0.00983678169391365
0,0,0,0,0.00352353439379299
0,0,0,0,0.00359942487883802
0,0,0,0,0.00299744593777834
0,0,0,0,0.00274562984782971
0,0,0,0,0.0123714594562801
0,0,0,0,0.0509881106500627
0,0,0,0,0.00260962828909777
0,0,0,0,0.00106709455866081
0,0,0,0,0.364053048211653
0,0,0,0,0.0036543492811589
0,0,0,0,0.00348109905544539
0,0,0,0,0.0031433077268379
0,0,0,0,0.0031762660680517
0,0,0,0,0.00394298230283286
0,0,0,0,0.00130619530729103
0,0,0,0,0.00169114136266864
0,0,0,0,0.00642843884977891
0,0,0,0,0.00641688466385714
0,0,0,0,0.0053182851451402
0,0,0,0,0.00456388314675382
0,0,0,0,0.00289367848366517
0,0,0,0,0.00278996500276303
0,0,0,0,0.00574949221868283
0,0,0,0,0.00434497936005848
0,0,0,0,0.00445748693343824
0,0,0,0,0.00343119674556894
0,0,0,0,0.00193541695220858
