"V1","V2","V3","V4","V5","V6"
0,0,0,0,0,0.0228002229691174
0,0,0,0,0,0.0995686863447579
0,0,0,0,0,0.158964705910062
0,0,0,0,0,0.0111774960035681
0,0,0,0,0,0.00147132590418737
0,0,0,0,0,0.00115710302967676
0,0,0,0,0,0.0259094325701015
0,0,0,0,0,0.00101455708002672
0,0,0,0.11192737331664,0,0
0,0,0,0,0,0.067154578532444
0,0,0,0,0,0.0224778998501191
0,0,0,0,0,0.000691214357206649
0,0,0,0,0,0.0101701401315764
0,0,0,0,0,0.00106010212428897
0,0,0,0,0,0.0212566540429434
0,0,0,0,0,0.000974400069242748
0,0,0,0,0,0.0365438315422243
0,0,0,0,0,0.00841808509953092
0,0,0,0,0,0.000671305824629465
0,0,0,0,0,0.000555571967609988
0,0,0,0,0,0.00164784408198928
0,0,0,0,0,0.0018818902698168
0,0,0,0,0,0.000822036411764994
0,0,0,0,0,0.00118800657450525
0,0,0,0,0,0.000974076337228541
0,0,0,0,0,0.00107527725168992
0,0,0,0,0,0.0147131357595915
0,0,0,0,0,0.000979913173014499
0,0,0,0,0,0.000975489302416169
0,0,0,0,0,0.00128493331371225
0,0,0,0,0,0.00130491691556194
0,0,0,0,0,0.00134712818462339
0,0,0,0,0,0.000643053299352029
0,0,0,0,0,0.0131465004547986
0,0,0,0,0,0.000955462142989355
0,0,0,0,0,0.0358122891351426
0,0,0,0,0,0.0325159804458481
0,0,0,0,0,0.000980160675943237
0,0,0,0,0,0.000977637597796151
0,0,0,0,0,0.0010387670905396
0,0,0,0,0,0.00157514551680765
0,0,0,0,0,0.0207834624166744
0,0,0,0,0,0.00437664401311892
0,0,0,0,0,0.0243389215524762
0,0,0,0,0,0.000601995867369262
0,0,0,0,0,0.00091150291756892
0,0,0,0,0,0.085369489885214
0,0,0,0,0,0.000941189946920841
0,0,0,0,0,0.00382960396953932
0,0,0,0,0,0.000834278100019389
0,0,0,0,0,0.00125144372198598
0,0,0,0,0,0.00132944916296439
0,0,0,0,0,0.00816857412383502
0,0,0.0403148378919087,0,0,0
0,0,0,0,0,0.0222069043383386
0.0962946937163989,0,0,0,0,0
0,0,0,0,0,0.00828456438897146
0,0,0,0,0,0.00762487222185647
0,0,0,0,0,0.000825481432679351
0,0,0,0,0,0.000809323514682688
0,0,0,0,0.0643520056094029,0
0,0.0285114825670465,0,0,0,0
0,0,0,0,0,0.0186881957749225
0,0,0,0,0,0.0565734995049565
0,0,0,0,0,0.0806575213853856
0,0,0,0,0,0.0319404982077233
0,0,0,0,0,0.0156713949780486
0,0,0,0,0,0.000661891012342456
0,0,0,0,0,0.0075849399822922
0,0,0,0,0,0.00152811271587122
0,0,0,0,0,0.00104108686472368
0,0,0,0,0,0.00080921040385732
0,0,0,0,0,0.00193808839993774
0,0,0,0,0,0.00295632052471577
0,0,0,0,0,0.120899266083784
0,0,0,0,0,0.00242968131963312
0,0,0,0,0,0.0020049860879079
0,0,0,0,0,0.00261201912343794
0,0,0,0,0,0.0034963389146075
0,0,0,0,0,0.00468984039865986
0,0,0,0,0,0.00325991649293133
0,0,0,0,0,0.00299185846117163
0,0,0,0,0,0.00287020286870079
0,0,0,0,0,0.00316154341159988
0,0,0,0,0,0.00355789176417013
0,0,0,0,0,0.00375962146860593
0,0,0,0,0,0.00300666359300402
0,0,0,0,0,0.00161530455190432
0,0,0,0,0,0.00201960357955465
0,0,0,0,0,0.00313853920719961
0,0,0,0,0,0.00292341079429756
0,0,0,0,0,0.0610218237340485
0,0,0,0,0,0.00178309483026605
0,0,0,0,0,0.0132739138319824
0,0,0,0,0,0.0019761593560594
