rownumber,P_stat,P_opt,util_stat,util_opt,inflows_stat,outflows_stat,inflows_opt,outflows_opt
1,2.66536414057,2.66537074935816,5.70655004891849e-05,5.70642270563718e-05,0,0,0,0
2,2.59402502922191,2.58069237351391,7.28475793628581e-05,7.63056048934018e-05,2.55374137007676,1.31484065683901,2.84563932678127,1.36241953254821
3,2.45971630052333,2.46052671015464,0.000117548586743389,0.000117200598693817,1.15228319239128,0.364656004654384,0.90983705457918,0.100923119444425
4,2.47163663902094,2.45337775187252,0.000112543641864953,0.000120310292158036,2.59521911234099,2.63945266977782,1.43215875285183,1.29502818855036
5,2.49874469328267,2.48572790603676,0.000102020071089228,0.000106930178890101,3.05350882536833,1.58299504760851,4.03754481151992,2.31675098392332
6,2.39752939191088,2.36401979743758,0.000148015475597177,0.000168005152824875,4.19703942612238,3.96233268176858,2.99629174451931,2.24404443380803
7,2.42362398952313,2.36398930475523,0.000134275074412925,0.000168024657451512,4.58400217933884,5.93568308584456,7.93873534213323,7.31146669211284
8,2.32271912951295,2.30005569152113,0.000196884856955196,0.000215048995867858,3.42749671130434,2.75363974281139,2.06379450393077,1.00062141698168
9,2.14465638391333,2.18378252232533,0.000403611106601095,0.000343003153133383,2.35694496051232,6.90784907234001,3.02689289033992,10.9839732884043
10,2.24161103966355,2.24503918841934,0.000271106714447202,0.000267403599282913,1.19842565162114,0.701888428532855,0.62795833602152,0.177738869831764
