rownumber,P_stat,P_opt,util_stat,util_opt,inflows_stat,outflows_stat,inflows_opt,outflows_opt
1,80.6772997143339,79.1795461855846,0.0290762966876517,0.0294418201464586,2.0092903064899,1.0661005371622,2.2718228518016,1.32686020295209
2,76.7196994572398,73.117831887652,0.0300678285819491,0.0310473442777168,4.85200119294603,3.70439732743898,4.99149202258913,3.74288979048175
3,75.7746814420811,65.6528949417654,0.0303173041968456,0.0333583125601506,17.7623498761737,7.29894186218532,19.3474462144284,5.66485278303076
4,41.9906074081132,43.5657220604365,0.0449371187292059,0.0438473532500779,10.3924836903977,81.8626057273264,18.955961420135,115.887462599375
5,84.50515212027,84.3833245835867,0.0281914795358744,0.0282186071121968,4.16103680906909,2.28609572098299,3.13545158825458,1.31812313081174
6,80.1686033035057,79.6749153702284,0.0291991661469163,0.0293196593613552,5.79417679386528,2.95201401085988,4.53108335730858,1.78978972420303
7,76.6129307246969,73.3796256700479,0.0300957573639086,0.03097345598977,7.72674805975849,5.47473412897751,6.5936053411553,4.14877461070412
8,63.3502275171722,57.4556508073947,0.0341618363776953,0.0364601257343145,10.9451412721017,25.6166069073547,17.1219398461358,30.1390660647952
9,63.9909858402916,58.3389125480177,0.0339334065441744,0.0360911821895338,15.7063989258858,22.4067642124245,26.0514604820191,25.6401355170198
10,80.4860029126478,71.6670043181635,0.0291223502566971,0.0314649582620411,25.6748318367298,3.56714710165482,36.3557815681191,4.60679630148585
11,96.6926911217753,96.5926995372846,0.025769790972164,0.0257875722874251,2.49721639238785,0.245193429688105,2.2047797790654,0
12,93.8991952946165,94.2925118412736,0.0262783896076025,0.0262052630919248,7.84694220059531,1.14320308180269,6.80084392736026,0.307446969399577
13,81.8798441061433,81.4038668430235,0.0287909054175593,0.0289030253684806,7.62450835007494,3.31021717879179,7.7054405468951,3.42472940411316
14,75.2950705506513,73.1837305291751,0.0304459103694473,0.0310287036593653,7.25738520556493,6.10654999357538,5.44522649128494,3.90517411023863
15,73.9334482583093,70.1282643329586,0.0308185843892358,0.0319235564002957,8.80004573756262,7.1017222016895,8.06787882365652,6.07341257710284
16,75.6854800566298,71.8351076804216,0.0303411204303688,0.0314158510723299,9.66865298773786,4.04065609830315,9.57421050472883,3.51782653874286
17,71.8612158579085,66.4375821864438,0.0314082414015724,0.033095131786589,8.4501190725254,8.04374831553676,6.46346303590794,5.65605414915041
18,59.3371724366966,57.5323259705908,0.0356852515669207,0.0364277241540104,2.05756993821797,14.2722038322298,3.69192882874843,15.6387276928489
19,72.0060949437608,67.9754265632707,0.0313660975191523,0.032594077949147,5.97259366463316,2.58421152940141,7.2394833529873,1.12922505927296
20,63.2878043665571,61.2304650823444,0.0341842960924674,0.0349457974559337,4.50945449960574,4.94182998868308,4.78933825745507,2.26685873550654
21,107.795417001146,82.0363186130365,0.0239684415254609,0.0287542836207863,25.8246906976475,0,42.0771686201787,0
22,97.9589305602646,92.6468027929062,0.0255472389897585,0.0265146787642512,7.70016526160172,1.08963565586137,8.39734907930723,0.904232364130304
23,95.6782931786707,91.4827142486039,0.0259516145033433,0.0267391316766204,12.6775248504528,1.55878986497402,13.4441949986091,1.32969872039811
24,87.624905259752,87.4890124175171,0.0275183012033583,0.0275467891444999,15.6897162185879,4.80808489918268,12.8170266359517,2.16210346416458
25,75.7379246489973,74.0688655495238,0.0303271123765233,0.0307810099699058,9.52851837176573,7.93996777398763,7.22678019770771,5.52521094159336
26,57.1445981020612,54.8134208256917,0.0365923138705379,0.0376225928908982,1.92036239928874,24.1098002378337,2.32550309513558,20.9411643195868
27,71.6696381954648,66.8047831053661,0.031464187360545,0.0329737460360571,5.89453446886407,6.30675682199647,5.13766532883969,5.2361938528235
28,81.0389749903012,81.5071074474107,0.028989720934577,0.0288786136233474,12.0073315949257,1.71527777381044,10.4453277390887,0.70424638408652
29,76.4501178301701,71.0256439828599,0.0301384714013909,0.0316540930110842,5.0216266497994,3.54613435860751,6.62849333005619,4.68241018811742
30,70.6754820413727,65.6273257755404,0.0317585604140424,0.0333669765209036,3.10370454767251,4.24207492693538,4.76573752681762,5.70598490918464
31,66.2768332115048,60.2258413446954,0.0331486231804626,0.0353333441690262,7.60083176180482,5.08335958422158,10.5359126813314,7.24298831224428
32,72.0218880307423,64.6323090215379,0.0313615120093313,0.0337085610028942,17.6740230146403,3.09562342015428,21.0458432501948,2.38878110123162
33,59.3625212706283,55.5779681817463,0.0356750920264432,0.0372767651030061,10.7424551564955,18.27850727167,10.6714521930478,14.4097781986693
34,75.6458180865206,67.4232751244938,0.0303517249688008,0.0327717850517116,15.1747652652656,5.08149082742706,16.944497990304,4.31123584154539
35,56.8674113392744,51.6570093077593,0.0367111245416527,0.0391399699793998,19.4552364395781,35.630055514202,36.0386979050379,44.5550380916518
36,53.689031650445,49.166386052238,0.0381460535019561,0.0404508640659645,19.8625661736093,35.7548951767732,47.2497687430671,57.2374857936528
37,100.247819790809,92.9461492886545,0.0251568756679217,0.0264577185942227,9.07745418088374,0.919596277532846,10.2541931908455,0.758660567102492
38,98.7694841619557,92.3633298719089,0.0254072778592457,0.0265689019717894,20.3232315231009,1.49816678370317,22.1826620103841,1.03219191665697
39,61.499492960216,61.8684322510005,0.0348438100411329,0.0347051495463669,3.06117153081231,37.9139494657593,6.28761290903321,42.6245487825504
40,74.299577070003,70.7318066719516,0.0307172571268194,0.0317416983472469,8.99515718557957,8.02365580636527,7.3597799870386,6.12194179355827
41,66.130386787222,63.9827511849918,0.0331975437812051,0.0339363179946032,5.88732917641836,7.90110677170432,4.59198049254388,6.55961419663682
42,62.6408036611286,59.1482542351449,0.0344192799178299,0.0357611964387816,3.87678360913699,5.61516506228339,2.03015791879825,3.64710337840981
43,65.2173772060327,63.5512670863063,0.0335066576332966,0.0340897527693558,8.26154810969216,7.93067004943081,4.44251507949796,3.99661945447076
44,78.630967472248,77.3114251600543,0.0295785977565864,0.0299142102308461,13.9459313295291,2.48344343991826,12.2169395306246,0.595110213720424
45,82.6235392848929,77.0284427030559,0.0286178804095997,0.0299874301281827,11.2917306591738,0.715241108471809,14.1642176860471,2.12293098165057
46,77.433202451764,68.7802832255523,0.0298828384428569,0.0323393053988591,4.76162126300903,3.10974250410877,7.70891950961621,5.14030861036124
47,70.4373218444679,60.1588701267884,0.0318301074186294,0.0353595622840233,15.8373015914289,7.00493225638954,22.1026395666893,10.1023067478073
48,38.6001459339665,39.7930891655256,0.0475314098723683,0.0465766473468693,16.55069537657,89.6026601273006,37.9123227267545,129.617242022767
49,73.3805754826263,61.2254138301718,0.0309731887161183,0.0349477195075474,45.3053916100063,9.36292955227329,61.1646724675205,7.4584409769404
50,76.8874891916931,66.8304777564739,0.0300240684525662,0.0329652937726702,31.647095038334,5.26703383609036,36.9094578349375,3.1133883747834
51,62.0789597376731,53.7321616265145,0.0346266417465047,0.0381256379382332,26.7719520863708,18.1291120141252,48.4238423588722,18.3428674480129
52,27.3569083864099,30.2820352174205,0.0597946025507721,0.0558791709499219,7.6215203585358,85.6248521187598,19.2623558646011,167.697984125204
