"","ID","x","y","country","region","subregion","pop","lights","num_landpixels","gridarea","pop_dens","pop_sd","lights_sd","rugg","altitude","landsuit","temp","precip","growingdays","malaria","harbor","alternative_lights","lights_raw","un_code","abroad"
"63",19967,-6.75,7.25,"Cote-dIvoire",2,11,241358.9421711,0.049841352,900,3053.325,79.04789727471,48.858625921574,45.264118,148.495193,279.60055,0.33,25.97356,113.06845,281.1111,21.42268,511.28708,43.327435,1936.45538,384,0
"64",19968,-6.75,7.75,"Cote-dIvoire",2,11,156140.5945549,0.269706668,900,3049.911,51.19512397993,13.696183340162,305.786492,89.740278,301.185575,0.427,26.01715,111.72505,262.2222,21.69933,538.69438,241.20625,9648.24997,384,0
"65",19969,-6.75,8.25,"Cote-dIvoire",2,11,73643.4861622,0.066982726,900,3046.271,24.1749611912,10.537167860395,63.473751,255.537025,328.540575,0.331,26.07644,108.7907,234.25,19.72825,556.49593,58.7546725,2350.18684,384,0
"66",19970,-6.75,8.75,"Cote-dIvoire",2,11,51056.8041,0.007711304,900,3042.405,16.78172770839,6.564349809199,7.787184,787.30065,386.51945,0.421,26.23686,110.429,222.25,20.41974,564.79355,4.6455125,185.8205,384,0
"67",19971,-6.75,9.25,"Cote-dIvoire",2,11,70967.3281403,0.010255746,900,3038.312,23.35748662731,10.987569261494,12.012651,1513.19715,447.576975,0.46,26.09936,116.71865,217.083325,19.97149,570.60137,6.9355075,277.42029,384,0
"68",19972,-6.75,9.75,"Cote-dIvoire",2,11,70707.9009957,0.135108843,900,3033.993,23.30522617113,9.081975234504,91.639992,1957.984925,465.157775,0.474,26.20881,116.70255,202.833325,20.4411,581.7673,120.833025,4833.321,384,0
"69",19973,-6.75,10.25,"Cote-dIvoire",2,11,98645.6882944,0.0033995,900,3029.449,32.56225127238,12.982833065622,0,252.793033,403.905,0.457,26.5633,111.5569,178.138875,19.21157,597.97838,0,0,384,0
"70",19974,-6.75,10.75,"Mali",2,11,84985.0424824,0.070024626,900,3024.68,28.09720222502,8.135738618447,81.297606,238.015623,346.322775,0.557,26.90849,107.15605,165.833325,26.89549,618.82578,61.492415,2459.69654,466,1
"71",19975,-6.75,11.25,"Mali",2,11,107616.8012896,0.030522789,900,3019.685,35.63841402613,7.274464023725,27.243774,241.989525,321.50945,0.571,27.25176,104.38105,163.222225,28.59599,638.93417,25.9407425,1037.6297,466,1
"72",20041,-6.25,5.25,"Cote-dIvoire",2,11,259627.7158222,0.202401644,897,3064.712,84.71521362923,31.559612737884,152.322426,213.742365,122.884175,0.381,25.8859,123.69305,312.277775,20.95565,404.95688,180.61071,7224.42818,384,0
"73",20042,-6.25,5.75,"Cote-dIvoire",2,11,326647.3762016,0.896766275,900,3062.206,106.67061399936,33.215199154567,641.332956,578.706545,202.960825,0.368,26.08542,122.43805,316.805575,21.90028,409.18378,807.089625,36931.98779,384,0
"74",20043,-6.25,6.25,"Cote-dIvoire",2,11,359801.3756104,2.437479835,900,3059.473,117.60241649277,43.109439065402,531.675048,210.769975,226.368875,0.401,26.12228,118.1402,312.66665,22.10358,420.97395,2193.732,87749.27979,384,0
"75",20044,-6.25,6.75,"Cote-dIvoire",2,11,509547.2222443,1.930894198,900,3056.512,166.70870469568,70.107776307597,1233.660113,152.005565,263.52225,0.283,26.01074,111.11785,303.722225,21.729,439.70365,1737.805175,69512.20795,384,0
"76",20045,-6.25,7.25,"Cote-dIvoire",2,11,297334.1630592,1.097581039,900,3053.325,97.38044162088,53.305676515049,447.988805,258.9926,274.99085,0.369,26.15417,108.33935,283.72225,22.28644,464.5189,987.82295,43102.63684,384,0
"77",20046,-6.25,7.75,"Cote-dIvoire",2,11,120493.8634439,0.266750005,900,3049.911,39.50733180832,14.696488443429,382.289508,696.172125,287.1703,0.335,26.20529,106.2893,251.75,22.63458,494.48937,238.54523,9541.80923,384,0
"78",20047,-6.25,8.25,"Cote-dIvoire",2,11,89129.1943007,0.112306657,900,3046.271,29.25845754336,4.622091994356,160.917465,360.551288,305.239725,0.297,26.33141,105.6161,223.80555,20.73993,528.72492,99.546215,3981.84851,384,0
"79",20048,-6.25,8.75,"Cote-dIvoire",2,11,106631.2241802,0.082078543,900,3042.405,35.04833882471,12.661021901378,63.108581,155.00909,325.39945,0.272,26.48061,109.4673,218.80555,21.2965,566.43912,73.10578,3308.0718,384,0
"80",20049,-6.25,9.25,"Cote-dIvoire",2,11,156426.0416105,0.030206076,900,3038.312,51.4845249332,23.470682181128,33.030103,132.99759,403.77555,0.456,26.36939,114.74625,214.499975,21.02355,601.57218,25.6556875,1026.22751,384,0
"81",20050,-6.25,9.75,"Cote-dIvoire",2,11,121749.0612202,0.396611107,900,3033.993,40.12832184102,15.599982803683,171.570645,243.969677,424.684425,0.515,26.48237,113.301,202.194475,21.52305,625.5355,356.949975,14277.99866,384,0
"82",20051,-6.25,10.25,"Cote-dIvoire",2,11,191755.1787872,0.072482443,900,3029.449,63.29704239901,22.390555060114,79.203755,108.519593,387.250025,0.548,26.71939,113.48655,179.888875,19.78792,641.31517,64.4693025,3051.28682,384,0
"83",20052,-6.25,10.75,"Mali",2,11,100626.171443,0.144970163,900,3024.68,33.26837059297,10.86030551165,164.138857,345.77355,329.784975,0.711,26.98173,113.5789,166.000025,27.22905,660.14313,128.943375,5157.73506,466,1
"84",20053,-6.25,11.25,"Mali",2,11,109341.7119102,0.0033995,900,3019.685,36.20963597402,7.228366337762,0,519.98296,384.636125,0.673,27.2149,106.6092,162.5,28.30693,682.1297,0,0,466,1
"85",20122,-5.75,5.25,"Cote-dIvoire",2,11,159469.7888833,0.314478417,794,3064.712,52.03418745134,11.00871096048,56.547787,344.235907,94.425173,0.317,26.3968,131.233125,302.638875,23.12428,355.99737,245.38225,9815.28992,384,0
"86",20123,-5.75,5.75,"Cote-dIvoire",2,11,236883.6514397,1.654604738,900,3062.206,77.35719429102,26.420164022405,887.405153,341.469412,197.41335,0.405,26.25545,128.1694,317.527775,22.7189,359.54348,1489.144125,68994.56689,384,0
"87",20124,-5.75,6.25,"Cote-dIvoire",2,11,409175.3329086,3.337618862,900,3059.473,133.74047788911,48.905105163159,1393.197276,111.760544,226.521925,0.417,26.2133,117.56445,314.91665,22.63479,371.74333,3003.85725,120154.29077,384,0
"88",20125,-5.75,6.75,"Cote-dIvoire",2,11,382096.1984634,1.364183182,900,3056.512,125.01051822916,24.479696591902,367.383763,370.514175,214.456125,0.348,26.39503,107.7766,303.5278,23.49867,391.77255,1227.76485,49110.59448,384,0
"89",20126,-5.75,7.25,"Cote-dIvoire",2,11,248554.204919,1.243925974,617,3053.325,81.4044305999,25.343555619515,382.503726,122.743948,213.705,0.365,26.4391,103.82965,281.694425,23.6355,418.49203,775.5218,33429.42126,384,0
"90",20127,-5.75,7.75,"Cote-dIvoire",2,11,182208.2129104,0.858543812,695,3049.911,59.74213225396,10.655306855489,413.914571,267.719225,232.862775,0.312,26.52564,99.82582,256.02775,21.47508,450.69735,531.068625,21242.74506,384,0
"91",20128,-5.75,8.25,"Cote-dIvoire",2,11,106352.4845886,0.057706749,882,3046.271,34.91235031779,5.850629673739,79.102936,232.534022,300.5811,0.379,26.40353,98.59407,225.75,21.07778,487.2866,45.6701,1826.80405,384,0
"92",20129,-5.75,8.75,"Cote-dIvoire",2,11,120117.649004,0.075682567,900,3042.405,39.4811566076,13.648927259031,117.254181,331.773402,324.7678,0.393,26.525,102.2252,218.75,21.597,527.33357,65.819625,3159.34204,384,0
"93",20130,-5.75,9.25,"Cote-dIvoire",2,11,191258.7445507,1.069299442,900,3038.312,62.94901731921,18.250330259077,1544.014572,482.742375,390.9289,0.323,26.53109,107.263,212.527775,21.75831,570.09637,962.3698375,38494.79357,384,0
