"","ID","x","y","country","region","subregion","pop","lights","num_landpixels","gridarea","pop_dens","pop_sd","lights_sd","rugg","altitude","landsuit","temp","precip","growingdays","malaria","harbor","alternative_lights","lights_raw","un_code"
"25",28414,26.75,-21.25,"Botswana",2,18,14429.2440023,0.00923902,900,2873.091,5.022202189,0.275079822242,6.785706,151.22797,1057.54425,0.173,21.32837,36.58743,66.22222,5.44276,724.29785,6.7853425,271.4137,72
"26",28415,26.75,-20.75,"Botswana",2,18,12472.6933882,0.126221258,900,2882.506,4.32703058172,0.003306306414,187.763559,284.26285,1023.749475,0.179,21.52115,35.47095,76.19444,5.64988,744.8225,112.069365,4482.77448,72
"27",28416,26.75,-20.25,"Botswana",2,18,12668.2955372,0.07058416,900,2891.705,4.38090832,0.583720893444,61.758359,162.7941,996.283975,0.093,21.72019,35.10717,103.638865,5.855271,742.2876,61.995975,2479.83894,72
"28",28417,26.75,-19.75,"Zimbabwe",2,14,26895.445926,0.0033995,900,2900.687,9.27209534439,5.420428497233,0,92.465153,963.703075,0.253,21.90977,39.18431,117.3611,6.721785,743.2364,0,0,716
"29",28418,26.75,-19.25,"Zimbabwe",2,14,11182.05474,0.0033995,900,2909.451,3.84335559486,3.119104401736,0,106.23197,1018.12735,0.194,21.85657,47.0223,119.1389,6.663252,747.63228,0,0,716
"30",28419,26.75,-18.75,"Zimbabwe",2,14,7923.0413365,0.012736803,900,2917.997,2.71523300604,0.001881777077,16.333126,344.025875,1055.845375,0.129,21.82468,51.376315,120.94445,6.657208,755.39243,9.16846,440.08607,716
"31",28420,26.75,-18.25,"Zimbabwe",2,14,31205.066136,0.138878153,900,2926.324,10.66357186326,21.436535405756,212.515149,818.686725,716.383325,0.49,23.63461,50.41494,121.83335,10.6139,766.39285,122.695675,4907.82715,716
"32",28421,26.75,-17.75,"Zambia",2,14,66933.2719678,0.0033995,900,2934.432,22.80961822827,4.301165490046,0,1100.661167,920.561025,0.581,23.03878,52.29501,135.361125,9.110469,780.47573,0,0,894
"33",28422,26.75,-17.25,"Zambia",2,14,76963.2415352,0.024206785,900,2942.32,26.1573306044,11.82315982025,20.428577,444.686375,1241.08775,0.37,20.9524,59.45905,146.194475,4.681533,797.45793,20.256335,895.94535,894
"34",28423,26.75,-16.75,"Zambia",2,14,111656.315937,0.298818416,900,2949.988,37.84974928587,18.121696492445,404.873409,329.5171,1275.43325,0.318,20.41811,63.98018,149.44445,3.803486,817.13968,268.1716815,10726.8675,894
"35",28605,27.25,-21.75,"Botswana",2,18,15232.9292667,0.072078693,900,2863.46,5.31976392414,0.117030186639,104.895198,1159.0404,967.329425,0.184,21.41651,36.554545,54.7222225,5.707239,654.59923,62.57615,2503.04596,72
"36",28606,27.25,-21.25,"Botswana",2,18,50633.1604105,1.302730492,900,2873.091,17.62323577095,87.10393135856,1237.998892,987.084525,1025.437325,0.22,21.19888,37.0348,66.4722225,5.237126,691.64725,1170.9275,46837.10083,72
"37",28607,27.25,-20.75,"Botswana",2,18,23951.1278028,0.455672785,900,2882.506,8.30913253807,3.400157561732,162.549404,682.76745,1136.75875,0.25,20.79391,38.243435,85.944445,4.389888,699.37423,410.10555,16404.22211,72
"38",28608,27.25,-20.25,"Zimbabwe",2,14,29417.5519719,0.262096275,900,2891.705,10.1730811228,4.467243267409,244.765096,413.35315,1135.94575,0.159,20.94471,42.10661,108.972225,4.386232,696.3508,235.121785,9859.06264,716
"39",28609,27.25,-19.75,"Zimbabwe",2,14,48347.5568471,0.0033995,900,2900.687,16.66762313549,0.763466161057,0,205.66965,1032.56725,0.346,21.52933,46.531795,116.94445,5.887526,697.04607,0,0,716
"40",28610,27.25,-19.25,"Zimbabwe",2,14,29248.5686654,0.0033995,900,2909.451,10.05295114683,5.778931466346,0,90.487432,1010.515,0.274,21.69744,49.291965,119.138875,6.283935,701.42425,0,0,716
"41",28611,27.25,-18.75,"Zimbabwe",2,14,22451.8038561,0.0033995,900,2917.997,7.69425228089,3.604072045026,0,508.035575,985.46425,0.306,21.90048,50.77248,121.6111,6.690314,709.39307,0,0,716
"42",28612,27.25,-18.25,"Zimbabwe",2,14,31275.9367656,0.0033995,900,2926.324,10.68779017601,3.559236173123,0,664.157425,872.2411,0.532,22.90176,54.59962,126.833325,8.759663,720.81057,0,0,716
"43",28613,27.25,-17.75,"Zimbabwe",2,14,50201.617045,0.007250872,734,2934.432,17.10778041436,8.300190402009,5.390532,932.4431,577.78555,0.617,25.04824,57.75807,132.222225,14.33152,735.49405,3.112225,124.489,716
"44",28614,27.25,-17.25,"Zambia",2,14,121898.2236029,0.137847643,798,2942.32,41.42928586773,17.259995325898,148.652639,1831.69115,847.338275,0.651,23.15144,63.148465,141.027775,9.332503,753.23155,121.764601,5081.26737,894
"45",28615,27.25,-16.75,"Zambia",2,14,99729.2388458,0.061544307,900,2949.988,33.80665621203,12.574118907969,66.081045,566.01955,1187.936,0.56,20.70978,67.726805,147.80555,4.28259,773.79332,54.6249993,2184.99997,894
"46",28616,27.25,-16.25,"Zambia",2,14,127735.283596,0.164075509,900,2957.436,43.19122906424,11.475142355557,185.331386,235.79327,1068.8695,0.688,21.54391,66.33307,147.44445,6.017007,796.94195,146.1382,5845.52795,894
"47",28797,27.75,-22.25,"Botswana",2,18,52156.1951571,0.201978842,900,2853.613,18.27724991196,68.710454304869,216.315234,1800.7306,912.879975,0.121,21.84535,31.802515,48.4722225,6.65886,585.1007,181.7809475,7271.2381,72
"48",28798,27.75,-21.75,"Botswana",2,18,30782.2193367,0.983904978,900,2863.46,10.75000986781,41.500687230254,989.442128,1256.2397,893.868325,0.152,21.59199,33.93093,53.2222225,6.065692,622.09438,884.749675,36054.5238,72
"49",28799,27.75,-21.25,"Botswana",2,18,114573.9411701,1.470796538,900,2873.091,39.87828454863,135.916144144204,1458.537831,1284.027625,968.63945,0.236,21.2617,37.0673,66.166665,5.367821,655.09135,1323.71655,52948.66211,72
"50",28800,27.75,-20.75,"Zimbabwe",2,14,47603.1762048,0.505062725,900,2882.506,16.51450835947,11.319584090019,453.182698,640.55665,1184.45325,0.116,20.20801,41.761145,90.416675,3.607903,654.01958,453.791575,18151.66252,716
"51",28801,27.75,-20.25,"Zimbabwe",2,14,47964.0491285,0.072952683,900,2891.705,16.58676980425,5.318173882104,88.301268,368.841875,1255.7675,0.144,20.09583,45.7872,113.944475,3.151818,650.46423,64.12766,2565.10647,716
"52",28802,27.75,-19.75,"Zimbabwe",2,14,50061.1091146,0.018424169,900,2900.687,17.25836329447,0.292469994585,9.727858,277.139525,1087.99425,0.514,21.25577,48.054545,114.66665,5.250103,650.8951,16.5817535,663.27014,716
"53",28803,27.75,-19.25,"Zimbabwe",2,14,40464.8633604,0.009528683,900,2909.451,13.90807526956,2.170461357802,10.87928,256.716363,1019.71975,0.214,21.64071,50.00319,116.555575,5.989612,655.27792,6.281155,251.2462,716
"54",28804,27.75,-18.75,"Zimbabwe",2,14,34135.9401736,0.024781545,900,2917.997,11.69841573641,0.226931162783,31.330608,303.01255,1004.37845,0.363,21.8508,51.42631,121.4167,6.430678,663.5089,20.7736063,830.94427,716
"55",28805,27.75,-18.25,"Zimbabwe",2,14,37602.0704613,0.0033995,900,2926.324,12.84959239706,0.618537654783,0,412.09455,1006.01565,0.395,22.37564,53.197785,129.638875,7.42789,675.42292,0,0,716
"56",28806,27.75,-17.75,"Zimbabwe",2,14,38754.6257808,0.0033995,899,2934.432,13.20685800426,0.30493906076,0,979.94435,831.051925,0.772,23.36506,57.075755,134.694425,9.794946,690.80612,0,0,716
"57",28807,27.75,-17.25,"Zimbabwe",2,14,29437.8437381,0.095142335,540,2942.32,10.00497634428,5.895237249343,51.464092,566.402225,516.97225,0.804,24.8109,64.27459,135.444425,11.47498,709.4107,28.888925,1386.66843,716
"58",28808,27.75,-16.75,"Zambia",2,14,57243.8971057,0.0033995,773,2949.988,19.4047881252,4.331042270061,0,2416.92575,722.188025,0.491,24.41987,68.185585,139.69445,10.59335,730.9698,0,0,894
