"","ID","x","y","country","region","subregion","pop","lights","num_landpixels","gridarea","pop_dens","pop_sd","lights_sd","rugg","altitude","landsuit","temp","precip","growingdays","malaria","harbor","alternative_lights","lights_raw","un_code"
"1",29720,30.25,-27.25,"South-Africa",2,18,33374.4969119,0.254090029,900,2743.437,12.1652129341,55.327510830508,176.866124,10459.85,1686.858,0.773,15.03093,64.63754,188.6111,0,239.8095,228.6810125,9950.43752,710
"2",29721,30.25,-26.75,"South-Africa",2,18,52353.6802528,1.154588997,900,2755.403,19.00037480991,94.185080335764,833.974883,5230.283,1577.30975,0.78,15.50833,63.902555,192.111125,0,216.1691,1039.1300967,41565.20413,710
"3",29722,30.25,-26.25,"South-Africa",2,18,40038.8561926,0.900087909,900,2767.159,14.46930019872,118.051734747563,439.353922,4168.1005,1658.894,0.755,15.30529,65.560585,206.777775,0,203.84072,810.0791,32403.16406,710
"4",29723,30.25,-25.75,"South-Africa",2,18,27459.9536479,1.174877306,900,2778.706,9.88227998714,97.278881187451,903.677314,8138.70125,1673.52775,0.584,15.21811,65.58498,205.83335,0,204.77132,1057.38965,43590.62701,710
"5",29900,30.75,-27.75,"South-Africa",2,18,130973.5324026,1.685394643,900,2731.264,47.95345403487,245.088989550604,820.142021,4637.65,1212.68725,0.76,17.0234,68.50721,180.69445,0,243.09,1516.855175,60674.20853,710
"6",29901,30.75,-27.25,"South-Africa",2,18,145213.3211684,0.946902931,900,2743.437,52.93116410253,250.143328039421,681.241477,5717.94575,1225.207,0.77,17.16186,72.64321,199.3889,0,205.9646,852.2126525,37480.6224,710
"7",29902,30.75,-26.75,"South-Africa",2,18,78532.9083585,1.123782761,900,2755.403,28.50142886841,85.228446439901,689.165949,5553.46775,1291.0065,0.767,16.85978,74.92061,217.972225,0,177.22272,1011.4045,40456.18042,710
"8",29903,30.75,-26.25,"South-Africa",2,18,154838.8009991,1.67761231,900,2767.159,55.95587154863,162.365402674812,1177.807536,5748.89475,1425.15675,0.755,16.1367,81.04775,237.94445,0,161.26555,1509.851225,60394.04938,710
"9",29904,30.75,-25.75,"South-Africa",2,18,50240.5570705,1.719535849,900,2778.706,18.08055680087,75.612179587707,379.376467,12170.355,1193.852075,0.685,17.30865,77.652405,228.416675,0,161.77173,1547.58225,66683.88379,710
"10",29905,30.75,-25.25,"South-Africa",2,18,89986.5656115,3.900242678,900,2790.043,32.25274901722,184.477204707626,4567.994533,11605.36125,1253.809475,0.631,16.97227,70.889825,202,0.2729871,178.49797,3510.217675,140408.7027,710
