"from","to","dist","dur","share_unnamed"
1,2,92.1909,132.048333333333,0.495033137724941
1,12,68.3976,83.6966666666667,0.917460433495376
1,13,141.0255,182.03,0.959968261081676
2,3,83.2909,125.71,0.93908698309179
2,12,113.1799,160.048333333333,0.226679142391133
2,13,122.703,236.59,0.549044440641223
2,14,141.5388,220.296666666667,0.975401815331333
3,4,80.034,96.0816666666667,1
3,13,292.2965,322.818333333333,0.836720303965219
3,14,106.8886,173.696666666667,1
3,15,155.932,157.836666666667,0.666718612419909
4,5,157.4559,189.666666666667,1
4,14,104.843,157.518333333333,0.914311794122444
4,15,101.6605,123.781666666667,0.488796030706155
4,16,115.0435,166.741666666667,1
5,6,94.9336,174.228333333333,1
5,15,126.8647,236.366666666667,1
5,16,113.4319,200.08,1
5,17,110.1856,184.34,1
6,7,68.1617,135.388333333333,1
6,16,108.8252,256.031666666667,1
6,17,74.2485,173.033333333333,1
6,18,107.3274,223.946666666667,0.996570310498241
7,17,111.2667,163.981666666667,1
7,18,95.1388,172.341666666667,0.56768577311699
7,19,109.8184,160.781666666667,0.473227188497384
8,9,175.2831,240.303333333333,0.832954802830393
8,20,82.7956,137.893333333333,0.424578812667808
8,21,77.2099,113.913333333333,0.472168724477042
8,22,153.9556,193.226666666667,0.809814121854534
9,10,99.5171,156.765,1
9,21,117.0022,165.22,1
9,22,73.1026,94.9,1
9,23,116.429,140.441666666667,1
10,11,135.5818,178.025,1
10,22,112.267,151.743333333333,1
10,23,62.5162,99.8533333333333,1
10,24,159.0981,226.748333333333,1
11,23,191.8829,172.28,1
11,24,77.1094,111.343333333333,1
11,25,115.79,109.288333333333,1
12,13,104.6394,188.483333333333,0.851827323168902
12,26,110.2239,114.601666666667,0.841254792522123
12,27,186.4027,172.97,0.47028825226244
13,14,195.4706,318.73,1
13,26,132.5426,173.055,1
13,27,208.7215,231.423333333333,0.610762853485217
13,28,281.5257,332.008333333333,0.626664767492003
14,15,114.9652,158.706666666667,0.626100442656076
14,27,121.2997,157.286666666667,0.485334658976617
14,28,110.726,187.628333333333,1
14,29,225.8287,348.79,1
15,16,70.2166,150.813333333333,1
15,28,104.5437,147.458333333333,0.417169088142088
15,29,118.629,228.151666666667,1
15,30,109.9105,157.26,0.873414162808979
16,17,83.9296,116.088333333333,1
16,29,118.3855,254.603333333333,1
16,30,76.4584,123.966666666667,0.679031576689516
16,31,154.3634,197.018333333333,0.966821819925047
17,18,78.0456,152.583333333333,0.995283532596927
17,30,109.7588,131.026666666667,0.800842392591756
17,31,78.8947,101.425,0.935084359278887
17,32,98.9146,121.203333333333,0.994919855026311
18,19,83.1322,114.66,0.143463062447523
18,31,113.4175,154.251666666667,0.228341305354112
18,32,101.1848,155.931666666667,0.522692660056313
18,33,122.2393,244.381666666667,0.720190871355717
19,20,91.4829,99.6766666666667,0.00495611748206495
19,32,130.5649,143.998333333333,0.225960422747614
19,33,139.3069,222.2,0.546342251286726
19,34,94.0857,105.138333333333,0.292866723777658
20,21,64.0046,107.876666666667,0.542225090071651
20,33,173.5221,296.533333333333,0.852315726748508
20,34,53.181,82.2116666666667,0.518127680698594
21,22,95.7399,118.278333333333,1
21,34,96.5949,116.296666666667,0.417527219345949
21,35,137.2483,190.075,0.583341165841521
22,23,62.4327,53.5466666666667,1
22,35,171.4117,214.625,0.666383333226378
22,36,187.4651,173.15,0.859483711901575
23,24,99.0942,129.391666666667,1
23,35,194.6663,201.923333333333,0.544740923313383
23,36,126.4246,121.186666666667,0.791639443589301
23,37,112.3854,115.138333333333,1
24,25,78.2238,110.763333333333,1
24,36,124.6055,175.103333333333,0.788597444412521
24,37,110.5662,169.055,1
24,38,110.888,116.361666666667,1
25,37,133.6177,157.19,1
25,38,68.3702,70.3766666666667,1
26,27,86.3056,65.4616666666667,0.0586682671808087
26,39,128.8775,178.855,1
26,40,156.0705,157.448333333333,0.114423930211026
27,28,90.5674,121.993333333333,0.540403058937322
27,39,129.1364,192.413333333333,0.782201778738002
27,40,74.4006,99.0483333333333,0.171971731410768
27,41,110.8011,135.565,0.411348433049462
28,29,118.7896,193.253333333333,1
28,40,152.8355,194.901666666667,1
28,41,85.7345,97.815,0.868103426154668
28,42,100.7929,121.573333333333,0.886552412473907
29,30,90.4129,170.22,0.525559434062434
29,41,111.4611,183.506666666667,0.860665937561961
29,42,85.8309,182.73,0.685835021734647
29,43,128.1861,187.64,0.718276347086536
30,31,84.7498,89.1333333333333,0.0849063950593394
30,42,121.3521,133.863333333333,0.245702584217813
30,43,85.1094,82.9366666666667,0.100113618605722
30,44,126.1626,136.353333333333,0.449622590512093
31,32,71.237,99.6066666666667,0.454507425224848
31,43,110.4947,108.095,0.0874378362723936
31,44,101.6895,130.291666666667,0.0951504334272467
31,45,108.2743,141.938333333333,0.295725112723068
32,33,59.9423,113.206666666667,1
32,44,108.2227,158.403333333333,0.503342644380523
32,45,96.6793,142.581666666667,0.768042623350993
32,46,168.7567,219.711666666667,0.867113424237378
33,34,151.9573,268.53,1
33,45,183.1017,233.523333333333,1
33,46,126.3912,206.411666666667,1
33,47,127.598,202.581666666667,1
34,46,122.0286,169.458333333333,1
34,47,91.6538,140.75,1
34,48,138.9823,224.181666666667,0.934842015740145
35,36,64.053,110.266666666667,0.985888226762566
35,48,86.6186,136.201666666667,0.429468959322824
35,49,86.3675,123.543333333333,0.709918325664545
35,50,93.1144,148.23,0.46930764736711
36,37,72.7346,86.8833333333333,0.551502311142152
36,49,110.8293,165.086666666667,0.803804589580553
36,50,71.5749,124.741666666667,1
36,51,144.7641,144.72,0.774658910600073
37,38,65.2475,86.815,1
37,50,115.6444,166.378333333333,0.482725045678862
37,51,118.0522,127.011666666667,0.385697174639693
37,52,147.3794,179.466666666667,0.837331972671875
38,51,94.7502,112.848333333333,1
38,52,82.1319,92.6516666666667,0.708104889817476
39,40,97.6364,157.693333333333,0.898109721374405
39,53,121.8018,183.193333333333,0.746535973576767
39,54,103.1251,203.191666666667,1
40,41,82.9576,126.628333333333,1
40,53,115.3368,145.93,0.62796577325344
40,54,95.1732,133.41,1
40,55,113.0839,134.356666666667,1
41,42,84.0625,109.386666666667,0.755351369098743
41,54,97.5219,124.151666666667,0.468374860672607
41,55,74.6506,111.326666666667,0.957804759774201
41,56,115.7481,130.87,0.244774855721049
42,43,87.6661,128.901666666667,0.41612141537198
42,55,150.8877,176.448333333333,0.416417253637807
42,56,73.9384,98.5766666666667,0.0570623654285189
42,57,132.2268,172.19,0.213554448534222
43,44,78.0653,91.965,0.758549263948597
43,56,91.3525,87.4933333333333,0.0362661120385321
43,57,72.9586,97.3716666666667,0.531745400816353
43,58,118.4558,125.573333333333,0.571232476586203
44,45,106.0006,95.575,0.880183810106914
44,57,110.9897,105.808333333333,0.37240595765921
44,58,83.3768,90.0283333333333,0.822697893541257
44,59,139.0534,139.876666666667,0.893689119655384
