"from","to","dist","dur","share_unnamed"
76,77,52.5864,120.126666666667,1
76,93,161.1799,214.648333333333,1
76,94,83.0394,158.985,1
76,95,88.2017,196.545,1
77,78,167.9659,350.206666666667,1
77,94,135.6258,279.133333333333,1
77,95,54.0382,129.773333333333,1
77,96,150.7879,295.223333333333,1
78,79,129.0596,209.816666666667,1
78,95,132.272,264.643333333333,1
78,96,108.593,160.765,1
78,97,128.5634,172.236666666667,1
79,80,162.1463,303.821666666667,1
79,96,106.3682,185.503333333333,1
79,97,69.8867,125.391666666667,1
79,98,125.2471,222.926666666667,1
80,81,136.5088,173.973333333333,0.338631164167559
80,97,149.0623,227.985,1
80,98,163.2714,259.998333333333,1
80,99,176.5772,278.128333333333,0.77673334949246
81,82,84.4103,134.285,0.515105994299267
81,98,301.579,372.93,0.493366080982456
81,99,149.088,171.998333333333,0.348781490650817
81,100,124.8359,209.263333333333,0.646225965447439
82,83,68.5154,89.9416666666667,1
82,99,113.4443,111.638333333333,0.2197307401077
82,100,76.1665,124.366666666667,0.139081959809155
83,100,116.3667,168.643333333333,0.610753429248599
84,85,76.7147,87.92,1
84,101,131.4305,195.423333333333,1
84,102,192.983,298.43,1
85,86,79.114,95.67,1
85,101,191.3204,242.505,1
85,102,252.873,345.511666666667,1
85,103,195.7821,209.453333333333,0.975562628044137
86,87,71.8408,128.716666666667,0.759930624477143
86,102,211.9648,296.266666666667,1
86,103,115.1887,134.118333333333,1
86,104,131.6814,151.34,1
87,88,89.1789,105.595,0.628468457154007
87,103,103.4108,117.143333333333,0.795212879119009
87,104,70.3748,85.4566666666667,1
87,105,139.1229,235.993333333333,1
88,89,70.9737,102.591666666667,1
88,104,119.2065,134.363333333333,1
88,105,142.4117,210.826666666667,0.773613880852737
88,106,108.5605,138.058333333333,0.504950695695027
89,90,83.0237,167.718333333333,1
89,105,160.0396,241.113333333333,0.798549485815403
89,106,126.1883,168.345,0.574106315720237
89,107,130.1498,201.785,1
90,91,139.9967,147.178333333333,0.847286896458126
90,106,143.1491,151.523333333333,0.68781173768348
90,107,98.2062,90.9083333333333,0.544942636063063
90,108,157.6975,191.978333333333,0.864428329192491
91,92,67.8124,70.6483333333333,1
91,107,101.9243,102.223333333333,1
91,108,80.5157,102.728333333333,1
91,109,124.8437,127.611666666667,1
92,93,63.5416,82.4866666666667,1
92,108,108.0328,157.423333333333,1
92,109,80.7854,89.535,1
93,94,94.8387,136.173333333333,1
93,109,136.1395,156.75,1
94,95,116.5154,228.19,1
95,96,115.094,209.543333333333,1
96,97,80.9575,133.565,1
97,98,88.8614,139.996666666667,1
98,99,224.1594,231.696666666667,0.306996580559825
99,100,133.9193,171.823333333333,0.306016094791557
101,102,76.5116,138.985,1
101,110,103.095,131.345,1
102,103,110.3549,190.05,1
102,110,91.5573,148.308333333333,1
102,111,103.2921,197.97,1
103,104,69.7975,79.7833333333333,0.938447652136538
103,110,112.2014,115.695,1
103,111,99.4887,122.741666666667,1
103,112,122.5712,197.766666666667,1
104,105,83.416,169.35,1
104,111,155.7115,174.493333333333,1
104,112,88.3175,149.04,1
104,113,120.4499,202.051666666667,1
105,106,82.2903,159.711666666667,1
105,112,109.6647,197.756666666667,1
105,113,69.9773,132.7,1
105,114,134.9969,219.586666666667,1
106,107,79.5715,120.301666666667,1
