"from","to","dist","dur","share_unnamed"
55,70,125.3915,255.281666666667,1
56,57,88.0932,155.896666666667,1
56,69,97.1695,167.765,1
56,70,72.0991,168.196666666667,1
56,71,108.233,211.48,1
57,70,118.8946,195.783333333333,1
57,71,97.495,95.3866666666667,0.42052310374891
58,59,104.8573,123.875,0.891292468349903
58,72,112.3192,163.15,0.898514324786568
59,60,115.8477,144.108333333333,0.896425220353965
59,72,77.8746,158.768333333333,1
59,73,151.861,198.416666666667,0.865152824165288
60,61,105.021,158.823333333333,0.744337090356128
60,72,116.3765,176.803333333333,0.580486471948423
60,73,70.263,105.856666666667,0.879323227478513
60,74,132.8411,142.383333333333,0.181405933245158
61,62,89.3557,153.693333333333,0.826652356816633
61,73,124.076,197.545,1
61,74,108.9973,161.105,0.453957617337661
61,75,120.5685,185.206666666667,0.572710948547921
62,63,100.8097,159.963333333333,0.994682054090087
62,74,117.6956,141.476666666667,0.257209906564131
62,75,82.9349,95.5733333333333,0.327863989871586
62,76,92.3266,118.876666666667,0.594869734182782
63,64,126.751,187.066666666667,0.558660240423949
63,75,143.251,181.575,0.455550428583096
63,76,102.8645,176.721666666667,0.814365680710371
63,77,128.963,209.935,0.733102156274038
64,65,75.0559,148.936666666667,0.755287073466772
64,76,139.1981,213.696666666667,1
64,77,95.2192,182.868333333333,1
64,78,132.8882,226.441666666667,0.778178364837236
65,66,92.4864,156.033333333333,0.206743910456024
65,77,106.9402,211.745,0.829150925752759
65,78,109.5115,210.085,0.794051041168242
65,79,134.9568,269.783333333333,0.550439028727669
66,67,49.9193,74.885,0
66,78,130.9877,266.865,0.594030131050373
66,79,98.627,171.715,0.577313943125165
66,80,166.8531,213.083333333333,0.42785120564137
67,68,107.2891,122.645,0.589342803083261
67,79,102.3083,146.723333333333,0.281686823063231
67,80,116.9338,138.198333333333,0.610501839502351
67,81,90.9663,126.788333333333,0.499314030925772
68,69,120.6338,211.151666666667,1
68,80,134.874,173.5,1
68,81,108.9065,162.09,1
68,82,160.0434,208.025,1
69,70,76.503,159.416666666667,1
69,81,120.4328,182.23,1
69,82,74.2876,136.336666666667,1
69,83,98.7672,166.07,1
70,71,71.9645,133.823333333333,1
70,82,104.7027,167.253333333333,1
70,83,64.5529,110.618333333333,1
70,84,167.7614,229.405,0.68470261019675
71,83,113.6655,173.895,1
71,84,95.7969,95.5816666666667,0.447845389568974
72,73,152.3897,231.053333333333,0.865620751022379
72,85,119.7647,215.238333333333,0.649814719875489
72,86,160.3216,280.61,0.974188739501564
73,74,93.7578,165.75,1
73,85,120.7972,221.738333333333,0.594481002472737
73,86,80.1951,141.175,0.93863597821316
73,87,116.9322,169.411666666667,0.351824390544264
74,75,80.456,131.115,0.788531882604302
74,86,113.6891,133.738333333333,0.608311614745829
74,87,80.3094,101.95,0.70906643556047
74,88,108.3189,148.625,0.428587782383515
75,76,74.0818,115.481666666667,0.850393955878562
75,87,134.0439,169.065,0.263096445943123
75,88,73.7781,112.843333333333,0.557443197913744
75,89,105.4785,121.538333333333,0.457784287793247
76,77,74.8859,136.286666666667,1
76,88,144.1412,187.188333333333,0.358943175164353
76,89,94.5762,131.266666666667,1
76,90,103.3907,150.02,0.971769275632575
77,78,146.2248,264.593333333333,0.634010099518002
77,89,103.4273,166.741666666667,1
77,90,112.2418,185.495,0.973995450896679
77,91,176.2108,302.246666666667,0.983435748546627
78,79,65.5962,121.253333333333,0.380517468999729
78,90,107.4793,165.135,0.502073422510195
78,91,82.3974,161.058333333333,0.901193364345676
78,92,104.0309,206.445,0.859999288672885
79,80,96.877,157.88,0.765099043116529
79,91,90.4281,161.728333333333,0.992148458277903
79,92,76.4712,144.158333333333,0.990715458891714
79,93,120.2698,186.243333333333,0.994096601222087
80,81,75.3638,129.831666666667,1
80,92,126.0014,260.521666666667,1
80,93,76.3407,143.186666666667,1
80,94,105.2631,155.605,0.921393156766236
81,82,85.7465,143.678333333333,1
81,93,121.9605,161.548333333333,1
81,94,107.8559,160.426666666667,0.923282824583542
81,95,94.5955,192.316666666667,1
82,83,75.7244,119.753333333333,1
82,94,107.2736,169.868333333333,0.548182494448764
82,95,63.951,123.316666666667,1
82,96,101.0433,168.701666666667,1
83,84,79.7338,152.393333333333,1
83,95,92.6192,143.02,1
83,96,69.8841,136.691666666667,1
83,97,92.2581,135.638333333333,0.222566064731514
84,96,166.5591,158.65,0.569569258257725
84,97,94.3778,91.4333333333333,0.222859849307622
85,86,76.0119,140.575,1
85,98,96.0518,130.295,0.292058772392842
85,99,171.1747,237.04,0.509258956341705
86,87,67.0195,99.4783333333333,0.923650465387634
86,98,118.8584,179.951666666667,0.748233191764318
86,99,77.0261,96.8066666666667,0.516495058168595
86,100,112.2892,134.066666666667,0.292912039469583
87,88,114.5096,143.39,0.16292695110279
87,99,107.2228,141.946666666667,0.964241747091104
87,100,87.0714,106.126666666667,0.231027904717169
87,101,111.3042,130.271666666667,0.299032379788687
88,89,65.5229,102.261666666667,0.546491521259045
88,100,116.5058,185.768333333333,0.306016787161487
88,101,84.1629,113.971666666667,0.256974272511998
