84.707,121.61
72.864,106.61
63.225,110.86
73.443,112.74
50.566,82.325
64.503,92.609
44.331,95.622
80.187,106.34
72.176,71.646
49.288,59.548
34.821,60.076
65.202,73.134
73.053,95.239
79.05,104.59
86.126,92.579
74.522,72.647
66.795,25.151
59.54,15.01
50.711,67.568
74.264,92.637
75.887,102.68
88.424,95.139
52.978,72.82
52.665,69.336
70.801,77.283
74.982,100.55
77.556,107.39
123.16,145.38
89.363,122.41
40.613,108.7
72.889,107.78
59.367,107.52
80.43,114.82
79.969,118.2
96.398,139.77
92.882,135.49
83.26,132.41
87.176,134.6
82.436,132.17
82.298,135.92
59.009,148.09
95.062,151.84
93.779,151.26
81.94,150.54
60.071,152.09
44.259,154.77
33.814,155.22
27.788,155.38
24.522,155.45
22.807,155.49
22.134,155.51
101.03,162.55
86.194,159.11
74.017,158.21
75.773,156.92
56.594,155.12
40.226,155.11
34.978,155.32
28.682,155.4
25.189,155.46
23.446,155.5
22.703,155.53
58.553,160.67
27.977,157.41
55.016,156.91
60.94,156.2
48.314,155.59
36.04,155.44
28.62,155.43
24.954,155.46
23.134,155.52
22.097,155.58
21.136,155.61
60.609,156.03
50.23,155.64
55.889,155.59
50.247,155.69
57.169,155.81
35.911,155.44
26.835,155.4
22.902,155.45
21.593,155.53
21.009,155.62
19.246,155.71
71.473,142.77
40.169,144.64
40.74,149.78
46.761,153.2
63.229,155.12
55.34,155.37
31.946,155.22
21.212,155.28
18.207,155.4
18.804,155.55
19.383,155.69
19.562,155.79
20.014,155.88
74.617,117.1
80.304,121.2
85.287,127.25
59.978,143.58
64.685,150.45
51.283,153.34
39.412,154.35
25.483,154.84
15.808,155.17
7.9281,155.37
13.707,155.59
13.439,155.76
13.86,155.87
20.788,156.01
21.707,156.08
38.913,102.19
88.374,49.172
95.675,122.88
94.736,140.75
66.152,147.62
42.203,151.79
27.002,153.61
19.515,154.56
16.051,155.1
15.703,155.41
10.533,155.68
2.1391,155.85
13.708,156.01
20.283,156.15
22.557,156.27
55.212,103.59
100.7,125.76
84.819,140.11
66.345,147.39
37.07,151.36
24.508,153.44
8.3009,154.56
11.233,155.19
21.743,155.56
14.142,155.8
12.002,156.01
14.206,156.18
19.424,156.32
20.619,156.47
20.354,156.59
97.838,52.782
91.964,122.76
83.618,136.68
72.176,143.24
64.143,148.23
44.886,151.92
27.158,153.83
16.162,154.9
22.607,155.47
26.891,155.82
21.026,156.03
15.854,156.2
15.385,156.35
15.782,156.5
16.078,156.63
15.379,156.74
14.403,156.8
113.87,114.31
37.192,123.7
41.341,140.7
51.334,147.32
65.448,151.47
54.909,153.89
36.039,154.9
31.994,155.6
35.152,155.98
34.887,156.19
23.346,156.29
18.303,156.44
15.517,156.58
14.58,156.7
14.026,156.8
