"ID","x","y","country","region","subregion","pop","lights","num_landpixels","gridarea","pop_dens","pop_sd","lights_sd","rugg","altitude","landsuit","temp","precip","growingdays","malaria","harbor","alternative_lights","lights_raw","un_code"
"18950","-23.75"," 15.25","Cape-Verde","2","11","  105809.3771922","  3.162839269","202","2971.667","  35.60606774449"," 136.351823523570","   916.775373","   19.750000"," 223.566925","0.0070573","22.754970"," 60.8505200"," 51.27976250"," 5.772467000000000","  45.38880","   649.0765225","  25963.06004","132"
"19045","-17.25"," 14.75","Senegal","2","11"," 3652925.6626115"," 32.601044229","417","2978.450","1226.45189559079","4488.696674147390","  4005.264406","  666.336575","  23.165110","0.1330000","25.182850"," 47.6300400"," 88.20833500","10.800549999999999"," 141.51698","  7100.0267500"," 311757.97656","686"
"19050","-16.75"," 14.25","Senegal","2","11","  569041.2501167","  0.859414796","688","2985.011"," 190.63290177090"," 105.645572664463","   669.476909","  257.309208","  11.109499","0.4470000","26.480610"," 71.7899400","108.15972500","13.179919999999999","  89.67552","   611.7787000","  24471.14815","686"
"19051","-16.75"," 14.75","Senegal","2","11"," 1062812.6564102","  2.191821801","900","2978.450"," 356.83414268559"," 109.934781741763","  2185.719892","  477.800375","  35.847777","0.0520000","26.012180"," 61.5698600"," 90.83333000","16.064370000000000"," 124.98110","  1972.6400000","  81674.41101","686"
"19052","-16.75"," 15.25","Senegal","2","11","  283379.4342608","  1.177106898","695","2971.667","  95.36042647106","  34.687385810186","   793.017086","   55.999818","  44.163893","0.0070000","25.869710"," 48.7641150"," 79.88194250","16.379819999999999","  83.64329","   895.4877150","  35819.50920","686"
"19053","-16.75"," 21.25","Mauritania","2","11","     917.3283899","  0.070725926","841","2873.091","   0.31928274600","   0.305172454562","    66.104236","   92.492148","  68.682942","0.0020000","22.354330","  3.1741182","  0.19444445"," 0.000000000000000","  44.02907","    62.1235675","   2484.94278","478"
"19054","-16.75"," 21.75","Western-Sahara","2","15","     875.0312720","  0.003399500","849","2863.460","   0.30558533502","   0.025339827945","     0.000000","   95.722390","  78.994618","0.0030000","22.362660","  3.2171550","  2.05952385"," 0.000000000000000","  89.13744","     0.0000000","      0.00000","732"
"19061","-16.25"," 11.25","Guinea-Bissau","2","11","   16407.6920549","  0.003399500"," 93","3019.685","   5.43357650161","  18.250278558535","     0.000000","  145.997100","  12.124316","0.5371112","26.939420","182.6895250","174.90000000","14.137169999999999","  79.11419","     0.0000000","      0.00000","624"
"19062","-16.25"," 12.75","Senegal","2","11","  268017.0743120","  0.321927358","864","3003.355","  89.23922391989","  63.992859533211","   187.390861"," 1433.880975","  20.876113","0.4610000","26.538140","115.8988000","147.41667500","13.045780000000001","  42.87856","   264.0377775","  10561.51131","686"
"19063","-16.25"," 13.25","Gambia","2","11","  187382.5927094","  0.092120301","757","2997.464","  62.51371788558","  29.648782885757","   121.310856"," 1020.449250","  24.757012","0.5190000","26.757530","103.5954200","138.36110000","13.451560000000001","  41.97168","    78.1789200","   3688.89446","270"
"19064","-16.25"," 13.75","Senegal","2","11","  432794.3023486","  0.177571120","900","2991.349"," 144.68199783716","  51.394957879339","   121.976654"," 1018.330050","  27.164445","0.3650000","27.139100"," 80.8114500","128.97222500","18.057990000000000","  43.21066","   159.8139950","   6392.55974","686"
"19065","-16.25"," 14.25","Senegal","2","11","  524667.4211299","  1.014474461","900","2985.011"," 175.76735066948","  66.384929523671","  1051.056786","  358.339575","  13.260832","0.2520000","27.408970"," 65.8728250","114.52777500","15.145350000000001","  86.68936","   913.0268750","  36521.07529","686"
"19066","-16.25"," 14.75","Senegal","2","11","  764584.2422485","  0.520820099","900","2978.450"," 256.70541364758","  80.065098328959","   394.030707","  282.535037","  29.246112","0.0270000","27.082370"," 54.5641150"," 94.22221500","18.589200000000002"," 126.11390","   467.9731750","  22143.41623","686"
"19067","-16.25"," 15.25","Senegal","2","11","  301017.6296501","  0.522046028","900","2971.667"," 101.29588131059","  33.507126540244","   350.806440","   19.500000","  43.085833","0.0370000","26.751120"," 42.5784550"," 79.38889000","18.304050000000000","  89.81265","   469.8414275","  18793.65707","686"
"19068","-16.25"," 15.75","Senegal","2","11","  401388.6272387","  0.735723941","897","2964.662"," 135.39101977968"," 106.152664053251","   371.477069","   90.979525","  30.606945","0.0130000","26.283170"," 34.9628400"," 65.16666500","17.665099999999999","  42.40840","   659.7111750","  26388.44666","686"
"19069","-16.25"," 16.25","Senegal","2","11","  210054.9360434","  0.280933025","812","2957.436","  71.02603605921","  82.272099716804","   270.847715","  934.520600","  28.385505","0.0470000","26.109620"," 29.7507900"," 44.38888750","13.212529999999999","  33.60256","   214.0958750","   9852.94955","686"
"19070","-16.25"," 16.75","Mauritania","2","11","   27923.7959639","  0.048006380","691","2949.988","   9.46573122598","   6.929287474454","    45.700259","  796.845900","  24.652297","0.0110000","26.025480"," 24.6165950"," 36.68055500"," 7.458562000000000","  77.08757","    30.8815000","   1235.25997","478"
"19071","-16.25"," 19.25","Mauritania","2","11","     417.9994194","  0.003399500","717","2909.451","   0.14366951731","   0.034180053657","     0.000000","   19.998797","  15.901407","0.0010000","25.118910","  9.6083433"," 14.52777750"," 0.000000000000000"," 196.74055","     0.0000000","      0.00000","478"
"19072","-16.25"," 19.75","Mauritania","2","11","     385.2284037","  0.003399500","571","2900.687","   0.13280592182","   0.031974638352","     0.000000","   93.478707","  15.694340","0.0060000","24.751600","  7.8533035"," 13.05555500"," 0.000000000000000"," 149.62120","     0.0000000","      0.00000","478"
"19073","-16.25"," 20.75","Mauritania","2","11","     823.5110474","  0.003399500","858","2882.506","   0.28569270290","   0.044992298141","     0.000000","   96.765800","  51.243327","0.0020000","23.563620","  3.8884010","  2.33333350"," 0.000000000000000","  78.88586","     0.0000000","      0.00000","478"
"19074","-16.25"," 21.25","Mauritania","2","11","     937.9718490","  0.003399500","900","2873.091","   0.32646785045","   0.006304035514","     0.000000","  220.485450"," 185.741950","0.0020000","23.379010","  3.4626875","  3.44444450"," 0.000000000000000","  79.60768","     0.0000000","      0.00000","478"
"19075","-16.25"," 21.75","Western-Sahara","2","15","     974.8253453","  0.003399500","900","2863.460","   0.34043620984","   0.007649629313","     0.000000","  396.883900"," 202.960275","0.0020000","23.222920","  3.2691440","  5.63888900"," 0.000000000000000"," 108.95131","     0.0000000","      0.00000","732"
"19076","-16.25"," 22.25","Western-Sahara","2","15","     879.0221577","  0.003399500","888","2853.613","   0.30803833766","   0.022081103287","     0.000000","  356.132225"," 147.412082","0.0020000","23.138940","  3.3489115","  6.55902750"," 0.000000000000000"," 139.46537","     0.0000000","      0.00000","732"
"19077","-16.25"," 22.75","Western-Sahara","2","15","     531.8503287","  0.003399500","623","2843.551","   0.18703736319","   0.031349377507","     0.000000","  119.018275","  89.132707","0.0020000","23.064100","  3.4873500","  6.36805550"," 0.000000000000000"," 101.60530","     0.0000000","      0.00000","732"
"19083","-15.75"," 12.25","Guinea-Bissau","2","11","  213332.0610905","  0.003399500","900","3009.023","  70.89745703882","  28.324626031569","     0.000000"," 1340.546000","  23.728610","0.5940000","26.669070","129.4049000","160.33335000","13.453250000000001","  38.98958","     0.0000000","      0.00000","624"
"19084","-15.75"," 12.75","Senegal","2","11","  210578.9788783","  0.049963976","900","3003.355","  70.11458018927","  29.480557561767","    27.478973","  665.297992","  28.014167","0.5220000","26.889740","112.6724000","151.94442500","13.846330000000000","  64.86166","    44.2026775","   1768.10707","686"
