"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0.228661893536538,0.235151451858296,0.217802875631458,0.255680783953582,0,0,0,0,0
0.228660790733012,0,0,0.25211179241097,0.220767876415977,0,0,0,0,0
0.235144945277342,0,0,0.205347311555243,0,0.233864898104812,0,0,0,0
0.217802875631458,0.252116938434409,0.205347311555243,0,0.231552466642487,0.226932845182328,0.227167630741236,0,0,0
0.255675418494036,0.220767876415977,0,0.231544465754151,0,0.229628160369634,0.229849749068375,0.248639038978481,0,0
0,0,0.233864898104812,0.226887365798928,0.22957858170247,0,0.22293481747406,0,0.217520968960496,0.22459096175947
0,0,0,0.227167630741236,0.229843164013207,0.222984320537973,0,0.219313016723303,0.237675988435599,0.233652804756141
0,0,0,0,0.248637265610357,0,0.219323460896329,0,0,0.219821108652703
0,0,0,0,0,0.217520968960496,0.237672835807645,0,0,0.206203287081984
0,0,0,0,0,0.22458516973627,0.233644630059764,0.219821108652703,0.206203287081984,0
