"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.153187770096055,0.177355988167442,0.156551511832692,0.17124992539329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.153187770096055,0,0,0.175449016180812,0.158597407370095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.177355988167442,0,0,0.195928445589743,0,0,0.213608282968076,0.159730934144003,0.183047601200379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.156551511832692,0.175449016180812,0.195928445589743,0,0.170060438286883,0,0,0.174414788826549,0.165230818210199,0.19205589780101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.17124992539329,0.158597407370095,0,0.170060438286883,0,0,0,0,0.171179181993885,0.174583196269407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.173165990872524,0,0,0,0.202338567780755,0.190569951973212,0.184131144999413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.213608282968076,0,0,0.173165990872524,0,0.205718703359049,0,0,0,0.1843116177007,0.176712322732376,0.197820344789768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.159730934144003,0.174414788826549,0,0,0.205718703359049,0,0.168113409038075,0,0,0,0.181316258254806,0.151555996167256,0.173469111412473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.183047601200379,0.165230818210199,0.171179181993885,0,0,0.168113409038075,0,0.174810381505244,0,0,0,0.183159818239168,0.155266651202353,0.174284075293586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.19205589780101,0.174583196269407,0,0,0,0.174810381505244,0,0,0,0,0,0.167907677822979,0.164737784107735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.202338567780755,0,0,0,0,0,0.190819055231848,0,0,0,0,0.174360011221991,0.177215499014341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
