"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
0,0.145607789167377,0,0,0,0.168628280542058,0.145769688871487,0.208716306989922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145607789167377,0,0.145607318297738,0,0,0,0.177029607161768,0.158265078252095,0.190884161422129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.145607318297738,0,0.205540575948934,0,0,0,0.234117935290551,0.145816469772885,0.198028677611514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.205540575948934,0,0.203284506939502,0,0,0,0.206082011646732,0.171481062654009,0.187445243334939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.203284506939502,0,0,0,0,0,0.190165652294213,0.167195358338611,0.205348290310961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.168628280542058,0,0,0,0,0,0.206259259512959,0,0,0,0,0,0.209399167072939,0.193664489354685,0.187022435538154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145769688871487,0.177029607161768,0,0,0,0.206259259512959,0,0.15992123797033,0,0,0,0,0,0.203797349764964,0.198698663149029,0.207834267687326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.208716306989922,0.158265078252095,0.234117935290551,0,0,0,0.15992123797033,0,0.171020519743368,0,0,0,0,0,0.187857241225248,0.193155400573501,0.178205613309984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.190884161422129,0.145816469772885,0.206082011646732,0,0,0,0.171020519743368,0,0.186788903886598,0,0,0,0,0,0.186390937680819,0.168089335647154,0.194989955588368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.198028677611514,0.171481062654009,0.190165652294213,0,0,0,0.186788903886598,0,0.166405109749562,0,0,0,0,0,0.191921450130612,0.183891261458606,0.181055139189698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.187445243334939,0.167195358338611,0,0,0,0,0.166405109749562,0,0.188418785894047,0,0,0,0,0,0.188415380506086,0.178153879388195,0.194356914440093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.205348290310961,0,0,0,0,0,0.188418785894047,0,0,0,0,0,0,0,0.205585242531392,0.174689250481997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.209399167072939,0,0,0,0,0,0,0,0.145608917805054,0,0,0,0,0,0,0.145710380737625,0.159935169341265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.193664489354685,0.203797349764964,0,0,0,0,0,0.145608917805054,0,0.166716875534479,0,0,0,0,0,0.159935169341265,0.145741602841829,0.222853466320429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.187022435538154,0.198698663149029,0.187857241225248,0,0,0,0,0,0.166716875534479,0,0.205128698050362,0,0,0,0,0,0.226957663261834,0.219718456634866,0.21319326533519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
