"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,0.100723940396683,0,0,0,0.109292339858332,0.100441869696712,0.109272320423709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100723940396683,0,0.109126064428771,0,0,0,0.109272320423709,0.100399567033992,0.132047017614751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.109126064428771,0,0.114702606455543,0,0,0,0.112380654931465,0.11882097683168,0.128842549024329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.114702606455543,0,0.111080164159495,0,0,0,0.118740369564692,0.128788520101083,0.142296006156619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.111080164159495,0,0,0,0,0,0.137143121992166,0.100260778203749,0.156409119929831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109292339858332,0,0,0,0,0,0.100723134111949,0,0,0,0,0,0.104074466656706,0.109292339858332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100441869696712,0.109272320423709,0,0,0,0.100723134111949,0,0.100723940396683,0,0,0,0,0.109292339858332,0.100441869696712,0.1169212341696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109272320423709,0.100399567033992,0.112380654931465,0,0,0,0.100723940396683,0,0.100724782299903,0,0,0,0,0.109272320423709,0.100399567033992,0.109251382032322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.132047017614751,0.11882097683168,0.118740369564692,0,0,0,0.100724782299903,0,0.113316429315001,0,0,0,0,0.11478084464607,0.140853654547966,0.121012158621415,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.128842549024329,0.128788520101083,0.137143121992166,0,0,0,0.113316429315001,0,0.100726571934822,0,0,0,0,0.147259450172626,0.112890246245317,0.122889641785186,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.142296006156619,0.100260778203749,0,0,0,0,0.100726571934822,0,0.100727519126384,0,0,0,0,0.119983781191624,0.100260778203749,0.13429786043616,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.156409119929831,0,0,0,0,0,0.100727519126384,0,0,0,0,0,0,0.134841747587022,0.108374390960817,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.104074466656706,0.109292339858332,0,0,0,0,0,0,0.100723134111949,0,0,0,0,0,0.11452512770731,0.109292339858332,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.109292339858332,0.100441869696712,0.109272320423709,0,0,0,0,0.100723134111949,0,0.112824186061729,0,0,0,0,0.138934767150099,0.100441869696712,0.122306961197303,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.1169212341696,0.100399567033992,0.11478084464607,0,0,0,0,0.112824186061729,0,0.129949324421114,0,0,0,0,0.148050951001379,0.110397877130398,0.132726185272106,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.109251382032322,0.140853654547966,0.147259450172626,0,0,0,0,0.129949324421114,0,0.149485833282252,0,0,0,0,0.120641637786954,0.118811483837031,0.128648779152799,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.121012158621415,0.112890246245317,0.119983781191624,0,0,0,0,0.149485833282252,0,0.108453391314768,0,0,0,0,0.150800140443422,0.100309028616278,0.124023726113901,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.122889641785186,0.100260778203749,0.134841747587022,0,0,0,0,0.108453391314768,0,0.125323855209667,0,0,0,0,0.157976521090324,0.111298639057965,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.13429786043616,0.108374390960817,0,0,0,0,0,0.125323855209667,0,0,0,0,0,0,0.118808760403975,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.11452512770731,0.138934767150099,0,0,0,0,0,0,0.100723134111949,0,0,0,0,0.100482203860345,0.147307145884208,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.109292339858332,0.100441869696712,0.148050951001379,0,0,0,0,0.100723134111949,0,0.143970576919848,0,0,0,0.122082748278471,0.117676656004579,0.131163804898185,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.122306961197303,0.110397877130398,0.120641637786954,0,0,0,0,0.143970576919848,0,0.124574004973016,0,0,0,0.134528487076319,0.123082247589635,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132726185272106,0.118811483837031,0.150800140443422,0,0,0,0,0.124574004973016,0,0.114571446483961,0,0,0,0.134168860954747,0.12198057729566,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128648779152799,0.100309028616278,0.157976521090324,0,0,0,0,0.114571446483961,0,0.100726571934822,0,0,0,0.133754608688784,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124023726113901,0.111298639057965,0.118808760403975,0,0,0,0,0.100726571934822,0,0,0,0,0.162139969178203,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100482203860345,0.122082748278471,0,0,0,0,0,0.125662487720195,0,0,0.136979805798452
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147307145884208,0.117676656004579,0.134528487076319,0,0,0,0.125662487720195,0,0.112682281108263,0,0.114786620980992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131163804898185,0.123082247589635,0.134168860954747,0,0,0,0.112682281108263,0,0,0.116323921533803
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12198057729566,0.133754608688784,0.162139969178203,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136979805798452,0.114786620980992,0.116323921533803,0,0
