"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,0.249647117784009,0,0,0,0.273739596851458,0.24885399621387,0.273683306547561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249647117784009,0,0.273272066442299,0,0,0,0.273683306547562,0.248735050310306,0.337720810611016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.273272066442299,0,0.288952091941822,0,0,0,0.282423268356991,0.300532055332089,0.328710540632057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.288952091941822,0,0.278766570645669,0,0,0,0.300305405197337,0.328558623029689,0.366538741312391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.278766570645669,0,0,0,0,0,0.352049949744638,0.248344806251027,0.406221753254063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.273739596851458,0,0,0,0,0,0.249644850686383,0,0,0,0,0,0.259068070220439,0.273739596851458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24885399621387,0.273683306547562,0,0,0,0.249644850686383,0,0.249647117784009,0,0,0,0,0.273739596851458,0.24885399621387,0.295190391404707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.273683306547561,0.248735050310306,0.282423268356991,0,0,0,0.249647117784009,0,0.249649485033084,0,0,0,0,0.273683306547562,0.248735050310306,0.273624432336752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.337720810611016,0.300532055332089,0.300305405197337,0,0,0,0.249649485033084,0,0.28505446276478,0,0,0,0,0.289172080747899,0.362483161726622,0.306693182814353,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.328710540632057,0.328558623029689,0.352049949744638,0,0,0,0.28505446276478,0,0.249654517097943,0,0,0,0,0.380494868310592,0.283856128498126,0.311972257865077,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.366538741312391,0.248344806251027,0,0,0,0,0.249654517097943,0,0.249657180394977,0,0,0,0,0.303801608744823,0.248344806251027,0.344049691961804,0,0,0,0,0,0,0,0,0,0,0
