"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
0,0.108610176454977,0,0.11956240513012,0.102896525865557,0.116934314047174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108610176454977,0,0.104556140341286,0,0.114582558750077,0.114260650147375,0.125356526992576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.104556140341286,0,0,0,0.114746561671706,0.111428967838751,0.113906806641358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11956240513012,0,0,0,0.111340885742356,0,0,0,0.119742151462502,0.108153352937959,0.115189515771217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.102896525865557,0.114582558750077,0,0.111340885742356,0,0.114682102668694,0,0,0,0.123500466861072,0.113126817541597,0.12484013008001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.116934314047174,0.114260650147375,0.114746561671706,0,0.114682102668694,0,0.112445244765948,0,0,0,0.116616750387327,0.116816431789513,0.12250194899111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.125356526992576,0.111428967838751,0,0,0.112445244765948,0,0.121252384171881,0,0,0,0.124787412635367,0.10596842044486,0.116002748668691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.113906806641358,0,0,0,0.121252384171881,0,0,0,0,0,0.119462132808815,0.114239284799824,0.116278554173622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.119742151462502,0,0,0,0,0,0.122802374704676,0,0,0,0,0,0.116099857895812,0.120589417492736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.108153352937959,0.123500466861072,0,0,0,0.122802374704676,0,0.12054964661132,0,0,0,0,0.126312570065253,0.122093961726934,0.123971227245101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
