"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
0,0.121702218533099,0,0,0.120354871876414,0.113893106460795,0.11622306563526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.121702218533099,0,0.12205858637337,0,0,0.128278982183752,0.116507848254406,0.117899420471504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12205858637337,0,0,0,0,0.122504644911253,0.116406091312491,0.122885264989397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.110037143000483,0,0,0,0,0.121985074397498,0.107992338667608,0.123250902230976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120354871876414,0,0,0.110037143000483,0,0.112551736521861,0,0,0,0,0.124448171891322,0.108892859943646,0.125287468302517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.113893106460795,0.128278982183752,0,0,0.112551736521861,0,0.122335991910369,0,0,0,0,0.128098342622911,0.114254838348241,0.118381225577359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11622306563526,0.116507848254406,0.122504644911253,0,0,0.122335991910369,0,0.108321605199287,0,0,0,0,0.129210384358455,0.121187006337401,0.124643460031227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.117899420471504,0.116406091312491,0,0,0,0.108321605199287,0,0.116072435596121,0,0,0,0,0.121645277299199,0.117787311883758,0.131961399796282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.122885264989397,0,0,0,0,0.116072435596121,0,0,0,0,0,0,0.136550285542491,0.12971967889746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.121985074397498,0,0,0,0,0,0,0.111321073846278,0,0,0,0,0,0.131402589192722,0.119771660110625,0.12862309184414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
