"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
0,0.249624761355447,0,0,0,0.289090264530447,0.249902316390333,0.357815736515713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249624761355447,0,0.249623954113459,0,0,0,0.303493196986921,0.271323962924587,0.327244946949647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.249623954113459,0,0.352371377338439,0,0,0,0.401363375270775,0.249982515886625,0.339493248767658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.352371377338439,0,0.348503653700156,0,0,0,0.353299595242339,0.293980971668898,0.321349389357951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.348503653700156,0,0,0,0,0,0.32601316072026,0.286633714196692,0.352041729750453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.289090264530447,0,0,0,0,0,0.353603462614824,0,0,0,0,0,0.358986407303566,0.332011441246571,0.320624542864675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.249902316390333,0.303493196986921,0,0,0,0.353603462614824,0,0.274163223631689,0,0,0,0,0,0.349382853011202,0.340641847897348,0.356303600031286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.357815736515713,0.271323962924587,0.401363375270775,0,0,0,0.274163223631689,0,0.293191433452433,0,0,0,0,0,0.322055703736018,0.331138677734135,0.305509299667827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.327244946949647,0.249982515886625,0.353299595242339,0,0,0,0.293191433452433,0,0.32022418459317,0,0,0,0,0,0.319541925630837,0.288166316769525,0.334283772927176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.339493248767658,0.293980971668898,0.32601316072026,0,0,0,0.32022418459317,0,0.285278940413086,0,0,0,0,0,0.329023237436663,0.315256570540948,0.310394424438742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.321349389357951,0.286633714196692,0,0,0,0,0.285278940413086,0,0.323018395737186,0,0,0,0,0,0.323012557662438,0.305420608891361,0.333198509930808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.352041729750453,0,0,0,0,0,0.323018395737186,0,0,0,0,0,0,0,0.352447952122319,0.299480973595474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.358986407303566,0,0,0,0,0,0,0,0.249626696251323,0,0,0,0,0,0,0.249800640656868,0.274187107073398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.332011441246571,0.349382853011202,0,0,0,0,0,0.249626696251323,0,0.285813420471493,0,0,0,0,0,0.274187107073398,0.249854166710355,0.382051974455327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.320624542864675,0.340641847897348,0.322055703736018,0,0,0,0,0,0.285813420471493,0,0.351665268669896,0,0,0,0,0,0.389088062207997,0.376677426506479,0.365490873024042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
