"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0,0.161455726322975,0,0,0.168831456982925,0.177105578906425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.161455726322975,0,0.145605903555273,0,0.181249804451297,0.187524243011337,0.160008862151719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.145605903555273,0,0.155887252110968,0,0.160008862151719,0.158382317421594,0.186678003911978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.155887252110968,0,0,0,0.183306764637681,0.164104001403818,0.233059624195962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.168831456982925,0.181249804451297,0,0,0,0.183111631542101,0,0,0,0,0.145881901933763,0.201413499183622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.177105578906425,0.187524243011337,0.160008862151719,0,0.183111631542101,0,0.145605903555273,0,0,0,0.220542434390435,0.169885331522625,0.160008862151719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.160008862151719,0.158382317421594,0.183306764637681,0,0.145605903555273,0,0.171413046512037,0,0,0,0.160008862151719,0.203170309958204,0.180973666210909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.186678003911978,0.164104001403818,0,0,0.171413046512037,0,0.228060050044123,0,0,0,0.196160159246992,0.168104397651067,0.216107733492329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.233059624195962,0,0,0,0.228060050044123,0,0.197085912140271,0,0,0,0.218984633957334,0.171794354768704,0.212066827478637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.197085912140271,0,0,0,0,0,0.196454553837245,0.154340476387491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.145881901933763,0.220542434390435,0,0,0,0,0,0.154387389718232,0,0,0,0,0.165315902267029,0.2025313101247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
