"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.262619608274145,0.304052732854599,0.268386286231904,0.293584718255003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.262619608274145,0,0,0.30078348860746,0.271893696022291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.304052732854599,0,0,0.335892686461043,0,0,0.366202364340268,0.273836973590372,0.313810229711044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.268386286231904,0.30078348860746,0.335892686461043,0,0.291545504303811,0,0,0.29901044639611,0.283265777195986,0.329253729691437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.293584718255003,0.271893696022291,0,0.291545504303811,0,0,0,0,0.293463438313215,0.29929915806445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.296869552059087,0,0,0,0.346881969598576,0.32670627756149,0.31566781826313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.366202364340268,0,0,0.296869552059087,0,0.352676752569361,0,0,0,0.315977214176958,0.302949255962739,0.339136090464464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.273836973590372,0.29901044639611,0,0,0.352676752569361,0,0.288207587325846,0,0,0,0.310842077580691,0.259822153688152,0.297389211020189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.313810229711044,0.283265777195986,0.293463438313215,0,0,0.288207587325846,0,0.299688636268904,0,0,0,0.314002610569841,0.266183567338516,0.298786355812369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
