"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
0,0.16196237732025,0,0,0,0,0,0,0,0,0.177902707310739,0.169687698525698,0.171821746758307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16196237732025,0,0.171265599096242,0,0,0,0,0,0,0,0,0.18878810826633,0.180616513316899,0.175217851567169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.171265599096242,0,0,0,0,0,0,0,0,0,0,0.179571937167592,0.174024761832641,0.174196263820071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.187070287060567,0,0,0,0,0,0,0,0,0,0,0.177913959358487,0.159568836706562,0.188391218092084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.187070287060567,0,0.159743293828191,0,0,0,0,0,0,0,0,0,0,0.200439237692053,0.213571080129458,0.219465099950111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.159743293828191,0,0.145612820825165,0,0,0,0,0,0,0,0,0,0,0.176353902326606,0.180186586800783,0.199143494613607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.145612820825165,0,0.17748005748478,0,0,0,0,0,0,0,0,0,0,0.204933122670273,0.188632932200305,0.191523518522138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.17748005748478,0,0.152009260741113,0,0,0,0,0,0,0,0,0,0,0.178322230900137,0.181999731285217,0.175075469819577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.152009260741113,0,0.176013662755684,0,0,0,0,0,0,0,0,0,0,0.181097788592563,0.155803598276983,0.188723217568746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.176013662755684,0,0.156721007318846,0,0,0,0,0,0,0,0,0,0,0.172938844860743,0.167681200114061,0.1802436957585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.177902707310739,0,0,0,0,0,0,0,0,0.156721007318846,0,0.152658648239275,0,0,0,0,0,0,0,0,0,0,0.16808579306552,0.17194536222734,0.175542427383268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.169687698525698,0.18878810826633,0,0,0,0,0,0,0,0,0.152658648239275,0,0.163542584734443,0,0,0,0,0,0,0,0,0,0,0.180788176317599,0.154432724611878,0.182913078062752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
