"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0.128216239352931,0.109363914460738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.105337557792417,0,0,0.120073092535675,0.107388455094037,0.116350182559967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.105337557792417,0,0.135215905954451,0,0,0.118910398129309,0.108635852179061,0.126289922205674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.128216239352931,0,0.135215905954451,0,0.113769495807504,0,0,0.129191382587309,0.106908337254517,0.1216248404709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109363914460738,0,0,0.113769495807504,0,0,0,0,0.112012137422497,0.112810749974545,0.120790067239373,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.120073092535675,0,0,0,0,0.131396852144497,0,0,0,0,0.123543309551439,0,0,0,0,0,0,0,0,0,0,0,0
0,0.107388455094037,0.118910398129309,0,0,0.131396852144497,0,0.115624943796756,0,0,0,0.112680290027641,0.129035732167954,0,0,0,0,0,0,0,0,0,0,0
0,0.116350182559967,0.108635852179061,0.129191382587309,0,0,0.115624943796756,0,0.117174838928104,0,0,0.116307049805343,0.11838250156084,0.120725833499957,0,0,0,0,0,0,0,0,0,0
0,0,0.126289922205674,0.106908337254517,0.112012137422497,0,0,0.117174838928104,0,0.113367969530586,0,0,0.115640118408175,0.110107853114591,0.116841922592148,0,0,0,0,0,0,0,0,0
0,0,0,0.1216248404709,0.112810749974545,0,0,0,0.113367969530586,0,0.110674482027137,0,0,0.118027503978202,0.115902244526457,0.122339303514335,0,0,0,0,0,0,0,0
0,0,0,0,0.120790067239373,0,0,0,0,0.110674482027137,0,0,0,0,0.122837332032711,0.106366390849138,0,0,0,0,0,0,0,0
0,0,0,0,0,0.123543309551439,0.112680290027641,0.116307049805343,0,0,0,0,0.118521018017699,0,0,0,0.1066050664138,0.118200125370811,0,0,0,0,0,0
0,0,0,0,0,0,0.129035732167954,0.11838250156084,0.115640118408175,0,0,0.118521018017699,0,0.119399030936645,0,0,0.114312390404691,0.112379683622774,0.128664633542844,0,0,0,0,0
0,0,0,0,0,0,0,0.120725833499957,0.110107853114591,0.118027503978202,0,0,0.119399030936645,0,0.116168595092845,0,0,0.120085256741811,0.120863982266005,0.116328616172593,0,0,0,0
0,0,0,0,0,0,0,0,0.116841922592148,0.115902244526457,0.122837332032711,0,0,0.116168595092845,0,0.130682026545593,0,0,0.127241226696485,0.119319873533638,0.130731069131457,0,0,0
0,0,0,0,0,0,0,0,0,0.122339303514335,0.106366390849138,0,0,0,0.130682026545593,0,0,0,0,0.121808005367823,0.107158410590078,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.1066050664138,0.114312390404691,0,0,0,0,0.113937513296716,0,0,0,0.130776082224075,0,0
0,0,0,0,0,0,0,0,0,0,0,0.118200125370811,0.112379683622774,0.120085256741811,0,0,0.113937513296716,0,0.114747823163492,0,0,0.107749437099345,0.12078720790372,0
0,0,0,0,0,0,0,0,0,0,0,0,0.128664633542844,0.120863982266005,0.127241226696485,0,0,0.114747823163492,0,0.116053752865334,0,0.121810070151678,0.112729993159362,0.123945246730814
0,0,0,0,0,0,0,0,0,0,0,0,0,0.116328616172593,0.119319873533638,0.121808005367823,0,0,0.116053752865334,0,0.107665075840886,0,0.122561889250798,0.124403487523712
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130731069131457,0.107158410590078,0,0,0,0.107665075840886,0,0,0,0.134074593988653
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130776082224075,0.107749437099345,0.121810070151678,0,0,0,0.108123015619287,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12078720790372,0.112729993159362,0.122561889250798,0,0.108123015619287,0,0.117413502741544
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123945246730814,0.124403487523712,0.134074593988653,0,0.117413502741544,0
