"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59"
0,0.203690574118028,0,0.228688094785056,0.231272024631932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203689514025476,0,0.213684941448502,0.222112832545039,0.204077864846915,0.22585174171588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.213695633358313,0,0,0.237070630318567,0.249059967117232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.228687474809971,0.222112832545039,0,0,0.242346797555763,0,0.199624175577303,0.213887909555523,0.232480577070587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23138980075141,0.204289862661766,0.237168727348208,0.242440147293866,0,0.211772320392632,0,0.242991872293184,0.214142771582297,0.223290728576987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.225845921262253,0.249051446341602,0,0.211771280540369,0,0,0,0.222815199830988,0.196004702604121,0.215881260917056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.199624175577303,0,0,0,0.18712332191492,0,0,0,0,0,0,0,0,0.199730461325087,0.179275770990061,0.20186578716368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.213901913728228,0.243877820270058,0,0.18712332191492,0,0.21300459082966,0,0,0,0,0,0,0,0,0.199624175577303,0.212013609513213,0.214584347148468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.232469113630859,0.21578139513713,0.222820708230871,0,0.21300459082966,0,0.232801737884648,0,0,0,0,0,0,0,0,0.216176087299791,0.187912510156179,0.213057966986079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.223289452372834,0.196003938606482,0,0,0.232787703717604,0,0.200649165182917,0,0,0,0,0,0,0,0,0.231255979383339,0.198528187026628,0.211638840237968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.215861489748619,0,0,0,0.200677634474461,0,0.212783833558604,0,0,0,0,0,0,0,0,0.212875170698131,0.188519911934863,0.218352895864615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.212775111204223,0,0.195918293737554,0,0,0,0,0,0,0,0,0.217906076279257,0.189600093601029,0.227622851880822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.195918293737554,0,0.210744811896416,0,0,0,0,0,0,0,0,0.217128621583987,0.203788353638866,0.220199084745216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.210706122039145,0,0.214772878736186,0,0,0,0,0,0,0,0,0.211191389737219,0.200291873098259,0.22281299560873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
