0,31.595,29.768,44.244,0,0,0,0,0,0,0,0
21.045,0,9.1814,0,13.711,15.535,0,0,0,0,0,0
11.903,6.516,0,16.06,8.6775,6.836,8.7426,0,0,0,0,0
43.306,0,37.476,0,0,35.622,35.541,49.895,0,0,0,0
0,2.8439,0.73184,0,0,2.8997,0,0,3.7875,0,0,0
0,9.9235,4.306,11.594,7.8386,0,3.0211,0,7.4295,8.5495,0,0
0,0,12.11,18.572,0,8.7052,0,10.231,8.9751,3.0702,14.463,0
0,0,0,57.333,0,0,30.225,0,0,32.388,39.856,0
0,0,0,0,9.3853,8.1057,3.2361,0,0,2.8417,0,4.3878
0,0,0,0,0,16.462,3.8984,14.896,9.8826,0,14.577,6.0789
0,0,0,0,0,0,41.788,48.05,0,35.087,0,29.563
0,0,0,0,0,0,0,0,14.91,8.9336,19.945,0
