0,0,0,0,0,0,0,0,31.814,10.086,0,0,0,0,0,0,0,0
0,0,38.686,0,0,0,0,0,0,0,83.233,20.576,27.109,0,0,0,0,0
0,13.912,0,5.6375,0,0,0,0,0,0,0,7.7441,0.0043086,8.4427,0,0,0,0
0,0,2.2072,0,3.8794,0,0,0,0,0,0,0,0.58865,0.19321,3.7832,0,0,0
0,0,0,2.4187,0,2.747,0,0,0,0,0,0,0,0.77804,0.6926,2.7482,0,0
0,0,0,0,2.6343,0,2.0119,0,0,0,0,0,0,0,3.1453,0.14844,2.1607,0
0,0,0,0,0,2.2654,0,2.9518,0,0,0,0,0,0,0,1.0299,0.2387,1.578
0,0,0,0,0,0,1.3358,0,9.8184,0,0,0,0,0,0,0,1.2261,0.35701
19.831,0,0,0,0,0,0,6.0134,0,4.1708,0,0,0,0,0,0,0,8.102
2.4314,0,0,0,0,0,0,0,2.1201,0,0,0,0,0,0,0,0,0
0,103.93,0,0,0,0,0,0,0,0,0,106.05,0,0,0,0,0,0
0,17.029,19.177,0,0,0,0,0,0,0,75.133,0,32.191,0,0,0,0,0
0,16.87,2.2185,5.821,0,0,0,0,0,0,0,22.641,0,5.4178,0,0,0,0
0,0,10.437,4.3518,6.378,0,0,0,0,0,0,0,3.9166,0,8.54,0,0,0
0,0,0,1.8924,0.0030684,2.7531,0,0,0,0,0,0,0,0.95961,0,2.7507,0,0
0,0,0,0,4.08,1.6084,2.3236,0,0,0,0,0,0,0,4.6748,0,2.2149,0
0,0,0,0,0,4.0804,1.8353,4.2797,0,0,0,0,0,0,0,2.7,0,1.5695
0,0,0,0,0,0,3.9021,4.4238,27.482,0,0,0,0,0,0,0,2.331,0
