0,0,0,0,0,0,0,0,4.3436,8.6525,0,0,0,0,0,0,0,0
0,0,15.386,0,0,0,0,0,0,0,7.8481,2.8363,8.5097,0,0,0,0,0
0,0,0,3.9866,0,0,0,0,0,0,0,0,0,2.2611,0,0,0,0
0,0,0,0,1.4778,0,0,0,0,0,0,0,0,0,1.4587,0,0,0
0,0,0,1.8752,0,0.92388,0,0,0,0,0,0,0,0,1.4965,1.0653,0,0
0,0,0,0,3.2103,0,0.76139,0,0,0,0,0,0,0,4.0903,0,0.76302,0
0,0,0,0,0,2.7862,0,3.364,0,0,0,0,0,0,0,0,0,0.70595
0,0,0,0,0,0,0,0,6.3188,0,0,0,0,0,0,0,0,0
0.89656,0,0,0,0,0,0,0,0,5.1817,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27.472,0,0,0,0,0,0,0,0,0,26.936,0,0,0,0,0,0
0,0,11.245,0,0,0,0,0,0,0,5.1507,0,6.1854,0,0,0,0,0
0,0,5.1439,8.4664,0,0,0,0,0,0,0,0,0,2.5602,0,0,0,0
0,0,7.8212,9.3736,9.2932,0,0,0,0,0,0,0,2.6292,0,10.169,0,0,0
0,0,0,0.74301,0,0.8515,0,0,0,0,0,0,0,0,0,0.98259,0,0
0,0,0,0,7.4003,3.2803,1.8608,0,0,0,0,0,0,0,8.4837,0,0.8914,0
0,0,0,0,0,6.6499,4.517,7.3633,0,0,0,0,0,0,0,3.8382,0,0.73369
0,0,0,0,0,0,7.2269,9.8917,19.249,0,0,0,0,0,0,0,3.1595,0
