"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0,0.000157970500387002,0,0,0.000181446267127293,8.02732064870221e-05,0.000115838431454094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000157970500387002,0,0.000148599893500384,0,0,0.000126391273171285,7.08380042397815e-05,0.000181923280411244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000148599893500384,0,7.99266445279668e-05,0,0,0.000128175447155874,0.000241713475904222,0.000155412784978923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.99266445279668e-05,0,0,0,0,0.000159769274087976,8.16344762584607e-05,0.000101016597816996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000181446267127293,0,0,0,0,0.00012082450781136,0,0,0,0,0.000113661965231498,7.61757257660093e-05,0.000153740298107714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.02732064870221e-05,0.000126391273171285,0,0,0.00012082450781136,0,7.3815004027404e-05,0,0,0,0,0.000138149812866009,0.000118726662888317,0.000105207010682946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000115838431454094,7.08380042397815e-05,0.000128175447155874,0,0,7.3815004027404e-05,0,0.00012558744746899,0,0,0,0,0.000131267679088596,9.65923505956753e-05,0.000144537863218664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000181923280411244,0.000241713475904222,0.000159769274087976,0,0,0.00012558744746899,0,9.23148706704131e-05,0,0,0,0,0.000190272086792171,9.06102434457244e-05,0.00013688228847227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000155412784978923,8.16344762584607e-05,0,0,0,9.23148706704131e-05,0,0.000119819070925823,0,0,0,0,9.6961053117975e-05,0.000104656413386831,0.000180901196640429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000101016597816996,0,0,0,0,0.000119819070925823,0,0,0,0,0,0,8.37412943067264e-05,0.000106064947756537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000113661965231498,0,0,0,0,0,0,5.64952758366452e-05,0,0,0,0,0,8.18178648019165e-05,8.55773435290065e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7.61757257660093e-05,0.000138149812866009,0,0,0,0,5.64952758366452e-05,0,9.0596444213199e-05,0,0,0,0,9.68039251454044e-05,7.23991972786425e-05,0.000129692477699088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000153740298107714,0.000118726662888317,0.000131267679088596,0,0,0,0,9.0596444213199e-05,0,0.000100380941357806,0,0,0,0,0.000107742449815344,9.7456185189503e-05,0.000155373499978783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.000105207010682946,9.65923505956753e-05,0.000190272086792171,0,0,0,0,0.000100380941357806,0,0.000106193540178258,0,0,0,0,0.000107374394301135,0.000111098046889811,0.00013728211095663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000144537863218664,9.06102434457244e-05,9.6961053117975e-05,0,0,0,0,0.000106193540178258,0,7.02894258110341e-05,0,0,0,0,0.000130718803367468,9.36230967772992e-05,9.16136071976493e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.00013688228847227,0.000104656413386831,8.37412943067264e-05,0,0,0,0,7.02894258110341e-05,0,7.60344010311857e-05,0,0,0,0,0.000123321137814619,6.43057398007799e-05,8.87964461285823e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.000180901196640429,0.000106064947756537,0,0,0,0,0,7.60344010311857e-05,0,0,0,0,0,0,9.45626265810317e-05,0.000104084693098349,0.000143474426084823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8.18178648019165e-05,9.68039251454044e-05,0,0,0,0,0,0,6.20774906856917e-05,0,0,0,0,0,0,6.49891228390183e-05,7.94251388519266e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8.55773435290065e-05,7.23991972786425e-05,0.000107742449815344,0,0,0,0,6.20774906856917e-05,0,7.34603185166344e-05,0,0,0,0,0,8.3132432861185e-05,5.61058557147416e-05,8.11662409680822e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.000129692477699088,9.7456185189503e-05,0.000107374394301135,0,0,0,0,7.34603185166344e-05,0,6.34889156690863e-05,0,0,0,0,0,9.43294205288673e-05,7.86063123002435e-05,0.000107141535331076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000155373499978783,0.000111098046889811,0.000130718803367468,0,0,0,0,6.34889156690863e-05,0,8.45877370028699e-05,0,0,0,0,0,0.000154700984237433,6.63693917118605e-05,0.000104635848420734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013728211095663,9.36230967772992e-05,0.000123321137814619,0,0,0,0,8.45877370028699e-05,0,7.2271229394645e-05,0,0,0,0,0,0.000109372087077108,8.51842227700971e-05,0.000110061003044573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16136071976493e-05,6.43057398007799e-05,9.45626265810317e-05,0,0,0,0,7.2271229394645e-05,0,9.31539792078691e-05,0,0,0,0,0,0.000117511665063916,9.54012412860308e-05,0.000123495508506898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87964461285823e-05,0.000104084693098349,0,0,0,0,0,9.31539792078691e-05,0,6.1521829632332e-05,0,0,0,0,0,9.75383078202452e-05,6.73199772387963e-05,0.000107034131149059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143474426084823,0,0,0,0,0,0,6.1521829632332e-05,0,0,0,0,0,0,0,9.3974636590027e-05,6.55842914633167e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49891228390183e-05,8.3132432861185e-05,0,0,0,0,0,0,0,8.3464670086885e-05,0,0,0,0,0,0,7.40411515656247e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94251388519266e-05,5.61058557147416e-05,9.43294205288673e-05,0,0,0,0,0,8.3464670086885e-05,0,6.09158123916061e-05,0,0,0,0,0,8.5623402267742e-05,9.97992016480781e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11662409680822e-05,7.86063123002435e-05,0.000154700984237433,0,0,0,0,0,6.09158123916061e-05,0,6.74909254150182e-05,0,0,0,0,9.46903092002974e-05,9.91846856757655e-05,9.01377735656567e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107141535331076,6.63693917118605e-05,0.000109372087077108,0,0,0,0,0,6.74909254150182e-05,0,9.41261440048476e-05,0,0,0,0,0.000142793453737002,7.16874896897127e-05,9.69244482834353e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
