"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0,0.00071573064501779,0,0,0.000893408640773652,0.0012040749427615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00071573064501779,0,0.000553906760862481,0,0.00125034840169568,0.00157669683569744,0.00076155821236026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000553906760862481,0,0.000715941483047419,0,0.000840898438853735,0.00077706516672473,0.00154359652730949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000715941483047419,0,0,0,0.0013530802159993,0.00084739782366036,0.00440177266710602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000893408640773652,0.00125034840169568,0,0,0,0.00143514390774192,0,0,0,0,0.000561878328239533,0.0021371971130608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0012040749427615,0.00157669683569744,0.000840898438853735,0,0.00143514390774192,0,0.000582716990703645,0,0,0,0.00363830179043262,0.00105435257710594,0.000797213030996168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00076155821236026,0.00077706516672473,0.0013530802159993,0,0.000582716990703645,0,0.00103967243532487,0,0,0,0.000792785237024605,0.00212312993402435,0.00127003011641527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.00154359652730949,0.00084739782366036,0,0,0.00103967243532487,0,0.00402323703782719,0,0,0,0.00178716230095453,0.000927588250085949,0.00291184934766492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.00440177266710602,0,0,0,0.00402323703782719,0,0.00178921049976795,0,0,0,0.00310047775266172,0.000957212581355219,0.00270375732868266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00178921049976795,0,0,0,0,0,0.00166076855427814,0.000647687810981248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000561878328239533,0.00363830179043262,0,0,0,0,0,0.000702544588860124,0,0,0,0,0.000888160879871683,0.00215788704829302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0021371971130608,0.00105435257710594,0.000792785237024605,0,0,0,0.000702544588860124,0,0.000528433262091229,0,0,0,0.0026173145752763,0.000535793149330571,0.00177049740340419,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.000797213030996168,0.00212312993402435,0.00178716230095453,0,0,0,0.000528433262091229,0,0.000939195665284129,0,0,0,0.00370040691854352,0.000469394354339971,0.00126297006763979,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.00127003011641527,0.000927588250085949,0.00310047775266172,0,0,0,0.000939195665284129,0,0.00203607742362857,0,0,0,0.00305802076006203,0.000827725303236425,0.00135895377893765,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.00291184934766492,0.000957212581355219,0.00166076855427814,0,0,0,0.00203607742362857,0,0.00140811944675422,0,0,0,0.00200397607044994,0.000880786515545708,0.00124223129259235,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00270375732868266,0.000647687810981248,0,0,0,0,0.00140811944675422,0,0,0,0,0,0.00187009952816018,0.00108577959988777,0,0,0,0,0,0,0,0,0,0
