"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
0,0.000136486509451699,0,0,0.000164545725903121,8.93368981965554e-05,0.000102241016259055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000136486509451699,0,8.00172687115987e-05,0,0,0.000102888674196217,7.78777498911984e-05,0.000111128280235346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.00172687115987e-05,0,7.35944057637556e-05,0,0,0.000101535302131806,7.54230963718698e-05,0.000126865450441123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.35944057637556e-05,0,0,0,0,0.000134850258413308,0.000103027254011926,0.000116537930994464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000164545725903121,0,0,0,0,0.000101624219426659,0,0,0,0,8.64148083728086e-05,6.31337212326449e-05,0.000116419340868746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.93368981965554e-05,0.000102888674196217,0,0,0.000101624219426659,0,7.0035986955822e-05,0,0,0,0,0.000148707319536821,7.66933677392705e-05,0.000109259424617385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000102241016259055,7.78777498911984e-05,0.000101535302131806,0,0,7.0035986955822e-05,0,7.81948298417612e-05,0,0,0,0,9.65250829545372e-05,0.000103068091971757,0.000179819370980864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000111128280235346,7.54230963718698e-05,0.000134850258413308,0,0,7.81948298417612e-05,0,0.000118447387705704,0,0,0,0,0.000166755815095914,0.00011238701090977,0.000196665638510707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000126865450441123,0.000103027254011926,0,0,0,0.000118447387705704,0,0.000109930251978589,0,0,0,0,0.000163876383590229,9.42281395491784e-05,0.000125771179895278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000116537930994464,0,0,0,0,0.000109930251978589,0,0,0,0,0,0,0.000109553282988704,8.86970568877087e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8.64148083728086e-05,0,0,0,0,0,0,0.000133249118650819,0,0,0,0,0,9.48788112921159e-05,0.000133179894859598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6.31337212326449e-05,0.000148707319536821,0,0,0,0,0.000133249118650819,0,0.000164911197356021,0,0,0,0,0.000143446789749622,8.3594627435649e-05,0.00015691431574207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.000116419340868746,7.66933677392705e-05,9.65250829545372e-05,0,0,0,0,0.000164911197356021,0,0.000137205791405795,0,0,0,0,9.38014393538245e-05,9.90139872239722e-05,0.000174419776693472,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.000109259424617385,0.000103068091971757,0.000166755815095914,0,0,0,0,0.000137205791405795,0,0.000114347115468819,0,0,0,0,0.00019010466583488,9.9557971300702e-05,0.00011222390309607,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000179819370980864,0.00011238701090977,0.000163876383590229,0,0,0,0,0.000114347115468819,0,0.000247876696787262,0,0,0,0,0.000126683457328272,0.000122586320405524,0.000149097685895047,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.000196665638510707,9.42281395491784e-05,0.000109553282988704,0,0,0,0,0.000247876696787262,0,0.00010875124417659,0,0,0,0,0.000194760276914876,9.60424580768086e-05,0.000103867274475609,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.000125771179895278,8.86970568877087e-05,0,0,0,0,0,0.00010875124417659,0,0,0,0,0,0,0.00013013857467247,0.000104450866412968,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9.48788112921159e-05,0.000143446789749622,0,0,0,0,0,0,0.000106060331288017,0,0,0,0,0,8.91372252023602e-05,0.000157432154110605,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.000133179894859598,8.3594627435649e-05,9.38014393538245e-05,0,0,0,0,0.000106060331288017,0,9.59569771977832e-05,0,0,0,0,0.000153042720675417,0.000109744456232046,0.000117592878638654,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.00015691431574207,9.90139872239722e-05,0.00019010466583488,0,0,0,0,9.59569771977832e-05,0,9.73752118462455e-05,0,0,0,0,8.93355237626209e-05,9.68276370992591e-05,0.000219919025340198,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000174419776693472,9.9557971300702e-05,0.000126683457328272,0,0,0,0,9.73752118462455e-05,0,8.01856922945905e-05,0,0,0,0,0.00016887342734359,0.000165403372524526,0.000108075893845979,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011222390309607,0.000122586320405524,0.000194760276914876,0,0,0,0,8.01856922945905e-05,0,8.71453851388985e-05,0,0,0,0,0.000149569206481671,9.27529059515908e-05,0.000127824169494014,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149097685895047,9.60424580768086e-05,0.00013013857467247,0,0,0,0,8.71453851388985e-05,0,8.13568652754388e-05,0,0,0,0,0.000139830374095093,9.52579495279956e-05,0.000128665731097023,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103867274475609,0.000104450866412968,0,0,0,0,0,8.13568652754388e-05,0,0,0,0,0,0,8.59006484978548e-05,0.000117295292562156,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91372252023602e-05,0.000153042720675417,0,0,0,0,0,0,7.53600648727066e-05,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157432154110605,0.000109744456232046,8.93355237626209e-05,0,0,0,0,7.53600648727066e-05,0,9.1135606784099e-05,0,0,0,0,0.000115291007543041,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117592878638654,9.68276370992591e-05,0.00016887342734359,0,0,0,0,9.1135606784099e-05,0,0.000219989339768938,0,0,0,8.05076179906842e-05,0.000102910709056339,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000219919025340198,0.000165403372524526,0.000149569206481671,0,0,0,0,0.000219989339768938,0,7.52285830421998e-05,0,0,0.000193496638517788,0.000120644810709932,9.89629214033704e-05
