"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69"
0,3.72395635929218e-05,7.90139954718837e-05,5.25081673789516e-05,7.05190666203995e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.72395635929218e-05,0,0,5.40481286693979e-05,5.58785916413297e-05,7.50752788999621e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.90139954718837e-05,0,0,5.30965318115043e-05,0,0,0,4.30047814977531e-05,6.25940583799677e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.25081673789516e-05,5.40481286693979e-05,5.30965318115043e-05,0,5.97444737631313e-05,0,0,7.97868811405311e-05,5.5907588835069e-05,8.11349107290132e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.05190666203995e-05,5.58785916413297e-05,0,5.97444737631313e-05,0,4.99795672872486e-05,0,0,0.00014616922031279,5.4379148362038e-05,5.04434393836524e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.50752788999621e-05,0,0,4.99795672872486e-05,0,6.22103420079026e-05,0,0,7.35815186595274e-05,6.06897761220696e-05,8.26381610858367e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.22103420079026e-05,0,0,0,0,8.48359157545231e-05,4.61252619396651e-05,8.20282581884229e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.30047814977531e-05,7.97868811405311e-05,0,0,0,0,5.19316541751815e-05,0,0,0,0,6.49045726637854e-05,8.94825057601023e-05,5.38976462893224e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6.25940583799677e-05,5.5907588835069e-05,0.00014616922031279,0,0,5.19316541751815e-05,0,5.13909715202159e-05,0,0,0,0,0.000135917144310615,8.0605270344165e-05,5.96015251375446e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8.11349107290132e-05,5.4379148362038e-05,7.35815186595274e-05,0,0,5.13909715202159e-05,0,4.73771581769395e-05,0,0,0,0,0.00020635787049947,7.895644532562e-05,6.82042219746803e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
