"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
0,4.54833064859135e-05,0,0,0,0,0,0,0,0,6.46539142485652e-05,4.8623470512799e-05,5.93853205655397e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.54833064859135e-05,0,5.78831932586608e-05,0,0,0,0,0,0,0,0,8.70489772244756e-05,7.713096414792e-05,6.21813239000613e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.78831932586608e-05,0,0,0,0,0,0,0,0,0,0,7.25656225071117e-05,5.53292168380005e-05,5.84871121935041e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.67456010294777e-05,0,0,0,0,0,0,0,0,0,0,7.89625219983666e-05,4.99366576995432e-05,9.6803145550987e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9.67456010294777e-05,0,4.9524588990199e-05,0,0,0,0,0,0,0,0,0,0,0.000134879994031224,0.000178659728323349,0.000215702922029417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.9524588990199e-05,0,3.30507360304432e-05,0,0,0,0,0,0,0,0,0,0,7.17126182780647e-05,8.25858155883799e-05,0.000120545100196251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.30507360304432e-05,0,6.2945604306723e-05,0,0,0,0,0,0,0,0,0,0,0.000144280119046463,8.36530141224268e-05,9.27514605047799e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.2945604306723e-05,0,3.49659969513603e-05,0,0,0,0,0,0,0,0,0,0,6.2989095328888e-05,7.18231436205139e-05,6.06448906209772e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3.49659969513603e-05,0,6.32445550222415e-05,0,0,0,0,0,0,0,0,0,0,7.35835269514545e-05,3.97788399312019e-05,9.08021844799484e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6.32445550222415e-05,0,3.93093427701603e-05,0,0,0,0,0,0,0,0,0,0,5.81739992578055e-05,5.29464480797821e-05,6.79588301555486e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.46539142485652e-05,0,0,0,0,0,0,0,0,3.93093427701603e-05,0,3.48993135649087e-05,0,0,0,0,0,0,0,0,0,0,5.47611117762241e-05,5.75874812055838e-05,6.05761523011769e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8623470512799e-05,8.70489772244756e-05,0,0,0,0,0,0,0,0,3.48993135649087e-05,0,4.84701000734085e-05,0,0,0,0,0,0,0,0,0,0,6.71426458791279e-05,3.30179667625149e-05,7.64396443941902e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.93853205655397e-05,7.713096414792e-05,7.25656225071117e-05,0,0,0,0,0,0,0,0,4.84701000734085e-05,0,4.10307958001575e-05,0,0,0,0,0,0,0,0,0,0,5.6619343110898e-05,4.97731964446855e-05,7.50223777255934e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.21813239000613e-05,5.53292168380005e-05,0,0,0,0,0,0,0,0,0,4.10307958001575e-05,0,4.46320855755477e-05,0,0,0,0,0,0,0,0,0,0,5.21362611977697e-05,4.31190984876727e-05,5.63342963095612e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
